Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,48458.5,47624.546,47087.434,46586.682,46093.903,45672.64,45309.865,45170.314,44937.875,44498.637,44205.903,44275.456,44137.849,43954.738,43730.586,43517.483,43394.227,43320.316,43065.963,42685.53,42257.764,41821.642,41374.295,40925.211,40391.564,39829.69,39840.095,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
AMBERTON ROAD,46454.249,45708.702,45137.826,44656.331,44109.483,43659.668,43269.548,42873.835,42246.819,41544.642,41065.716,41019.704,40802.005,40554.883,40330.637,40123.772,39990.166,39899.172,39608.223,39204.734,38750.986,38290.009,37816.935,37340.394,37028.589,36677.914,36944.32,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
ANNFIELD 66/20KV,41039.487,40191.078,39796.124,39333.847,38734.485,38160.342,37639.501,37649.531,37810.766,37670.519,37530.737,37561.239,37376.452,37131.677,36880.726,36628.761,36467.121,36352.408,36136.834,35989.957,35811.405,35623.049,35425.809,35227.866,34988.697,34731.29,34835.285,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
ASHINGTON,46241.892,45406.865,45037.273,44610.451,44057.777,43537.892,43074.918,43147.437,43347.871,43259.77,43196.271,43355.657,43273.963,43125.558,43021.248,42915.183,42910.36,42958.622,42876.814,42827.827,42737.605,42633.976,42517.361,42397.512,42222.439,42021.764,42280.66,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
AYCLIFFE FORREST,3.44,3.372,3.309,3.257,3.217,3.186,3.159,3.122,3.06,3.003,2.964,2.959,2.944,2.929,2.915,2.902,2.895,2.89,2.869,2.841,2.809,2.776,2.743,2.709,2.669,2.627,2.632,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
AYCLIFFE INDUSTRIAL,17414.895,17059.073,16865.659,16658.766,16410.025,16177.445,15967.282,15933.534,15930.418,15826.459,15738.995,15740.596,15658.957,15556.069,15452.315,15349.809,15283.041,15234.969,15137.613,15069.368,14986.549,14899.825,14809.102,14717.82,14606.495,14486.499,14534.336,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
BARDEN FRIAR,882.874,865.079,861.471,853.854,840.769,827.187,814.665,821.102,836.115,842.463,846.181,851.132,850.033,846.857,843.321,839.456,837.597,836.776,834.55,831.673,828.185,824.378,820.337,816.221,811.436,806.278,807.336,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
BEDALE,15225.403,15010.019,15029.448,14984.168,14782.993,14579.235,14395.369,14504.948,14741.281,14784.451,14802.73,14862.783,14816.321,14734.198,14796.312,14852.154,14944.528,15056.661,15136.535,15199.887,15248.565,15289.203,15322.805,15352.302,15368.147,15372.425,15522.473,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
BELMONT,31481.003,30901.104,30550.296,30207.29,29791.125,29420.95,29092.111,28938.108,28750.471,28439.95,28218.33,28223.61,28086.219,27914.869,27741.736,27574.513,27465.193,27388.215,27201.14,27123.43,27013.001,26893.449,26763.087,26627.799,26443.932,26237.224,26400.581,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
BENSHAM,32720.637,32386.316,31926.247,31641.31,31363.135,31212.942,31108.323,30469.12,29325.002,28343.484,27735.45,27676.528,27531.003,27383.113,27242.31,27128.145,27038.698,26973.289,26689.924,26570.202,26389.718,26194.046,25973.859,25734.103,25388.132,24988.488,25274.868,NPgN,Primary,NG FES - Electric Engagement,Domestic (MWh)
