Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,48380.8,47997.556,48159.692,48060.445,47630.51,47185.082,46871.359,47693.572,49002.722,49591.08,49996.245,50361.168,49795.739,49052.679,48318.018,47682.527,47311.889,46900.471,46579.48,46326.547,46106.847,45883.128,45674.767,45529.486,45400.22,45258.823,45167.822,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
AMBERTON ROAD,46362.769,46141.482,46393.6,46386.333,45906.333,45419.511,45079.015,45811.091,46964.269,47419.613,47730.799,48064.777,47349.516,46442.964,45622.983,44925.559,44493.015,44007.092,43605.457,43308.001,43045.989,42781.715,42534.996,42358.217,42480.643,42583.11,42778.265,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
ANNFIELD 66/20KV,41003.173,40377.098,40322.908,40062.204,39502.909,38926.532,38436.709,38912.782,39848.495,40263.558,40484.845,40584.381,40179.344,39666.788,39173.077,38716.913,38453.071,38178.733,37979.366,37962.806,37966.024,37962.674,37966.264,38004.836,38073.46,38141.356,38183.234,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
ASHINGTON,46194.637,45644.49,45713.036,45543.566,45039.925,44514.782,44090.384,44766.316,45961.011,46577.016,46979.859,47260.417,46902.32,46409.064,45994.093,45627.676,45489.561,45332.574,45262.487,45369.188,45500.159,45623.145,45754.798,45931.11,46142.776,46351.754,46541.231,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
AYCLIFFE FORREST,3.433,3.408,3.413,3.399,3.364,3.329,3.306,3.36,3.444,3.479,3.505,3.534,3.479,3.409,3.346,3.293,3.261,3.224,3.194,3.173,3.155,3.137,3.12,3.109,3.101,3.091,3.089,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
AYCLIFFE INDUSTRIAL,17395.178,17156.773,17143.234,17040.404,16809.737,16573.132,16377.203,16587.605,16984.249,17156.961,17252.654,17308.504,17113.306,16867.781,16634.978,16424.8,16299.647,16166.802,16065.632,16049.163,16042.092,16032.674,16026.961,16038.476,16062.106,16084.122,16103.928,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
BARDEN FRIAR,882.779,866.175,864.448,858.406,846.102,833.03,821.079,830.387,851.003,863.657,871.383,874.832,872.826,868.933,864.652,860.029,858.703,857.312,857.493,858.419,859.596,860.507,861.415,862.72,864.742,866.864,867.125,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
BEDALE,15221.517,15038.107,15115.163,15115.213,14929.292,14731.492,14557.094,14758.676,15153.729,15331.161,15429.039,15462.671,15372.391,15246.897,15290.399,15327.873,15427.157,15522.225,15643.336,15779.821,15920.489,16055.419,16189.907,16333.514,16494.921,16655.983,16797.754,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
BELMONT,31434.629,31125.316,31201.001,31107.677,30730.732,30345.105,30044.192,30476.182,31222.001,31537.587,31736.391,31906.136,31506.939,30997.187,30516.706,30094.755,29837.527,29556.267,29332.165,29350.392,29386.971,29418.67,29457.794,29534.525,29630.726,29718.287,29835.576,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
BENSHAM,32619.222,32860.045,33335.903,33611.172,33412.682,33217.934,33167.452,33861.544,34765.221,35073.351,35363.302,35832.051,35134.289,34228.491,33393.996,32712.555,32256.363,31723.648,31249.023,31229.025,31236.579,31237.625,31251.488,31338.058,31431.378,31486.968,31739.526,NPgN,Primary,NG FES - Falling Behind,Domestic (MWh)
