Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,48462,47606.761,46965.593,46391.294,45879.636,45464.323,45166.275,45077.234,44852.968,44432.912,44207.151,44457.138,44306.617,44065.268,43797.657,43531.099,43394.505,43325.963,43258.687,43132.935,43007.739,42889.713,42748.274,42584.714,42413.322,42249.455,42245.596,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
AMBERTON ROAD,46451.802,45716.208,45189.207,44732.543,44188.494,43733.335,43315.497,42825.008,42218.89,41528.014,41121.132,41311.241,41083.043,40766.101,40474.055,40196.089,40041.556,39950.778,39866.225,39752.537,39642.159,39536.779,39405.775,39248.595,39356.88,39473.037,39738.01,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
ANNFIELD 66/20KV,41051.748,40132.804,39403.834,38718.815,38073.844,37530.161,37216.043,37501.159,37649.951,37537.71,37442.786,37526.983,37333.164,37066.579,36823.13,36560.645,36402.008,36298.732,36189.076,36173.878,36154.049,36141.704,36114.679,36076.561,36040.214,36004.67,36104.071,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
ASHINGTON,46253.736,45350.277,44654.39,44007.129,43406.625,42913.814,42653.46,42992.069,43181.616,43122.626,43112.478,43352.685,43259.828,43080.538,42976.211,42851.113,42847.003,42907.262,42960.316,43083.074,43200.007,43324.417,43429.129,43517.931,43608.269,43699.198,43953.835,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
AYCLIFFE FORREST,3.44,3.374,3.323,3.278,3.24,3.207,3.173,3.121,3.062,3.005,2.972,2.986,2.969,2.947,2.927,2.908,2.898,2.893,2.889,2.885,2.88,2.876,2.87,2.862,2.855,2.849,2.854,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
AYCLIFFE INDUSTRIAL,17418.785,17040.701,16741.605,16463.96,16200.666,15977.573,15832.905,15881.879,15876.396,15782.586,15715.396,15752.67,15666.348,15549.934,15442.716,15330.639,15262.891,15218.669,15172.923,15171.518,15168.786,15168.879,15162.004,15149.299,15137.767,15127.215,15173.31,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BARDEN FRIAR,883.345,862.811,846.279,830.095,815.232,802.831,798.291,816.065,830.345,837.578,842.102,846.34,845.275,842.358,840.051,836.765,835.357,834.96,834.219,832.839,831.264,829.888,828.261,826.493,824.697,822.824,823.784,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BEDALE,15232.561,14973.982,14789.06,14607.569,14377.995,14193.253,14135.239,14420.113,14645.697,14703.179,14737.819,14797.694,14752.645,14673.041,14754.191,14818.115,14918.056,15037.224,15150.43,15252.285,15350.414,15451.375,15546.251,15636.703,15731.39,15824.468,15975.386,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BELMONT,31484.09,30883.151,30431.456,30019.44,29588.159,29227.073,28960.081,28865.537,28681.577,28384.974,28206.836,28322.512,28180.206,27976.688,27781.481,27584.505,27468.801,27395.522,27322.301,27401.099,27478.866,27560.348,27626.065,27676.733,27730.281,27786.989,27948.058,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BENSHAM,32706.121,32445.451,32339.35,32292.605,32062.114,31882.419,31552.617,30514.07,29414.153,28423.871,27891.64,28170.577,28032.195,27807.756,27560.83,27351.068,27230.657,27153.678,27092.032,27314.056,27544.609,27773.957,27973.816,28138.051,28311.411,28497.441,28791.271,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BENTON SQUARE,38837.188,38367.087,38063.22,37802.797,37551.399,37375.604,37297.449,37399.961,37390.774,37016.689,36806.034,36992.356,36840.798,36610.852,36822.455,37027.505,37337.875,37703.414,38066.833,38424.103,38778.127,39135.502,39468.607,39778.379,40090.278,40404.652,40870.804,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BENWELL,48825.654,48047.656,47491.148,47036.205,46689.566,46411.789,45986.018,44848.3,43608.004,42448.808,41808.681,42133.246,41930.597,41627.635,41459.536,41334.663,41342.189,41416.24,41507.977,41625.281,41752.256,41879.823,41969.225,42014.767,42072.726,42147.192,42381.481,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BILLINGHAM MARSH HOUSE,37783.077,37010.182,36407.001,35858.818,35376.551,34972.146,34671.109,34569.848,34361.058,33970.22,33713.959,33798.611,33586.196,33307.669,33151.733,32994.86,32935.538,32927.455,32919.618,32907.671,32895.366,32888.231,32863.056,32820.874,32783.066,32750.005,32840.293,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BILLY MILL,34448.269,33733.471,33171.891,32665.177,32216.723,31835.792,31522.853,31306.558,30996.739,30572.747,30297.553,30370.979,30167.489,29905.219,29755.523,29609.49,29551.658,29539.966,29530.127,29519.288,29509.062,29503,29479.517,29438.937,29402.903,29372.079,29451.369,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BIRTLEY GROVE 66/11KV,23734.219,23230.92,22833.786,22470.17,22121.931,21824.809,21606.762,21562.381,21448.905,21243.46,21103.462,21148.509,21016.666,20844.922,20697.551,20548.235,20459.788,20403.469,20346.783,20339.069,20330.6,20325.552,20310.044,20285.059,20262.387,20242.09,20297.899,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BIRTLEY GROVE 66/20KV,14531.194,14316.317,14162.501,14025.687,13849.009,13702.789,13603.055,13604.885,13564.64,13446.645,13373.32,13421.827,13356.199,13264.409,13173.465,13081.312,13027.852,12994.772,12961.465,13020.586,13078.734,13138.56,13191.088,13236.91,13283.695,13331.469,13429.166,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BLAYDON BURN,31479.776,31098.947,30849.622,30631.316,30278.57,29993.977,29821.602,29900.645,29884.568,29661.44,29530.616,29659.932,29536.21,29351.916,29163.233,28969.598,28860.874,28796.808,28731.475,28916.92,29099.565,29285.748,29455.604,29610.48,29766.885,29924.782,30194.771,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BLUCHER 33/11KV,23550.568,23156.468,22865.302,22608.712,22414.247,22262.981,22149.129,22074.165,21935.803,21691.787,21564.614,21703.371,21637.233,21525.917,21499.77,21475.637,21514.925,21587.287,21660.737,21733.39,21806.025,21881.078,21942.423,21990.177,22040.775,22094.719,22231.76,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
BOLDON DOWNHILL,23636.272,23131.05,22730.491,22366.854,22040.553,21761.8,21541.36,21429.089,21251.546,21005.1,20844.52,20898.995,20770.859,20603.464,20502.273,20401.775,20361.785,20353.627,20345.999,20342.122,20338.145,20337.265,20325.052,20302.082,20281.878,20264.733,20323.644,NPgN,Primary,NG FES - Hydrogen Evolution,Domestic (MWh)
