Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,48470.3,47620.296,47067.267,46548.602,46038.638,45600.768,45222.531,45056.52,44803.799,44346.678,44029.519,44050.294,43875.639,43659.489,43407.031,43169.643,43084.009,42917.18,42570.828,42101.74,41598.408,41084.255,40559.994,40036.666,39446.957,38833.372,38838.148,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
AMBERTON ROAD,46448.56,45682.988,45092.784,44593.495,44028.79,43561.293,43153.583,42752.267,42110.747,41396.648,40896.815,40807.447,40558.81,40284.442,40037.994,39813.566,39735.365,39547.781,39160.506,38661.771,38125.782,37577.865,37017.978,36456.389,36073.419,35653.717,35913.101,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
ANNFIELD 66/20KV,41079.046,40226.064,39825.208,39349.374,38737.996,38152.793,37623.358,37579.473,37715.912,37552.637,37389.003,37374.069,37152.265,36874.299,36592.917,36312.628,36150.874,35974.255,35698.579,35495.73,35270.528,35036.79,34796.271,34558.14,34291.262,34011.507,34103.745,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
ASHINGTON,46280.116,45438.093,45060.34,44617.938,44051.189,43518.182,43044.562,43061.937,43235.548,43122.526,43032.062,43139.575,43015.74,42829.304,42689.865,42551.096,42550.935,42521.947,42364.33,42243.882,42093.277,41929.906,41755.626,41581.459,41367.508,41134.09,41378.108,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
AYCLIFFE FORREST,3.439,3.369,3.304,3.25,3.209,3.176,3.147,3.111,3.049,2.991,2.95,2.942,2.925,2.908,2.892,2.879,2.876,2.864,2.836,2.8,2.761,2.722,2.681,2.64,2.595,2.547,2.552,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
AYCLIFFE INDUSTRIAL,17427.367,17068.22,16871.142,16658.209,16403.934,16166.16,15951.628,15899.664,15887.316,15774.901,15677.962,15661.29,15565.067,15449.134,15333.626,15220.421,15158.145,15081.885,14957.067,14862.659,14757.817,14649.134,14537.17,14425.847,14300.059,14167.651,14210.976,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
BARDEN FRIAR,884.413,866.69,863.086,855.165,841.834,828.036,815.383,819.841,834.022,839.582,842.598,846.306,844.135,839.984,835.518,830.748,828.161,826.157,822.762,818.869,814.531,809.948,805.181,800.399,795.179,789.707,790.364,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
BEDALE,15249.683,15036.507,15056.993,15007.983,14803.95,14597.796,14412.926,14492.633,14716.492,14747.897,14755.517,14795.355,14732.092,14634.903,14682.62,14724.626,14808.839,14899.496,14957.288,15000.444,15031.654,15055.216,15072.04,15085.205,15089.123,15083.114,15227.985,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
BELMONT,31492.796,30904.738,30545.409,30191.752,29765.439,29385.479,29047.732,28873.467,28671.883,28349.066,28111.556,28084.827,27923.244,27730.476,27538.909,27355.792,27267.824,27133.746,26890.014,26756.299,26597.343,26427.238,26246.439,26061.736,25839.561,25596.875,25754.442,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
BENSHAM,32679.582,32319.651,31835.864,31536.256,31242.308,31075.621,30952.361,30354.924,29211.424,28232.896,27614.809,27528.853,27369.093,27209.498,27062.819,26948.377,26946.353,26790.027,26413.492,26195.51,25925.443,25628.124,25301.282,24951.129,24511.774,24014.916,24306.24,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
BENTON SQUARE,38844.34,38380.482,38155.794,37949.215,37704.307,37512.69,37365.691,37396.107,37364.561,36958.65,36671.005,36666.192,36492.122,36280.506,36499.376,36723.713,37071.977,37350.91,37470.889,37525.357,37540.7,37536.745,37514.023,37482.153,37393.175,37271.132,37727.247,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
BENWELL,48795.039,47900.618,46924.444,46191.174,45768.634,45500.819,45292.08,44632.033,43336.159,42181.51,41430.271,41316.056,41098.057,40884.147,40835.911,40827.662,40982.841,40939.997,40603.156,40144.061,39624.477,39079.442,38506.694,37916.662,37223.161,36470.74,36715.201,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
BILLINGHAM MARSH HOUSE,37791.575,37028.404,36517.335,36025.35,35545.044,35119.114,34741.59,34557.345,34327.285,33905.935,33580.595,33499.522,33269.229,33008.243,32859.74,32721.343,32696.697,32613.703,32397.698,32129.738,31834.541,31529.358,31214.748,30899.226,30542.454,30165.475,30253.542,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
BILLY MILL,34451.995,33733.522,33204.76,32715.307,32260.341,31862.732,31509.043,31270.471,30938.489,30490.599,30151.439,30057.449,29839.893,29600.286,29467.428,29346.276,29328.493,29246.766,29035.327,28772.707,28483.94,28185.653,27878.088,27568.966,27219.093,26849.08,26925.323,NPgN,Primary,NG FES - Holistic Transition,Domestic (MWh)
