Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,225,415,581,818,1084,1334,1574,2237,2865,3615,4360,4933,5565,6232,6912,7599,8264,8852,9653,10454,11242,11954,12602,13210,13767,14305,14309,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
AMBERTON ROAD,235,411,563,784,1031,1261,1482,2089,2666,3351,3998,4418,4914,5450,6001,6558,7097,7571,8210,8844,9474,10056,10598,11118,11610,12100,12107,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
ANNFIELD 66/20KV,154,266,379,549,730,888,1034,1454,1974,2591,3302,4076,4839,5606,6384,7173,7955,8649,9288,9857,10378,10825,11206,11542,11813,12061,12069,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
ASHINGTON,215,376,534,776,1041,1270,1481,2080,2710,3455,4237,4951,5698,6470,7258,8058,8843,9518,10213,10871,11501,12054,12541,12986,13372,13743,13750,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,72,128,178,247,323,393,460,649,868,1130,1404,1639,1888,2143,2403,2665,2925,3158,3459,3757,4046,4305,4536,4749,4936,5109,5112,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BARDEN FRIAR,4,5,6,7,8,9,10,13,24,36,58,96,128,159,190,221,253,282,295,297,298,298,296,292,285,279,281,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BEDALE,97,156,223,327,436,527,610,843,1082,1361,1740,2277,2763,3243,3728,4221,4697,5107,5299,5376,5402,5402,5376,5332,5254,5191,5202,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BELMONT,176,303,425,611,815,995,1163,1630,2069,2587,3123,3615,4128,4665,5213,5769,6305,6764,7189,7569,7917,8223,8492,8743,8965,9192,9202,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BENSHAM,89,146,192,262,337,405,468,664,1023,1451,1795,1904,2116,2359,2616,2876,3162,3434,3854,4298,4757,5195,5617,6030,6440,6845,6848,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BENTON SQUARE,242,442,616,871,1158,1426,1683,2381,2922,3563,4177,4601,5080,5602,6136,6675,7177,7599,8148,8692,9222,9703,10147,10574,10977,11392,11398,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BENWELL,135,223,299,413,540,657,768,1089,1566,2135,2640,2925,3309,3726,4160,4597,5054,5480,6088,6712,7340,7923,8470,8993,9491,9973,9979,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BILLINGHAM MARSH HOUSE,94,174,249,351,458,555,647,921,1350,1862,2394,2857,3357,3867,4388,4914,5451,5939,6577,7208,7804,8336,8810,9242,9623,9967,9971,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BILLY MILL,68,117,162,225,291,350,405,579,947,1387,1822,2157,2544,2943,3352,3765,4201,4609,5162,5722,6273,6771,7224,7642,8020,8366,8370,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BIRTLEY GROVE 66/11KV,70,125,177,250,328,399,465,659,927,1247,1588,1897,2223,2553,2890,3231,3574,3886,4263,4629,4980,5294,5573,5828,6052,6257,6260,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BIRTLEY GROVE 66/20KV,63,110,153,214,281,345,406,573,749,960,1174,1349,1538,1734,1934,2136,2334,2513,2750,2982,3209,3414,3600,3774,3931,4079,4081,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BLAYDON BURN,151,261,358,497,653,799,940,1329,1735,2221,2722,3144,3595,4062,4538,5019,5491,5916,6449,6971,7479,7937,8350,8734,9080,9409,9414,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BLUCHER 33/11KV,159,286,398,559,741,912,1076,1530,1997,2554,3089,3472,3914,4384,4867,5354,5834,6263,6849,7437,8017,8544,9027,9482,9903,10311,10314,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
BOLDON DOWNHILL,58,105,148,208,272,330,385,551,851,1212,1595,1942,2313,2688,3069,3455,3853,4224,4706,5182,5642,6053,6419,6752,7043,7302,7304,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Number of heat pumps (total)
