Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,233,306,361,419,553,720,899,1067,1273,1518,1754,1963,2141,2338,2548,2767,2990,3264,3591,3895,4183,4465,4724,4924,5106,5283,5415,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
AMBERTON ROAD,241,311,364,423,549,704,868,1022,1209,1431,1633,1791,1939,2108,2290,2479,2670,2900,3171,3418,3654,3888,4109,4282,4442,4600,4710,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
ANNFIELD 66/20KV,158,204,248,297,390,497,606,712,894,1105,1347,1641,1879,2117,2362,2615,2869,3139,3390,3602,3795,3983,4147,4257,4345,4426,4539,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
ASHINGTON,221,286,347,419,554,710,869,1020,1231,1478,1734,2004,2233,2475,2728,2991,3256,3540,3826,4076,4308,4535,4740,4885,5008,5124,5250,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,75,99,121,144,185,235,286,336,412,500,591,684,770,859,951,1046,1138,1250,1377,1490,1594,1695,1786,1853,1907,1954,1999,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BARDEN FRIAR,4,5,5,6,7,7,8,9,13,18,26,41,53,63,73,84,94,103,106,107,108,110,110,109,107,105,109,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BEDALE,99,123,147,176,231,291,352,409,488,580,712,915,1064,1210,1359,1513,1670,1803,1861,1883,1900,1919,1930,1917,1897,1887,1939,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BELMONT,181,229,268,315,415,534,657,772,914,1080,1252,1431,1573,1726,1889,2059,2235,2415,2584,2726,2859,2993,3115,3203,3283,3371,3460,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BENSHAM,92,112,126,144,183,230,278,327,463,616,732,774,836,911,994,1080,1163,1294,1468,1641,1813,1987,2155,2301,2448,2597,2663,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BENTON SQUARE,250,328,386,450,596,775,966,1143,1307,1506,1690,1844,1975,2131,2299,2478,2661,2866,3101,3307,3503,3699,3883,4025,4156,4291,4394,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BENWELL,138,170,191,216,278,354,434,514,688,887,1055,1159,1261,1378,1505,1637,1770,1961,2203,2443,2676,2907,3126,3308,3487,3668,3766,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BILLINGHAM MARSH HOUSE,97,132,167,201,260,330,403,475,634,816,1000,1181,1349,1520,1696,1876,2052,2276,2536,2766,2979,3185,3372,3511,3629,3732,3822,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BILLY MILL,71,92,113,135,171,214,258,303,446,607,761,892,1021,1153,1289,1428,1563,1748,1972,2182,2381,2574,2751,2890,3015,3128,3206,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BIRTLEY GROVE 66/11KV,72,96,118,141,183,233,284,334,431,543,659,779,886,995,1108,1224,1338,1476,1630,1768,1896,2019,2131,2213,2282,2344,2400,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BIRTLEY GROVE 66/20KV,64,83,98,114,148,190,235,278,337,406,476,541,598,658,721,787,853,935,1032,1121,1205,1286,1361,1417,1468,1515,1553,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BLAYDON BURN,155,199,231,266,345,442,545,644,780,940,1104,1261,1394,1536,1684,1839,1995,2184,2400,2599,2787,2969,3136,3262,3375,3484,3572,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BLUCHER 33/11KV,163,212,245,282,372,484,605,720,876,1061,1231,1368,1486,1618,1761,1910,2063,2258,2493,2717,2930,3139,3333,3486,3629,3772,3870,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BOLDON DOWNHILL,60,80,98,117,151,192,234,277,391,521,654,788,908,1028,1151,1277,1401,1564,1756,1934,2101,2260,2403,2511,2603,2685,2752,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,98,125,145,169,225,293,366,433,470,518,571,637,678,727,782,840,903,953,985,998,1010,1026,1040,1045,1052,1069,1098,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BOWESFIELD 33/11KV,147,184,209,238,305,388,476,559,665,789,906,1000,1080,1173,1273,1378,1485,1619,1780,1933,2079,2224,2360,2470,2575,2681,2754,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BOWESFIELD 66/11KV,160,213,258,305,394,504,619,724,809,912,1003,1070,1148,1241,1341,1445,1546,1655,1779,1879,1974,2071,2165,2237,2298,2355,2401,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BRANCEPETH,169,215,297,400,554,704,843,971,1208,1472,1800,2274,2637,2995,3367,3755,4149,4465,4638,4716,4774,4834,4867,4840,4790,4750,4876,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
BREAMISH STREET,83,95,99,107,132,162,193,224,317,421,478,453,454,472,498,525,551,609,696,790,889,994,1100,1201,1311,1430,1469,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Number of heat pumps (total)
