Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,225,414,578,815,1080,1329,1570,2235,2857,3601,4337,4993,5724,6492,7268,8041,8806,9537,10484,11401,12272,13074,13777,14416,14976,15504,15507,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
AMBERTON ROAD,234,410,560,780,1026,1255,1479,2088,2660,3340,3978,4485,5080,5716,6363,7006,7644,8241,9008,9753,10468,11137,11734,12286,12776,13250,13256,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
ANNFIELD 66/20KV,154,266,379,548,730,887,1036,1456,1977,2595,3306,4151,5002,5860,6727,7596,8452,9176,9891,10521,11102,11620,12044,12405,12677,12917,12924,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
ASHINGTON,215,377,534,776,1042,1271,1486,2088,2718,3462,4241,5049,5906,6791,7688,8588,9479,10224,11035,11786,12486,13121,13658,14131,14511,14860,14865,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
AYCLIFFE INDUSTRIAL,72,129,179,250,326,397,466,657,877,1139,1414,1691,1987,2291,2598,2904,3205,3497,3858,4200,4519,4806,5051,5266,5434,5576,5578,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BARDEN FRIAR,4,5,6,7,8,9,11,14,25,38,61,100,135,168,202,236,269,294,300,303,305,306,305,301,296,290,292,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BEDALE,97,156,223,327,436,527,612,847,1087,1368,1749,2315,2842,3364,3892,4423,4951,5301,5449,5502,5542,5570,5567,5537,5482,5445,5455,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BELMONT,176,301,422,606,809,988,1159,1626,2061,2575,3105,3645,4219,4818,5426,6035,6640,7113,7592,8008,8402,8766,9078,9361,9607,9860,9867,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BENSHAM,89,146,192,261,336,403,468,661,1023,1452,1800,1952,2211,2499,2799,3095,3379,3735,4241,4764,5285,5789,6262,6717,7165,7611,7613,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BENTON SQUARE,242,442,615,869,1156,1423,1682,2385,2918,3553,4156,4660,5232,5848,6472,7095,7719,8244,8907,9527,10120,10673,11162,11618,12022,12425,12430,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BENWELL,134,221,297,409,535,650,764,1080,1557,2125,2631,2962,3399,3869,4351,4829,5293,5819,6533,7249,7948,8611,9217,9784,10328,10859,10864,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BILLINGHAM MARSH HOUSE,94,176,252,356,466,564,657,934,1367,1883,2422,2957,3538,4132,4732,5332,5916,6518,7269,7965,8616,9206,9713,10159,10522,10832,10836,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BILLY MILL,69,119,164,228,296,356,413,586,959,1404,1847,2235,2684,3144,3611,4077,4527,5033,5684,6320,6923,7477,7965,8403,8783,9120,9124,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BIRTLEY GROVE 66/11KV,70,126,177,251,330,400,468,662,932,1254,1596,1948,2324,2706,3093,3479,3857,4227,4669,5086,5475,5828,6129,6394,6608,6792,6795,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
BIRTLEY GROVE 66/20KV,62,110,152,212,279,342,404,571,746,955,1167,1365,1583,1808,2036,2263,2487,2706,2984,3252,3505,3737,3939,4120,4274,4416,4418,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Number of heat pumps (total)
