Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,25343.3,25050.941,24772.357,24506.947,24254.145,24013.386,23784.105,23565.741,23357.731,23159.516,22970.537,22790.235,22618.054,22453.438,22295.834,22144.687,21999.446,21859.561,21724.48,21593.655,21466.539,21342.586,21221.249,21101.985,20984.249,20867.501,20751.198,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
AMBERTON ROAD,70003.302,69183.96,72905.861,72161.351,71451.883,70775.879,70131.767,69517.979,68932.95,68375.121,67842.937,67334.846,66849.302,66384.764,65939.691,65512.552,65101.815,64705.956,64323.452,63952.787,63592.447,63240.922,62896.708,62558.304,62224.211,61892.937,61562.992,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
ANNFIELD 66/20KV,51627.556,51268.237,50931.893,50617.733,50324.945,50052.702,49800.158,49566.448,49350.69,49151.982,48969.406,48802.026,48648.885,48509.01,48381.41,48265.075,48158.975,48062.066,47973.282,47891.539,47815.737,47744.756,47677.456,47612.681,47549.257,47485.99,47421.667,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
ASHINGTON,29851.902,29501.994,29168.391,28850.417,28547.397,28258.657,27983.526,27721.335,27471.415,27233.102,27005.732,26788.642,26581.174,26382.668,26192.469,26009.922,25834.374,25665.176,25501.677,25343.231,25189.193,25038.918,24891.766,24747.095,24604.267,24462.646,24321.598,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
AYCLIFFE FORREST,0,0,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
AYCLIFFE INDUSTRIAL,78751.03,78136.589,77558.598,77015.748,76506.706,76030.118,75584.609,75168.781,74781.213,74420.466,74085.075,73773.556,73484.4,73216.08,72967.043,72735.716,72520.504,72319.79,72131.932,71955.27,71788.12,71628.774,71475.505,71326.561,71180.17,71034.534,70887.838,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
BARDEN FRIAR,2548.87,2560.989,2573.608,2586.735,2600.371,2614.518,2629.171,2644.324,2659.966,2676.082,2692.657,2709.667,2727.09,2744.896,2763.054,2781.53,2800.284,2819.274,2838.455,2857.778,2877.191,2896.636,2916.054,2935.383,2954.555,2973.501,2992.147,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
BEDALE,65064.366,65080.717,68349.002,68403.053,68475.477,68565.872,68673.773,68798.65,68939.909,69096.893,69268.882,69455.09,69654.668,69866.705,70090.223,70324.182,70567.478,70818.942,71077.343,71341.383,71609.702,71880.876,72153.417,72425.771,72696.322,72963.389,73225.227,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
BELMONT,78898.958,78384.993,82012.39,81565.995,81151.621,80768.049,80414.03,80088.287,79789.509,79516.355,79267.454,79041.404,78836.772,78652.093,78485.872,78336.584,78202.671,78082.545,77974.588,77877.148,77788.546,77707.067,77630.97,77558.478,77487.785,77417.056,77344.42,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
BENSHAM,30799.146,30438.352,40139.606,39811.75,39499.318,39201.614,38917.948,38647.628,38389.967,38144.276,37909.873,37686.074,37472.199,37267.569,37071.506,36883.336,36702.386,36527.985,36359.462,36196.15,36037.384,35882.499,35730.833,35581.726,35434.519,35288.555,35143.178,NPgN,Primary,NG FES - Electric Engagement,I&C (MWh)
