Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,25343.3,25207.145,25082.276,24968.18,24864.38,24770.396,24685.75,24609.964,24542.558,24483.053,24430.971,24385.833,24347.16,24314.473,24287.293,24265.14,24247.536,24234.001,24224.057,24217.223,24213.019,24210.968,24210.588,24211.401,24212.464,24213.538,24214.623,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
AMBERTON ROAD,70003.302,69610.142,73751.273,73419.284,73115.867,72839.679,72589.381,72363.633,72161.097,71980.437,71820.316,71679.402,71556.36,71449.858,71358.565,71281.153,71216.291,71162.653,71118.912,71083.743,71055.821,71033.825,71016.431,71002.319,70988.898,70975.513,70962.164,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
ANNFIELD 66/20KV,51627.556,51638.849,51670.188,51720.967,51790.561,51878.319,51983.57,52105.622,52243.759,52397.244,52565.317,52747.198,52942.083,53149.146,53367.54,53596.396,53834.82,54081.901,54336.701,54598.263,54865.607,55137.731,55413.609,55692.197,55971.356,56250.538,56529.745,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
ASHINGTON,29851.902,29685.41,29532.232,29391.797,29263.535,29146.874,29041.244,28946.075,28860.798,28784.843,28717.643,28658.628,28607.231,28562.885,28525.022,28493.077,28466.481,28444.671,28427.079,28413.142,28402.295,28393.973,28387.612,28382.649,28377.978,28373.32,28368.674,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
AYCLIFFE FORREST,0,0,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
AYCLIFFE INDUSTRIAL,78751.03,78685.383,78651.137,78647.262,78672.702,78726.374,78807.166,78913.94,79045.531,79200.746,79378.364,79577.137,79795.791,80033.024,80287.506,80557.879,80842.759,81140.735,81450.367,81770.188,82098.705,82434.396,82775.713,83121.078,83467.294,83813.544,84159.827,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BARDEN FRIAR,2548.87,2584.929,2621.623,2658.968,2696.977,2735.656,2775.01,2815.04,2855.742,2897.11,2939.132,2981.793,3025.076,3068.957,3113.412,3158.409,3203.916,3249.895,3296.304,3343.1,3390.232,3437.649,3485.293,3533.106,3580.953,3628.802,3676.652,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BEDALE,65064.366,65635.854,69459.994,70070.844,70701.231,71350.967,72019.795,72707.384,73413.336,74137.181,74878.381,75636.325,76410.333,77199.656,78003.473,78820.893,79650.957,80492.633,81344.82,82206.346,83075.97,83952.38,84834.194,85719.959,86606.559,87493.19,88379.851,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BELMONT,78898.958,78963.652,83165.501,83289.644,83442.178,83622.166,83828.632,84060.562,84316.906,84596.578,84898.452,85221.366,85564.12,85925.478,86304.166,86698.872,87108.247,87530.905,87965.422,88410.338,88864.154,89325.334,89792.305,90263.457,90735.487,91207.549,91679.642,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BENSHAM,30799.146,30627.258,40514.339,40369.338,40236.897,40116.426,40007.338,39909.043,39820.954,39742.485,39673.048,39612.057,39558.925,39513.069,39473.901,39440.839,39413.297,39390.692,39372.44,39357.958,39346.664,39337.976,39331.311,39326.089,39321.168,39316.261,39311.366,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BENTON SQUARE,38641.944,38676.617,41249.118,41312.857,41390.482,41481.535,41585.543,41702.012,41830.43,41970.268,42120.976,42281.988,42452.718,42632.561,42820.895,43017.079,43220.453,43430.338,43646.038,43866.838,44092.003,44320.782,44552.403,44786.076,45020.183,45254.307,45488.449,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BENWELL,45205.75,44952.868,44720.159,44506.756,44311.793,44134.405,43973.728,43828.898,43699.052,43583.327,43480.862,43390.795,43312.267,43244.418,43186.388,43137.319,43096.355,43062.636,43035.308,43013.515,42996.401,42983.111,42972.793,42964.593,42956.837,42949.102,42941.387,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BILLINGHAM MARSH HOUSE,37582.291,37989.936,39585.904,40014.831,40454.459,40904.768,41365.69,41837.11,42318.868,42810.757,43312.523,43823.866,44344.441,44873.853,45411.665,45957.389,46510.494,47070.401,47636.486,48208.075,48784.452,49364.851,49948.462,50534.427,51120.887,51707.362,52293.851,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BILLY MILL,47172.218,47219.617,47284.959,47367.74,47467.431,47583.481,47715.317,47862.34,48023.932,48199.448,48388.223,48589.568,48802.771,49027.097,49261.789,49506.064,49759.12,50020.13,50288.243,50562.586,50842.265,51126.359,51413.926,51704.003,51994.607,52285.23,52575.874,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BIRTLEY GROVE 66/11KV,41515.301,41402.589,49389.58,49310.892,49248.243,49200.975,49168.419,49149.898,49144.728,49152.216,49171.659,49202.348,49243.563,49294.578,49354.656,49423.054,49499.019,49581.789,49670.595,49764.659,49863.193,49965.404,50070.487,50177.629,50285.204,50392.798,50500.41,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BIRTLEY GROVE 66/20KV,38013.305,37834.381,37672.085,37525.732,37394.635,37278.103,37175.446,37085.97,37008.979,36943.778,36889.665,36845.94,36811.899,36786.837,36770.047,36760.82,36758.443,36762.204,36771.387,36785.276,36803.149,36824.287,36847.964,36873.457,36899.332,36925.226,36951.138,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
BLAYDON BURN,29557.803,29391.094,29237.592,29096.728,28967.936,28850.646,28744.294,28648.313,28562.136,28485.2,28416.94,28356.791,28304.191,28258.576,28219.385,28186.056,28158.027,28134.737,28115.628,28100.138,28087.71,28077.783,28069.801,28063.206,28056.904,28050.619,28044.351,NPgN,Primary,NG FES - Falling Behind,I&C (MWh)
