Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,25343.3,25137.659,24951.01,24782.553,24631.522,24497.15,24378.673,24275.327,24186.349,24110.976,24048.446,23997.999,23958.875,23930.313,23911.556,23901.846,23896.532,23891.244,23885.982,23880.747,23875.538,23870.354,23865.197,23860.065,23854.96,23849.88,23844.826,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
AMBERTON ROAD,70003.302,69420.851,73394.015,72914.574,72483.416,72098.399,71757.382,71458.232,71198.817,70977.01,70790.69,70637.735,70516.031,70423.467,70357.935,70317.331,70288.837,70260.419,70232.074,70203.805,70175.61,70147.489,70119.442,70091.468,70063.569,70035.742,70007.989,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
ANNFIELD 66/20KV,51627.556,51471.41,51350.108,51262.654,51208.021,51185.154,51192.968,51230.347,51296.145,51389.188,51508.27,51652.157,51819.584,52009.254,52219.845,52450,52689.751,52929.554,53169.409,53409.316,53649.275,53889.286,54129.348,54369.462,54609.627,54849.844,55090.111,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
ASHINGTON,29851.902,29603.873,29378.259,29174.146,28990.617,28826.761,28681.665,28554.42,28444.118,28349.852,28270.717,28205.81,28154.229,28115.075,28087.449,28070.453,28058.621,28046.821,28035.052,28023.313,28011.606,27999.929,27988.283,27976.668,27965.083,27953.529,27942.005,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
AYCLIFFE FORREST,0,0,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,2309.248,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
AYCLIFFE INDUSTRIAL,78751.03,78438.228,78179.644,77973.599,77818.376,77712.221,77653.344,77639.918,77670.08,77741.931,77853.532,78002.912,78188.059,78406.928,78657.434,78937.457,79231.932,79526.483,79821.11,80115.813,80410.592,80705.447,81000.376,81295.382,81590.462,81885.617,82180.847,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
BARDEN FRIAR,2548.87,2573.946,2600.271,2627.866,2656.748,2686.926,2718.407,2751.19,2785.27,2820.636,2857.272,2895.156,2934.262,2974.556,3016,3058.553,3101.658,3144.766,3187.876,3230.988,3274.103,3317.219,3360.338,3403.459,3446.582,3489.707,3532.835,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
BEDALE,65064.366,65381.878,68968.852,69359.247,69785.765,70248.063,70745.698,71278.129,71844.712,72444.708,73077.276,73741.476,74436.269,75160.516,75912.98,76692.323,77485.011,78277.761,79070.573,79863.447,80656.383,81449.38,82242.439,83035.559,83828.74,84621.983,85415.286,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
BELMONT,78898.958,78701.731,82664.153,82570.794,82527.169,82531.745,82582.936,82679.108,82818.575,82999.6,83220.396,83479.127,83773.903,84102.784,84463.782,84854.855,85260.689,85666.6,86072.587,86478.651,86884.79,87291.004,87697.295,88103.66,88510.1,88916.615,89323.205,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
BENSHAM,30799.146,30543.264,40355.741,40145.168,39955.834,39786.796,39637.113,39505.848,39392.063,39294.822,39213.193,39146.243,39093.043,39052.663,39024.177,39006.659,38994.469,38982.311,38970.185,38958.091,38946.029,38933.999,38922,38910.032,38898.097,38886.192,38874.319,NPgN,Primary,NG FES - Hydrogen Evolution,I&C (MWh)
