Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0.1,0.127,0.162,0.202,0.246,0.295,0.349,0.385,0.425,0.465,0.506,0.552,0.614,0.665,0.728,0.79,0.861,0.933,1.012,1.084,1.17,1.241,1.313,1.416,1.484,1.568,1.636,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
AMBERTON ROAD,0.102,0.167,0.25,0.35,0.459,0.583,0.719,0.808,0.908,1.008,1.11,1.225,1.381,1.509,1.667,1.823,2.001,2.18,2.38,2.56,2.775,2.953,3.134,3.391,3.562,3.773,3.944,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
ANNFIELD 66/20KV,8.041,8.121,8.201,8.282,8.371,8.472,8.583,8.655,8.737,8.819,8.902,8.996,9.123,9.227,9.355,9.482,9.628,9.774,9.937,10.084,10.258,10.404,10.551,10.761,10.9,11.071,11.211,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
ASHINGTON,0.481,0.576,0.672,0.774,0.886,1.012,1.15,1.241,1.343,1.445,1.549,1.667,1.826,1.957,2.117,2.276,2.458,2.641,2.845,3.029,3.248,3.43,3.614,3.876,4.051,4.266,4.44,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
AYCLIFFE INDUSTRIAL,0.335,0.364,0.393,0.424,0.458,0.497,0.539,0.567,0.598,0.629,0.661,0.697,0.745,0.785,0.834,0.883,0.939,0.994,1.057,1.113,1.18,1.235,1.292,1.372,1.425,1.49,1.544,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
BARDEN FRIAR,0.006,0.012,0.02,0.03,0.04,0.052,0.065,0.074,0.083,0.093,0.103,0.114,0.129,0.141,0.156,0.171,0.189,0.206,0.225,0.242,0.263,0.28,0.298,0.322,0.339,0.359,0.375,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
BEDALE,1.567,1.688,1.793,1.889,1.994,2.113,2.243,2.328,2.424,2.52,2.618,2.729,2.878,3.001,3.152,3.302,3.473,3.645,3.836,4.009,4.215,4.386,4.56,4.806,4.97,5.172,5.336,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
BELMONT,6.011,6.068,6.14,6.229,6.325,6.434,6.554,6.633,6.721,6.809,6.899,7.001,7.139,7.252,7.391,7.528,7.686,7.844,8.02,8.179,8.369,8.526,8.686,8.913,9.064,9.249,9.4,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
BENSHAM,0.056,0.084,0.118,0.158,0.202,0.252,0.307,0.343,0.384,0.424,0.465,0.512,0.575,0.627,0.69,0.754,0.826,0.898,0.979,1.052,1.139,1.211,1.284,1.388,1.457,1.542,1.611,NPgN,Primary,NG FES - Falling Behind,Total installed PV capacity - I&C and large (MW)
