Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0.035,0.435,0.634,1.119,1.298,1.893,2.51,3.142,3.775,4.441,4.706,4.799,4.897,4.975,5.049,5.101,5.175,4.689,4.774,4.846,4.917,4.994,5.054,5.122,5.122,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
AMBERTON ROAD,0,0,0.054,1.057,1.557,2.773,3.22,4.711,6.259,7.842,9.428,11.097,11.761,11.995,12.241,12.436,12.622,12.751,12.939,11.723,11.937,12.117,12.293,12.488,12.638,12.809,12.809,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
ANNFIELD 66/20KV,17.664,17.664,17.767,18.584,18.992,19.982,20.347,21.562,22.823,24.114,25.406,26.766,27.307,27.498,27.698,27.857,28.008,28.114,28.267,27.27,27.445,27.591,27.735,27.894,28.016,28.155,28.155,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
ASHINGTON,0.289,0.289,0.405,1.427,1.937,3.178,3.634,5.155,6.734,8.349,9.967,11.669,12.347,12.586,12.836,13.035,13.224,13.357,13.548,12.302,12.52,12.703,12.884,13.082,13.235,13.41,13.41,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
AYCLIFFE INDUSTRIAL,0.529,0.529,0.563,0.876,1.032,1.41,1.55,2.014,2.496,2.989,3.483,4.003,4.21,4.283,4.36,4.42,4.478,4.518,4.577,4.197,4.263,4.319,4.374,4.435,4.482,4.535,4.535,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BARDEN FRIAR,0,0,0.004,0.101,0.149,0.266,0.309,0.452,0.601,0.754,0.906,1.067,1.131,1.153,1.177,1.196,1.213,1.226,1.244,1.127,1.148,1.165,1.182,1.201,1.215,1.231,1.231,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BEDALE,2.176,2.176,2.354,3.315,3.795,4.961,5.39,6.821,8.305,9.824,11.345,12.946,13.583,13.808,14.043,14.231,14.408,14.533,14.712,13.535,13.74,13.912,14.082,14.268,14.412,14.576,14.576,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BELMONT,13.573,13.573,13.62,14.505,14.946,16.019,16.413,17.73,19.096,20.493,21.893,23.366,23.952,24.158,24.375,24.548,24.711,24.826,24.991,23.918,24.107,24.266,24.422,24.593,24.726,24.877,24.877,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BENSHAM,0,0,0.025,0.431,0.633,1.125,1.305,1.908,2.534,3.174,3.816,4.491,4.759,4.854,4.953,5.032,5.107,5.159,5.235,4.743,4.83,4.902,4.974,5.053,5.113,5.182,5.182,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BENTON SQUARE,0.412,0.412,0.471,0.85,1.039,1.499,1.668,2.232,2.817,3.415,4.015,4.645,4.896,4.985,5.078,5.152,5.222,5.271,5.341,4.878,4.959,5.027,5.094,5.167,5.224,5.289,5.289,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BENWELL,0,0,0.029,0.52,0.765,1.36,1.579,2.309,3.066,3.841,4.618,5.434,5.759,5.874,5.994,6.09,6.181,6.244,6.336,5.741,5.845,5.933,6.02,6.115,6.188,6.272,6.272,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BILLINGHAM MARSH HOUSE,24.802,24.802,24.82,25.042,25.152,25.421,25.52,25.85,26.192,26.542,26.892,27.261,27.408,27.459,27.514,27.557,27.598,27.626,27.668,27.399,27.446,27.486,27.525,27.568,27.601,27.639,27.639,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BILLY MILL,0,0,0.024,0.295,0.43,0.759,0.88,1.283,1.702,2.13,2.559,3.011,3.19,3.253,3.32,3.373,3.423,3.458,3.509,3.179,3.237,3.285,3.333,3.386,3.426,3.473,3.473,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BIRTLEY GROVE 66/11KV,0.115,0.115,0.148,0.421,0.557,0.888,1.01,1.416,1.837,2.268,2.7,3.154,3.335,3.398,3.465,3.518,3.569,3.604,3.655,3.322,3.381,3.43,3.478,3.531,3.572,3.618,3.618,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BIRTLEY GROVE 66/20KV,0.121,0.121,0.151,0.401,0.526,0.829,0.94,1.313,1.699,2.094,2.49,2.906,3.072,3.13,3.191,3.24,3.286,3.319,3.366,3.061,3.114,3.159,3.203,3.252,3.289,3.332,3.332,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BLAYDON BURN,0.79,0.79,0.899,1.583,1.924,2.753,3.058,4.075,5.131,6.211,7.292,8.43,8.883,9.043,9.211,9.344,9.47,9.559,9.686,8.851,8.997,9.119,9.24,9.372,9.475,9.591,9.591,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BLUCHER 33/11KV,0,0,0.04,0.313,0.449,0.78,0.901,1.307,1.728,2.158,2.589,3.043,3.224,3.287,3.354,3.407,3.458,3.493,3.544,3.211,3.269,3.318,3.366,3.419,3.46,3.506,3.506,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BOLDON DOWNHILL,0.488,0.488,0.5,0.699,0.798,1.04,1.128,1.424,1.732,2.046,2.361,2.692,2.824,2.87,2.919,2.958,2.994,3.02,3.057,2.816,2.858,2.894,2.929,2.968,2.997,3.031,3.031,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.115,0.115,0.223,0.484,0.614,0.931,1.047,1.436,1.839,2.252,2.665,3.1,3.273,3.334,3.398,3.449,3.497,3.531,3.58,3.254,3.31,3.357,3.403,3.454,3.493,3.537,3.537,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BOWESFIELD 33/11KV,0,0,0.063,0.963,1.412,2.503,2.904,4.242,5.631,7.052,8.475,9.973,10.569,10.779,11,11.175,11.341,11.457,11.626,10.533,10.725,10.886,11.045,11.22,11.355,11.508,11.508,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BOWESFIELD 66/11KV,0,0,0.027,0.502,0.739,1.315,1.526,2.233,2.966,3.715,4.467,5.257,5.571,5.682,5.799,5.891,5.979,6.04,6.129,5.553,5.655,5.739,5.823,5.915,5.986,6.067,6.067,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BRANCEPETH,0.284,0.284,0.367,1.209,1.629,2.65,3.026,4.278,5.578,6.908,8.24,9.642,10.199,10.396,10.602,10.766,10.922,11.031,11.188,10.164,10.344,10.494,10.643,10.806,10.932,11.076,11.076,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BREAMISH STREET,1.015,1.015,1.088,1.429,1.599,2.013,2.165,2.673,3.199,3.738,4.277,4.845,5.071,5.151,5.234,5.301,5.364,5.408,5.472,5.053,5.126,5.187,5.247,5.313,5.364,5.422,5.422,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
BRENDA TRADING,0,0,0.058,1.016,1.493,2.653,3.08,4.504,5.981,7.492,9.006,10.599,11.233,11.456,11.691,11.877,12.054,12.177,12.356,11.196,11.4,11.571,11.74,11.926,12.069,12.232,12.232,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed PV capacity - I&C and large (MW)
