Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0.6,0.592,0.564,0.554,0.544,0.534,0.5,0.46,0.408,0.34,0.238,0.21,0.181,0.156,0.131,0.111,0.093,0.076,0.063,0.049,0.033,0.02,0.002,0.001,0.001,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
AMBERTON ROAD,3.663,3.862,3.766,3.939,4.044,4.034,3.941,3.789,3.454,2.794,1.423,1.508,1.31,1.144,1.002,0.872,0.734,0.593,0.459,0.399,0.365,0.336,0.295,0.292,0.29,0.287,0.287,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
ANNFIELD 66/20KV,1.39,1.407,1.354,1.368,1.372,1.356,1.295,1.218,1.095,0.898,0.546,0.521,0.451,0.391,0.335,0.287,0.241,0.196,0.157,0.129,0.103,0.08,0.049,0.047,0.046,0.045,0.045,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
ASHINGTON,4.042,4.164,4.085,4.191,4.253,4.241,4.16,4.038,3.79,3.322,2.374,2.412,2.267,2.115,1.963,1.84,1.721,1.59,1.446,1.354,1.27,1.202,1.077,0.958,0.806,0.71,0.71,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,0.407,0.4,0.381,0.375,0.368,0.361,0.338,0.311,0.276,0.23,0.161,0.142,0.123,0.106,0.089,0.075,0.063,0.051,0.043,0.033,0.023,0.014,0.001,0.001,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
BARDEN FRIAR,0.11,0.108,0.103,0.101,0.099,0.097,0.091,0.084,0.074,0.062,0.043,0.038,0.033,0.028,0.024,0.02,0.017,0.014,0.011,0.009,0.006,0.004,0,0,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
BEDALE,2.377,2.361,2.317,2.302,2.286,2.27,2.216,2.153,2.071,1.962,1.802,1.757,1.712,1.64,1.552,1.491,1.442,1.383,1.309,1.237,1.156,1.09,0.966,0.838,0.673,0.57,0.57,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
BELMONT,1.228,1.221,1.168,1.161,1.151,1.132,1.069,0.993,0.886,0.733,0.484,0.441,0.381,0.329,0.279,0.237,0.199,0.162,0.133,0.105,0.077,0.053,0.019,0.018,0.017,0.016,0.016,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
BENSHAM,0.574,0.564,0.537,0.528,0.519,0.509,0.476,0.439,0.389,0.324,0.227,0.2,0.173,0.149,0.125,0.105,0.089,0.072,0.06,0.047,0.032,0.019,0.002,0.001,0.001,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed non-renewable generation capacity (MW)
