Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.071,0.106,0.106,0.106,0.104,0.103,0.1,0.099,0.096,0.094,0.091,0.089,0.086,0.083,0.08,0.077,0.074,0.069,0.064,0.056,0.052,0.042,0.033,0.019,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
AMBERTON ROAD,2.626,2.702,2.777,2.777,2.777,2.774,2.77,2.765,2.762,2.757,2.752,2.745,2.741,2.735,2.728,2.723,2.716,2.709,2.699,2.688,2.671,2.661,2.64,2.622,2.591,2.55,2.55,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
ANNFIELD 66/20KV,0.46,0.519,0.579,0.579,0.579,0.576,0.574,0.57,0.567,0.563,0.559,0.553,0.551,0.545,0.54,0.536,0.531,0.525,0.517,0.509,0.495,0.487,0.471,0.456,0.432,0.4,0.4,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
ASHINGTON,3.03,3.1,3.171,3.171,3.171,3.167,3.164,3.16,3.156,3.152,3.147,3.141,3.137,3.131,3.125,3.12,3.114,3.107,3.098,3.088,3.072,3.063,3.01,2.941,2.866,2.773,2.701,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,0.024,0.048,0.072,0.072,0.072,0.071,0.069,0.068,0.067,0.065,0.064,0.061,0.06,0.058,0.056,0.054,0.052,0.05,0.047,0.044,0.038,0.035,0.028,0.023,0.013,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BARDEN FRIAR,0.006,0.013,0.019,0.019,0.019,0.019,0.019,0.018,0.018,0.018,0.017,0.017,0.016,0.016,0.015,0.015,0.014,0.013,0.013,0.012,0.01,0.009,0.008,0.006,0.003,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BEDALE,5.481,5.537,5.593,5.593,5.593,5.59,5.587,5.584,5.581,5.577,5.574,5.569,5.566,5.561,5.556,5.552,5.547,5.542,5.534,5.527,5.514,5.507,5.455,5.385,5.312,5.22,4.774,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BELMONT,0.204,0.269,0.333,0.333,0.333,0.33,0.327,0.323,0.32,0.316,0.311,0.305,0.303,0.297,0.291,0.287,0.281,0.275,0.266,0.257,0.243,0.234,0.217,0.201,0.175,0.14,0.14,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BENSHAM,0.034,0.067,0.101,0.101,0.101,0.099,0.098,0.096,0.094,0.092,0.089,0.086,0.085,0.082,0.079,0.077,0.074,0.07,0.066,0.061,0.054,0.049,0.04,0.032,0.018,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BENTON SQUARE,0.041,0.082,0.123,0.123,0.123,0.121,0.119,0.116,0.114,0.112,0.109,0.105,0.103,0.1,0.096,0.093,0.089,0.086,0.08,0.075,0.065,0.06,0.049,0.039,0.022,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BENWELL,0.058,0.117,0.175,0.175,0.175,0.173,0.17,0.166,0.163,0.159,0.155,0.15,0.147,0.142,0.137,0.133,0.128,0.122,0.114,0.107,0.093,0.085,0.07,0.055,0.031,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,0.067,0.085,0.102,0.102,0.102,0.102,0.101,0.1,0.099,0.098,0.096,0.095,0.094,0.092,0.091,0.09,0.088,0.087,0.084,0.082,0.078,0.076,0.071,0.066,0.059,0.05,0.05,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BILLY MILL,2.48,2.51,2.539,2.539,2.539,2.538,2.537,2.535,2.533,2.531,2.529,2.527,2.525,2.523,2.52,2.518,2.515,2.513,2.509,2.505,2.498,2.494,2.486,2.479,2.467,2.451,2.451,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,0.022,0.043,0.065,0.065,0.065,0.064,0.063,0.061,0.06,0.059,0.057,0.056,0.055,0.053,0.051,0.049,0.047,0.045,0.042,0.039,0.035,0.032,0.026,0.02,0.012,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,4.39,4.411,4.431,4.431,4.431,4.43,4.429,4.428,4.427,4.426,4.424,4.422,4.421,4.42,4.418,4.416,4.414,4.413,4.41,4.407,4.403,4.4,4.394,4.389,4.381,4.37,4.37,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BLAYDON BURN,10.572,10.628,10.685,10.685,10.685,10.683,10.68,10.676,10.674,10.67,10.666,10.661,10.658,10.653,10.648,10.644,10.639,10.634,10.626,10.619,10.606,10.598,10.397,10.09,9.811,9.47,9.068,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BLUCHER 33/11KV,0.032,0.065,0.097,0.097,0.097,0.096,0.094,0.092,0.091,0.089,0.086,0.083,0.082,0.079,0.076,0.074,0.071,0.068,0.064,0.059,0.052,0.047,0.039,0.031,0.017,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BOLDON DOWNHILL,0.018,0.035,0.053,0.053,0.053,0.052,0.051,0.05,0.049,0.048,0.047,0.045,0.045,0.043,0.041,0.04,0.039,0.037,0.035,0.032,0.028,0.026,0.021,0.017,0.01,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.022,0.044,0.066,0.066,0.066,0.065,0.064,0.062,0.061,0.06,0.058,0.056,0.055,0.053,0.051,0.05,0.048,0.046,0.043,0.04,0.035,0.032,0.026,0.021,0.012,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BOWESFIELD 33/11KV,0.071,0.142,0.213,0.213,0.213,0.209,0.206,0.201,0.198,0.193,0.189,0.182,0.179,0.173,0.166,0.161,0.155,0.149,0.139,0.129,0.113,0.104,0.085,0.067,0.038,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BOWESFIELD 66/11KV,0.037,0.075,0.112,0.112,0.112,0.11,0.109,0.106,0.105,0.102,0.099,0.096,0.094,0.091,0.088,0.085,0.082,0.078,0.073,0.068,0.06,0.055,0.045,0.035,0.02,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BRANCEPETH,0.064,0.128,0.191,0.191,0.191,0.188,0.186,0.181,0.178,0.174,0.17,0.164,0.161,0.155,0.15,0.145,0.139,0.134,0.125,0.116,0.102,0.093,0.076,0.06,0.034,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BREAMISH STREET,0.041,0.081,0.122,0.122,0.122,0.12,0.118,0.115,0.114,0.111,0.108,0.104,0.102,0.099,0.095,0.092,0.089,0.085,0.08,0.074,0.065,0.059,0.048,0.038,0.022,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
BRENDA TRADING,0.071,0.142,0.213,0.213,0.213,0.209,0.206,0.201,0.198,0.193,0.189,0.182,0.179,0.173,0.166,0.161,0.155,0.149,0.139,0.129,0.113,0.104,0.085,0.067,0.038,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CAMPLESHON ROAD,0.06,0.12,0.18,0.18,0.18,0.178,0.175,0.171,0.168,0.164,0.16,0.155,0.152,0.146,0.141,0.137,0.132,0.126,0.118,0.11,0.096,0.088,0.072,0.057,0.032,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CARLEY HILL,0.062,0.123,0.185,0.185,0.185,0.182,0.179,0.175,0.172,0.168,0.164,0.158,0.156,0.15,0.144,0.14,0.135,0.129,0.121,0.112,0.099,0.09,0.073,0.058,0.033,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CARLIN HOW T3 T4,0.065,0.129,0.194,0.194,0.194,0.191,0.188,0.184,0.181,0.176,0.172,0.166,0.163,0.157,0.152,0.147,0.141,0.135,0.127,0.118,0.103,0.095,0.077,0.061,0.035,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CARR HILL,0.043,0.086,0.129,0.129,0.129,0.127,0.125,0.122,0.12,0.117,0.114,0.11,0.109,0.105,0.101,0.098,0.094,0.09,0.084,0.078,0.069,0.063,0.051,0.041,0.023,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CATTERICK CAMP,0.156,0.222,0.288,0.288,0.288,0.285,0.282,0.277,0.274,0.27,0.266,0.26,0.257,0.251,0.245,0.24,0.234,0.228,0.219,0.21,0.195,0.187,0.169,0.152,0.125,0.09,0.082,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CLOSE,0.102,0.203,0.305,0.305,0.305,0.3,0.296,0.289,0.284,0.277,0.27,0.261,0.257,0.247,0.238,0.231,0.222,0.213,0.199,0.185,0.162,0.149,0.121,0.096,0.055,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CONEYTHORPE,5.078,5.122,5.165,5.165,5.165,5.163,5.161,5.158,5.156,5.154,5.151,5.147,5.145,5.141,5.137,5.134,5.13,5.126,5.12,5.114,5.104,5.099,4.959,4.747,4.553,4.316,4.039,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CONSETT,0.254,0.332,0.41,0.41,0.41,0.406,0.403,0.397,0.394,0.388,0.383,0.376,0.373,0.366,0.359,0.353,0.346,0.339,0.329,0.318,0.3,0.29,0.269,0.249,0.218,0.176,0.168,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CORPORATION STREET,1.022,1.059,1.096,1.096,1.096,1.094,1.093,1.09,1.088,1.086,1.083,1.08,1.078,1.075,1.072,1.069,1.066,1.063,1.058,1.053,1.044,1.039,1.029,1.02,1.005,0.985,0.894,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CRAMLINGTON T1 T3,0.021,0.043,0.064,0.064,0.064,0.063,0.062,0.061,0.06,0.058,0.057,0.055,0.054,0.052,0.05,0.049,0.047,0.045,0.042,0.039,0.034,0.031,0.025,0.02,0.011,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
CRAMLINGTON T2 T4,0.022,0.045,0.067,0.067,0.067,0.066,0.065,0.064,0.063,0.061,0.06,0.058,0.056,0.054,0.052,0.051,0.049,0.047,0.044,0.041,0.036,0.033,0.027,0.021,0.012,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DARLEY,0.027,0.054,0.081,0.081,0.081,0.08,0.079,0.077,0.075,0.074,0.072,0.069,0.068,0.066,0.063,0.061,0.059,0.057,0.053,0.049,0.043,0.039,0.032,0.025,0.014,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DARLINGTON 132/6KV,0.027,0.054,0.081,0.081,0.081,0.08,0.079,0.077,0.075,0.074,0.072,0.069,0.068,0.066,0.063,0.061,0.059,0.057,0.053,0.049,0.043,0.039,0.032,0.025,0.014,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DARLINGTON 33/11KV,0.084,0.167,0.251,0.251,0.251,0.247,0.244,0.238,0.234,0.228,0.223,0.215,0.211,0.204,0.196,0.191,0.183,0.175,0.164,0.153,0.134,0.123,0.1,0.079,0.045,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DARLINGTON CENTRAL 33/11KV,0.017,0.035,0.052,0.052,0.052,0.052,0.051,0.05,0.049,0.048,0.047,0.045,0.044,0.043,0.041,0.04,0.038,0.037,0.034,0.032,0.028,0.026,0.021,0.017,0.009,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DARLINGTON EAST,2.541,2.581,2.622,2.622,2.622,2.62,2.619,2.616,2.614,2.611,2.608,2.605,2.603,2.599,2.596,2.593,2.589,2.585,2.58,2.574,2.565,2.56,2.549,2.538,2.522,2.5,2.5,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DARLINGTON WEST,3.487,3.524,3.561,3.561,3.561,3.56,3.558,3.556,3.554,3.551,3.549,3.546,3.544,3.54,3.537,3.535,3.531,3.528,3.523,3.518,3.509,3.504,3.494,3.485,3.47,3.449,3.219,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DENWICK,0.133,0.266,0.399,0.399,0.399,0.393,0.387,0.378,0.372,0.363,0.354,0.342,0.336,0.324,0.312,0.303,0.291,0.279,0.261,0.243,0.213,0.195,0.159,0.126,0.071,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DUNSTON 66/11KV,0.041,0.083,0.124,0.124,0.124,0.122,0.12,0.117,0.115,0.113,0.11,0.106,0.104,0.1,0.097,0.094,0.09,0.086,0.081,0.075,0.066,0.06,0.049,0.039,0.022,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DUNSTON 66/20KV,0.042,0.084,0.126,0.126,0.126,0.124,0.122,0.119,0.118,0.115,0.112,0.108,0.106,0.102,0.099,0.096,0.092,0.088,0.082,0.077,0.067,0.062,0.05,0.04,0.023,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
DURHAM EAST,0.059,0.117,0.176,0.176,0.176,0.173,0.171,0.167,0.164,0.16,0.156,0.151,0.148,0.143,0.138,0.134,0.128,0.123,0.115,0.107,0.094,0.086,0.07,0.055,0.031,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
EASTFIELD,0.049,0.098,0.147,0.147,0.147,0.145,0.143,0.14,0.137,0.134,0.131,0.126,0.124,0.12,0.115,0.112,0.107,0.103,0.096,0.09,0.079,0.072,0.059,0.046,0.026,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
EASTGATE CEMENT,0.027,0.054,0.081,0.081,0.081,0.08,0.079,0.077,0.075,0.074,0.072,0.069,0.068,0.066,0.063,0.061,0.059,0.057,0.053,0.049,0.043,0.039,0.032,0.025,0.014,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
EDUCATIONAL PRECINCT,0.301,0.351,0.402,0.402,0.402,0.4,0.397,0.394,0.392,0.388,0.385,0.38,0.378,0.373,0.369,0.365,0.361,0.356,0.349,0.342,0.331,0.324,0.31,0.298,0.277,0.25,0.25,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
ELVINGTON,0.03,0.06,0.09,0.09,0.09,0.089,0.088,0.086,0.084,0.082,0.08,0.077,0.076,0.073,0.071,0.069,0.066,0.063,0.059,0.055,0.048,0.044,0.036,0.028,0.016,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
FARADAY STREET,5.01,5.098,5.187,5.187,5.187,5.183,5.179,5.173,5.169,5.163,5.157,5.149,5.145,5.137,5.129,5.123,5.115,5.107,5.095,5.083,5.063,5.051,4.902,4.683,4.475,4.218,3.948,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
FAWDON T1 & SEATON BURN T1,2.386,2.445,2.503,2.503,2.503,2.501,2.498,2.494,2.491,2.487,2.484,2.478,2.476,2.47,2.465,2.461,2.456,2.45,2.443,2.435,2.421,2.414,2.342,2.239,2.139,2.014,1.881,NPgN,Primary,NG FES - Falling Behind,Total installed non-renewable generation capacity (MW)
