Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0.6,0.592,0.564,0.554,0.544,0.534,0.5,0.46,0.408,0.34,0.238,0.214,0.191,0.168,0.146,0.123,0.095,0.066,0.037,0.003,0.002,0.002,0.001,0.001,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
AMBERTON ROAD,3.663,3.862,3.766,3.939,4.044,4.034,3.941,3.789,3.454,2.794,1.423,1.516,1.33,1.168,1.034,0.898,0.739,0.572,0.404,0.301,0.299,0.296,0.294,0.292,0.29,0.287,0.287,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
ANNFIELD 66/20KV,1.39,1.407,1.354,1.368,1.372,1.356,1.295,1.218,1.095,0.898,0.546,0.527,0.467,0.41,0.36,0.307,0.245,0.179,0.114,0.051,0.05,0.049,0.048,0.047,0.046,0.045,0.045,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
ASHINGTON,4.042,4.164,4.085,4.191,4.253,4.241,4.16,4.038,3.79,3.322,2.374,2.42,2.285,2.163,2.034,1.903,1.751,1.592,1.43,1.307,1.262,1.202,1.146,1.035,0.928,0.828,0.828,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,0.407,0.4,0.381,0.375,0.368,0.361,0.338,0.311,0.276,0.23,0.161,0.145,0.129,0.113,0.099,0.083,0.064,0.045,0.025,0.002,0.002,0.001,0.001,0.001,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BARDEN FRIAR,0.11,0.108,0.103,0.101,0.099,0.097,0.091,0.084,0.074,0.062,0.043,0.039,0.035,0.031,0.027,0.022,0.017,0.012,0.007,0.001,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BEDALE,2.377,2.361,2.317,2.302,2.286,2.27,2.216,2.153,2.071,1.962,1.802,1.763,1.727,1.686,1.62,1.552,1.473,1.391,1.306,1.213,1.164,1.101,1.041,0.921,0.806,0.699,0.699,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BELMONT,1.228,1.221,1.168,1.161,1.151,1.132,1.069,0.993,0.886,0.733,0.484,0.448,0.399,0.35,0.306,0.258,0.203,0.144,0.086,0.022,0.021,0.02,0.019,0.018,0.017,0.016,0.016,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BENSHAM,0.574,0.564,0.537,0.528,0.519,0.509,0.476,0.439,0.389,0.324,0.227,0.204,0.182,0.16,0.139,0.117,0.091,0.063,0.035,0.003,0.002,0.002,0.001,0.001,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BENTON SQUARE,0.697,0.686,0.653,0.642,0.631,0.619,0.579,0.534,0.473,0.394,0.276,0.248,0.221,0.194,0.169,0.142,0.11,0.076,0.043,0.003,0.003,0.002,0.002,0.001,0.001,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BENWELL,0.996,0.979,0.933,0.917,0.901,0.883,0.827,0.762,0.675,0.562,0.394,0.354,0.316,0.277,0.241,0.203,0.158,0.109,0.062,0.005,0.004,0.003,0.002,0.002,0.001,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,0.344,0.343,0.329,0.328,0.325,0.32,0.303,0.282,0.252,0.208,0.136,0.126,0.112,0.099,0.086,0.073,0.058,0.041,0.025,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.006,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BILLY MILL,2.782,2.985,2.927,3.105,3.218,3.222,3.174,3.076,2.818,2.268,1.075,1.195,1.044,0.917,0.815,0.713,0.593,0.468,0.342,0.286,0.284,0.282,0.281,0.279,0.278,0.276,0.276,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,0.368,0.362,0.345,0.339,0.333,0.327,0.306,0.282,0.25,0.208,0.146,0.131,0.117,0.103,0.089,0.075,0.058,0.04,0.023,0.002,0.001,0.001,0.001,0.001,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,4.411,4.783,4.705,5.031,5.241,5.257,5.203,5.064,4.652,3.734,1.699,1.936,1.687,1.482,1.319,1.159,0.97,0.775,0.576,0.507,0.504,0.502,0.499,0.497,0.495,0.492,0.492,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BLAYDON BURN,11.258,11.519,11.428,11.656,11.798,11.797,11.718,11.569,11.206,10.452,8.842,8.986,8.777,8.579,8.272,7.964,7.612,7.252,6.869,6.575,6.33,6.003,5.697,5.087,4.497,3.947,3.947,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BLUCHER 33/11KV,0.553,0.544,0.518,0.509,0.5,0.491,0.46,0.423,0.375,0.312,0.219,0.196,0.175,0.154,0.134,0.113,0.088,0.061,0.034,0.003,0.002,0.002,0.001,0.001,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BOLDON DOWNHILL,0.302,0.297,0.283,0.278,0.273,0.268,0.251,0.231,0.205,0.17,0.119,0.107,0.096,0.084,0.073,0.061,0.048,0.033,0.019,0.001,0.001,0.001,0.001,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.374,0.368,0.351,0.345,0.339,0.332,0.311,0.286,0.254,0.211,0.148,0.133,0.119,0.104,0.091,0.076,0.059,0.041,0.023,0.002,0.002,0.001,0.001,0.001,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
BOWESFIELD 33/11KV,1.209,1.188,1.132,1.113,1.094,1.072,1.004,0.925,0.82,0.682,0.478,0.429,0.384,0.337,0.293,0.246,0.191,0.133,0.075,0.006,0.005,0.004,0.003,0.002,0.001,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed non-renewable generation capacity (MW)
