Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,18,18.235,18.544,18.999,19.468,19.995,20.637,21.639,22.757,23.953,25.105,26.1,27.187,28.523,29.885,31.236,32.696,33.638,34.697,35.691,36.632,37.461,38.185,38.791,39.67,40.54,40.534,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
AMBERTON ROAD,25.101,24.979,27.044,27.244,27.441,27.704,28.113,28.626,29.169,29.745,30.346,31.028,31.683,32.368,33.03,33.665,34.306,34.71,35.075,35.369,35.628,35.846,36.027,36.122,36.332,36.524,36.594,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
ANNFIELD 66/20KV,20.477,20.548,20.807,21.221,21.614,22.03,22.55,23.412,24.633,25.874,27.187,28.572,29.902,31.44,33.021,34.621,36.321,37.346,38.225,39.053,39.787,40.415,40.948,41.379,42.067,42.743,42.752,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
ASHINGTON,17.909,18.091,18.511,19.184,19.845,20.523,21.325,22.546,24.002,25.499,26.989,28.44,29.9,31.597,33.335,35.068,36.897,37.983,38.984,39.933,40.797,41.539,42.17,42.669,43.458,44.233,44.249,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
AYCLIFFE FORREST,0,0,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL,17.931,17.897,17.932,18.027,18.126,18.258,18.456,18.791,19.238,19.702,20.156,20.575,21.009,21.519,22.04,22.557,23.111,23.458,23.85,24.229,24.584,24.894,25.162,25.38,25.697,26.004,26.003,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
BARDEN FRIAR,0.76,0.76,0.772,0.788,0.802,0.818,0.838,0.865,0.908,0.95,1.003,1.075,1.135,1.199,1.263,1.329,1.397,1.443,1.461,1.475,1.487,1.496,1.504,1.509,1.52,1.532,1.538,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
BEDALE,15.907,16.052,17.837,18.257,18.656,19.072,19.562,20.253,21.036,21.82,22.733,23.845,24.836,25.918,27.046,28.174,29.324,30.036,30.394,30.678,30.875,31.034,31.163,31.245,31.448,31.665,31.763,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
BELMONT,22.44,22.507,24.549,24.854,25.164,25.495,25.906,26.582,27.302,28.084,28.905,29.746,30.595,31.625,32.688,33.756,34.891,35.558,36.094,36.611,37.065,37.458,37.798,38.079,38.545,39.019,39.06,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
BENSHAM,18.045,17.911,22.416,22.423,22.465,22.552,22.7,22.799,22.888,23.015,23.172,23.367,23.571,23.793,24.008,24.215,24.427,24.536,24.635,24.749,24.844,24.917,24.967,24.981,25.025,25.056,25.044,NPgN,Primary,NG FES - Electric Engagement,Total peak demand with ToUT (MW)
