Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,18.1,18.379,18.631,18.913,19.283,19.737,20.261,21.023,22.213,23.292,24.332,25.343,25.83,26.201,26.572,27.002,27.532,28.167,28.909,29.661,30.378,31.05,31.657,32.22,32.765,33.272,33.758,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
AMBERTON ROAD,25.279,25.325,27.516,27.702,27.889,28.129,28.395,28.902,29.579,30.123,30.72,31.382,31.669,31.893,32.126,32.386,32.703,33.011,33.335,33.643,33.933,34.197,34.428,34.652,34.925,35.188,35.467,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
ANNFIELD 66/20KV,20.607,20.761,20.998,21.287,21.634,22.032,22.474,23.118,24.256,25.322,26.46,27.754,28.531,29.157,29.77,30.423,31.156,31.925,32.647,33.378,34.072,34.73,35.323,35.869,36.395,36.889,37.448,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
ASHINGTON,18.028,18.258,18.574,18.978,19.479,20.046,20.665,21.514,22.854,24.106,25.37,26.707,27.498,28.142,28.789,29.478,30.257,31.064,31.864,32.675,33.442,34.163,34.808,35.402,35.969,36.497,37.069,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
AYCLIFFE FORREST,0,0,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.056,1.056,1.056,1.056,1.056,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL,18.044,18.128,18.228,18.35,18.503,18.692,18.908,19.218,19.71,20.17,20.628,21.09,21.387,21.641,21.894,22.163,22.461,22.794,23.157,23.527,23.878,24.209,24.51,24.79,25.053,25.294,25.543,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
BARDEN FRIAR,0.767,0.771,0.784,0.801,0.818,0.837,0.857,0.882,0.92,0.957,1.004,1.067,1.111,1.148,1.183,1.219,1.256,1.291,1.312,1.332,1.352,1.372,1.391,1.408,1.424,1.441,1.465,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
BEDALE,16.012,16.26,18.04,18.399,18.798,19.233,19.695,20.246,20.982,21.688,22.505,23.534,24.251,24.878,25.529,26.19,26.885,27.516,27.977,28.395,28.794,29.18,29.534,29.86,30.18,30.498,30.919,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
BELMONT,22.575,22.778,24.871,25.131,25.446,25.806,26.207,26.752,27.562,28.317,29.107,29.99,30.471,30.865,31.265,31.708,32.221,32.738,33.22,33.733,34.228,34.707,35.149,35.572,35.991,36.4,36.851,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
BENSHAM,18.108,18.149,22.82,22.915,22.983,23.079,23.212,23.47,23.838,24.121,24.396,24.68,24.75,24.778,24.816,24.877,24.97,25.063,25.171,25.342,25.505,25.653,25.785,25.915,26.041,26.153,26.273,NPgN,Primary,NG FES - Falling Behind,Total peak demand with ToUT (MW)
