Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,18,18.356,18.748,19.319,19.945,20.599,21.283,22.34,23.513,24.756,25.801,26.453,27.249,27.972,28.552,29.074,29.553,30.039,30.49,30.888,31.244,31.526,31.769,31.912,32.071,32.2,32.209,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
AMBERTON ROAD,25.217,25.167,27.325,27.574,27.901,28.398,28.935,29.506,30.12,30.772,31.426,32.146,32.794,33.383,33.917,34.414,34.891,35.345,35.76,36.107,36.421,36.69,36.909,37.01,37.168,37.305,37.416,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
ANNFIELD 66/20KV,20.562,20.697,20.959,21.381,21.855,22.383,22.997,24.027,25.286,26.579,27.891,29.006,30.069,31.032,31.808,32.494,33.101,33.692,34.228,34.726,35.174,35.556,35.906,36.164,36.427,36.647,36.728,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
ASHINGTON,17.992,18.222,18.63,19.285,20.002,20.771,21.637,22.952,24.435,25.964,27.415,28.61,29.8,30.872,31.762,32.553,33.261,33.951,34.58,35.156,35.673,36.103,36.464,36.675,36.911,37.101,37.157,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
AYCLIFFE FORREST,0,0,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.056,1.056,1.056,1.056,1.056,1.056,1.056,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL,18.005,18.056,18.16,18.337,18.544,18.782,19.063,19.511,20.035,20.585,21.09,21.48,21.926,22.348,22.709,23.038,23.336,23.633,23.913,24.177,24.419,24.633,24.807,24.912,25.027,25.13,25.2,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BARDEN FRIAR,0.764,0.767,0.78,0.797,0.816,0.838,0.865,0.902,0.948,0.994,1.051,1.118,1.171,1.218,1.259,1.295,1.328,1.36,1.389,1.416,1.44,1.463,1.484,1.503,1.521,1.538,1.549,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BEDALE,15.97,16.186,17.992,18.426,18.889,19.398,19.981,20.764,21.614,22.466,23.462,24.575,25.444,26.209,26.895,27.52,28.088,28.625,29.117,29.565,29.978,30.347,30.7,31.003,31.309,31.586,31.78,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BELMONT,22.526,22.688,24.816,25.199,25.621,26.083,26.573,27.308,28.114,28.976,29.827,30.571,31.251,31.855,32.359,32.822,33.249,33.67,34.06,34.449,34.809,35.118,35.414,35.656,35.904,36.125,36.252,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BENSHAM,18.093,18.038,22.664,22.772,22.885,23.035,23.2,23.306,23.458,23.645,23.856,24.098,24.337,24.56,24.75,24.924,25.087,25.233,25.361,25.514,25.652,25.771,25.869,25.929,25.999,26.06,26.103,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BENTON SQUARE,18.126,18.542,20.177,20.854,21.586,22.35,23.141,24.23,25.299,26.39,27.32,28.039,28.79,29.448,30.109,30.722,31.297,31.877,32.425,32.936,33.409,33.81,34.152,34.374,34.621,34.848,35.007,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BENWELL,20.534,20.459,20.53,20.714,20.949,21.249,21.578,21.823,22.126,22.463,22.849,23.32,23.734,24.108,24.457,24.778,25.09,25.372,25.624,25.848,26.047,26.214,26.352,26.429,26.525,26.605,26.658,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BILLINGHAM MARSH HOUSE,17.137,17.451,18.421,19.016,19.671,20.4,21.248,22.401,23.795,25.211,26.548,27.6,28.756,29.855,30.81,31.662,32.423,33.149,33.812,34.397,34.922,35.378,35.767,36.025,36.309,36.553,36.697,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BILLY MILL,17.496,17.557,17.732,18.038,18.381,18.784,19.269,19.976,20.917,21.88,22.764,23.373,24.124,24.858,25.488,26.052,26.56,27.049,27.494,27.885,28.236,28.54,28.806,28.986,29.18,29.344,29.421,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BIRTLEY GROVE 66/11KV,13.026,13.136,17.013,17.304,17.659,18.087,18.587,19.296,20.153,21.043,21.894,22.573,23.288,23.961,24.532,25.029,25.461,25.863,26.222,26.541,26.816,27.047,27.239,27.357,27.476,27.571,27.611,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BIRTLEY GROVE 66/20KV,10.845,10.851,10.892,10.977,11.087,11.214,11.357,11.6,11.882,12.184,12.451,12.625,12.834,13.028,13.189,13.332,13.459,13.582,13.693,13.807,13.908,13.993,14.067,14.118,14.17,14.215,14.235,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BLAYDON BURN,14.278,14.415,14.606,14.903,15.244,15.623,16.023,16.691,17.48,18.322,19.066,19.53,20.082,20.593,21.005,21.366,21.678,21.989,22.271,22.557,22.809,23.017,23.207,23.348,23.486,23.602,23.643,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BLUCHER 33/11KV,13.068,13.391,14.077,14.643,15.287,15.969,16.688,17.666,18.752,19.89,20.874,21.513,22.259,22.955,23.56,24.099,24.577,25.029,25.436,25.797,26.108,26.356,26.578,26.737,26.902,27.037,27.069,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BOLDON DOWNHILL,8.892,8.961,9.62,9.832,10.069,10.335,10.647,11.154,11.84,12.555,13.212,13.637,14.167,14.676,15.095,15.462,15.784,16.094,16.375,16.623,16.841,17.024,17.185,17.292,17.407,17.497,17.512,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,4.032,4.165,5.449,5.684,5.972,6.307,6.7,7.167,7.631,8.079,8.527,8.983,9.366,9.707,10.003,10.258,10.478,10.664,10.821,10.945,11.044,11.119,11.178,11.21,11.274,11.328,11.371,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BOWESFIELD 33/11KV,11.988,12.21,13.777,14.233,14.746,15.314,15.909,16.643,17.449,18.292,19.049,19.633,20.265,20.855,21.404,21.908,22.373,22.818,23.23,23.607,23.95,24.248,24.52,24.73,24.947,25.145,25.284,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BOWESFIELD 66/11KV,14.288,14.589,14.927,15.378,15.867,16.372,16.879,17.509,18.087,18.695,19.215,19.694,20.223,20.711,21.199,21.665,22.107,22.586,23.058,23.501,23.926,24.313,24.607,24.761,24.938,25.116,25.311,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BRANCEPETH,15.169,15.491,15.94,16.543,17.261,18.123,19.033,20.352,21.965,23.655,25.722,27.997,29.753,31.291,32.538,33.652,34.635,35.591,36.455,37.224,37.922,38.533,39.131,39.616,40.067,40.444,40.594,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BREAMISH STREET,10.729,10.705,12.22,12.36,12.508,12.681,12.829,12.85,12.951,13.103,13.247,13.344,13.508,13.686,13.86,14.028,14.194,14.35,14.497,14.637,14.767,14.88,14.983,15.06,15.148,15.228,15.282,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
BRENDA TRADING,20.203,20.307,22.621,23.103,23.666,24.32,25.063,26.161,27.512,28.928,30.222,31.136,32.186,33.177,33.995,34.712,35.344,35.942,36.479,36.941,37.34,37.666,37.942,38.103,38.308,38.47,38.511,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CAMPLESHON ROAD,17.621,17.771,18.042,18.451,18.901,19.398,19.955,20.743,21.682,22.665,23.737,24.801,25.716,26.527,27.2,27.803,28.348,28.873,29.346,29.769,30.152,30.478,30.777,30.998,31.229,31.423,31.499,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CARLEY HILL,16.326,16.39,16.58,16.889,17.232,17.635,18.098,18.81,19.791,20.821,21.757,22.348,23.096,23.818,24.424,24.96,25.44,25.902,26.318,26.679,26.998,27.262,27.503,27.671,27.85,27.991,28.019,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CARLIN HOW T3 T4,15.21,15.328,15.583,15.981,16.435,16.938,17.532,18.557,19.771,20.98,22.481,24.15,25.376,26.417,27.257,27.993,28.635,29.253,29.802,30.29,30.726,31.095,31.456,31.75,32.037,32.269,32.335,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CARR HILL,17.359,17.454,17.699,18.104,18.549,19.053,19.634,20.484,21.697,22.981,24.145,24.848,25.813,26.771,27.547,28.229,28.82,29.372,29.868,30.319,30.717,31.052,31.345,31.535,31.741,31.903,31.921,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CATTERICK CAMP,16.217,16.496,17.245,17.811,18.4,19.034,19.722,20.625,21.601,22.678,23.863,25.135,26.202,27.154,27.978,28.739,29.441,30.128,30.77,31.365,31.921,32.423,32.882,33.243,33.615,33.957,34.208,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CLOSE,22.712,22.543,23.86,23.827,23.847,23.911,23.951,23.852,23.767,23.723,23.74,23.857,23.948,24.032,24.14,24.253,24.371,24.485,24.594,24.697,24.796,24.886,24.967,25.027,25.088,25.148,25.209,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CONEYTHORPE,13.846,13.97,14.558,14.827,15.143,15.49,15.874,16.419,17.009,17.613,18.223,18.796,19.311,19.768,20.146,20.49,20.803,21.108,21.388,21.636,21.861,22.051,22.222,22.343,22.495,22.629,22.705,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CONSETT,21.842,22.088,22.488,23.08,23.742,24.475,25.315,26.644,28.185,29.766,31.368,32.793,34.111,35.293,36.257,37.108,37.858,38.589,39.251,39.867,40.419,40.886,41.296,41.572,41.859,42.095,42.187,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CORPORATION STREET,11.968,11.891,11.869,11.889,11.928,11.99,12.041,12.052,12.12,12.225,12.319,12.364,12.46,12.566,12.663,12.758,12.85,12.937,13.017,13.092,13.162,13.221,13.277,13.32,13.365,13.405,13.424,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CRAMLINGTON T1 T3,10.484,10.508,11.099,11.214,11.358,11.519,11.684,11.942,12.218,12.528,12.797,12.976,13.174,13.353,13.505,13.644,13.769,13.896,14.012,14.12,14.216,14.292,14.363,14.415,14.468,14.513,14.53,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
CRAMLINGTON T2 T4,10.924,10.94,10.993,11.106,11.259,11.435,11.626,11.899,12.186,12.505,12.791,13.006,13.229,13.431,13.609,13.767,13.907,14.041,14.161,14.27,14.363,14.436,14.5,14.543,14.587,14.625,14.64,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
DARLEY,3.363,3.421,3.494,3.586,3.77,4.106,4.427,4.741,5.098,5.487,5.899,6.369,6.778,7.164,7.529,7.877,8.215,8.554,8.873,9.143,9.4,9.641,9.868,10.037,10.18,10.311,10.429,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
DARLINGTON 132/6KV,2.679,2.797,2.971,3.217,3.487,3.774,4.078,4.473,4.942,5.441,5.89,6.212,6.59,6.948,7.245,7.512,7.747,7.971,8.175,8.356,8.517,8.651,8.761,8.823,8.893,8.949,8.957,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
DARLINGTON 33/11KV,14.509,14.49,15.541,15.768,16.037,16.357,16.707,17.181,17.82,18.514,19.159,19.62,20.172,20.7,21.131,21.517,21.865,22.201,22.507,22.772,23.008,23.205,23.373,23.471,23.58,23.665,23.679,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
DARLINGTON CENTRAL 33/11KV,9.814,9.759,10.754,10.789,10.843,10.915,11.005,11.104,11.216,11.338,11.462,11.595,11.721,11.836,11.936,12.029,12.119,12.2,12.274,12.337,12.392,12.438,12.472,12.485,12.505,12.52,12.526,NPgN,Primary,NG FES - Hydrogen Evolution,Total peak demand with ToUT (MW)
