Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,18,18.232,18.537,18.988,19.454,19.976,20.619,21.628,22.742,23.937,25.088,26.185,27.392,28.868,30.348,31.826,33.349,34.357,35.578,36.684,37.662,38.541,39.291,39.908,40.466,40.973,40.98,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
AMBERTON ROAD,25.1,24.973,27.037,27.23,27.423,27.679,28.137,28.659,29.209,29.792,30.399,31.109,31.789,32.498,33.187,33.841,34.496,34.833,35.167,35.413,35.612,35.774,35.909,35.953,36.038,36.094,36.145,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
ANNFIELD 66/20KV,20.485,20.555,20.812,21.223,21.612,22.026,22.55,23.405,24.621,25.855,27.16,28.628,30.067,31.733,33.434,35.157,36.904,37.749,38.678,39.522,40.269,40.933,41.493,41.895,42.246,42.557,42.549,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
ASHINGTON,17.918,18.099,18.517,19.186,19.843,20.517,21.324,22.545,23.994,25.484,26.964,28.512,30.092,31.927,33.787,35.645,37.502,38.438,39.495,40.456,41.298,42.043,42.666,43.113,43.508,43.852,43.846,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
AYCLIFFE FORREST,0,0,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.055,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,1.056,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
AYCLIFFE INDUSTRIAL,17.935,17.902,17.937,18.032,18.133,18.265,18.465,18.803,19.251,19.718,20.175,20.632,21.111,21.677,22.249,22.821,23.406,23.774,24.213,24.622,24.983,25.304,25.574,25.786,25.964,26.109,26.114,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BARDEN FRIAR,0.761,0.76,0.772,0.789,0.803,0.818,0.839,0.865,0.908,0.95,1.003,1.077,1.141,1.209,1.278,1.349,1.422,1.445,1.459,1.472,1.484,1.496,1.507,1.511,1.515,1.521,1.527,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BEDALE,15.911,16.056,17.84,18.256,18.652,19.066,19.559,20.247,21.028,21.811,22.719,23.875,24.929,26.087,27.29,28.499,29.706,30.122,30.424,30.662,30.873,31.07,31.248,31.317,31.4,31.502,31.602,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BELMONT,22.441,22.505,24.543,24.842,25.147,25.475,25.889,26.569,27.286,28.067,28.884,29.793,30.727,31.855,33.004,34.164,35.34,35.882,36.468,37.01,37.492,37.932,38.318,38.606,38.881,39.151,39.195,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
BENSHAM,18.039,17.901,22.403,22.407,22.447,22.531,22.68,22.785,22.876,23.005,23.161,23.366,23.581,23.816,24.044,24.264,24.487,24.57,24.652,24.745,24.817,24.867,24.895,24.887,24.873,24.843,24.828,NPgN,Primary,NG FES - Holistic Transition,Total peak demand with ToUT (MW)
