Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78.8,80,81.3,83.3,85.4,87.7,90.5,94.9,99.8,105.1,110.1,114.5,119.2,125.1,131.1,137,143.4,147.5,152.2,156.5,160.7,164.3,167.5,170.1,174,177.8,177.8,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
AMBERTON ROAD,62.8,62.4,67.6,68.1,68.6,69.3,70.3,71.6,72.9,74.4,75.9,77.6,79.2,80.9,82.6,84.2,85.8,86.8,87.7,88.4,89.1,89.6,90.1,90.3,90.8,91.3,91.5,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
ANNFIELD 66/20KV,73.9,74.2,75.1,76.6,78,79.5,81.4,84.5,88.9,93.4,98.1,103.1,107.9,113.5,119.2,125,131.1,134.8,138,141,143.6,145.9,147.8,149.4,151.9,154.3,154.3,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
ASHINGTON,78.5,79.3,81.2,84.1,87,90,93.5,98.9,105.3,111.8,118.4,124.7,131.1,138.6,146.2,153.8,161.8,166.6,171,175.1,178.9,182.2,185,187.1,190.6,194,194.1,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
AYCLIFFE FORREST,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
AYCLIFFE INDUSTRIAL,94.4,94.2,94.4,94.9,95.4,96.1,97.1,98.9,101.3,103.7,106.1,108.3,110.6,113.3,116,118.7,121.6,123.5,125.5,127.5,129.4,131,132.4,133.6,135.2,136.9,136.9,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
BARDEN FRIAR,15.2,15.2,15.4,15.8,16,16.4,16.8,17.3,18.2,19,20.1,21.5,22.7,24,25.3,26.6,27.9,28.9,29.2,29.5,29.7,29.9,30.1,30.2,30.4,30.6,30.8,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
BEDALE,72.3,73,81.1,83,84.8,86.7,88.9,92.1,95.6,99.2,103.3,108.4,112.9,117.8,122.9,128.1,133.3,136.5,138.2,139.4,140.3,141.1,141.7,142,142.9,143.9,144.4,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
BELMONT,70.1,70.3,76.7,77.7,78.6,79.7,81,83.1,85.3,87.8,90.3,93,95.6,98.8,102.1,105.5,109,111.1,112.8,114.4,115.8,117.1,118.1,119,120.5,121.9,122.1,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
BENSHAM,59.2,58.7,73.5,73.5,73.7,73.9,74.4,74.7,75,75.5,76,76.6,77.3,78,78.7,79.4,80.1,80.4,80.8,81.1,81.5,81.7,81.9,81.9,82,82.1,82.1,NPgN,Primary,NG FES - Electric Engagement,Peak utilisation with ToUT (percent - whole number)
