Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,79.2,80.6,81.7,83,84.6,86.6,88.9,92.2,97.4,102.2,106.7,111.2,113.3,114.9,116.5,118.4,120.8,123.5,126.8,130.1,133.2,136.2,138.8,141.3,143.7,145.9,148.1,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
AMBERTON ROAD,63.2,63.3,68.8,69.3,69.7,70.3,71,72.3,73.9,75.3,76.8,78.5,79.2,79.7,80.3,81,81.8,82.5,83.3,84.1,84.8,85.5,86.1,86.6,87.3,88,88.7,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
ANNFIELD 66/20KV,74.4,74.9,75.8,76.8,78.1,79.5,81.1,83.5,87.6,91.4,95.5,100.2,103,105.3,107.5,109.8,112.5,115.3,117.9,120.5,123,125.4,127.5,129.5,131.4,133.2,135.2,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
ASHINGTON,79.1,80.1,81.5,83.2,85.4,87.9,90.6,94.4,100.2,105.7,111.3,117.1,120.6,123.4,126.3,129.3,132.7,136.2,139.8,143.3,146.7,149.8,152.7,155.3,157.8,160.1,162.6,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
AYCLIFFE FORREST,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
AYCLIFFE INDUSTRIAL,95,95.4,95.9,96.6,97.4,98.4,99.5,101.1,103.7,106.2,108.6,111,112.6,113.9,115.2,116.6,118.2,120,121.9,123.8,125.7,127.4,129,130.5,131.9,133.1,134.4,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BARDEN FRIAR,15.3,15.4,15.7,16,16.4,16.7,17.1,17.6,18.4,19.1,20.1,21.3,22.2,23,23.7,24.4,25.1,25.8,26.2,26.6,27,27.4,27.8,28.2,28.5,28.8,29.3,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BEDALE,72.8,73.9,82,83.6,85.4,87.4,89.5,92,95.4,98.6,102.3,107,110.2,113.1,116,119,122.2,125.1,127.2,129.1,130.9,132.6,134.2,135.7,137.2,138.6,140.5,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BELMONT,70.5,71.2,77.7,78.5,79.5,80.6,81.9,83.6,86.1,88.5,91,93.7,95.2,96.5,97.7,99.1,100.7,102.3,103.8,105.4,107,108.5,109.8,111.2,112.5,113.8,115.2,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BENSHAM,59.4,59.5,74.8,75.1,75.4,75.7,76.1,77,78.2,79.1,80,80.9,81.1,81.2,81.4,81.6,81.9,82.2,82.5,83.1,83.6,84.1,84.5,85,85.4,85.7,86.1,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BENTON SQUARE,75.7,77.4,83.6,85.3,87.3,89.6,92.3,95.7,100.2,104.2,108,111.7,113.6,115.3,117.4,119.7,122.3,125.1,128.1,131,133.8,136.5,139,141.3,143.5,145.7,147.8,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BENWELL,70.9,71,71.4,71.9,72.5,73.1,74,75.7,78.1,79.9,81.6,83.4,83.8,84,84.3,84.8,85.5,86.1,86.8,87.7,88.4,89.1,89.7,90.3,90.9,91.4,92,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BILLINGHAM MARSH HOUSE,75.3,76.8,80.7,82.5,84.6,87.1,89.9,93.6,99.4,104.7,109.9,115.1,118.6,121.7,124.9,128.2,131.6,135.4,139.4,143.2,146.8,150.1,153.1,155.8,158.3,160.6,163,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BILLY MILL,73.1,73.5,74.3,75.2,76.2,77.5,78.9,81.2,85.1,88.7,92.1,95.4,97.4,99,100.7,102.6,104.6,106.9,109.5,112.1,114.6,116.9,119,120.9,122.7,124.4,126,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BIRTLEY GROVE 66/11KV,43.5,44,56.8,57.4,58.2,59.1,60.2,61.8,64.3,66.6,69.1,71.6,73.3,74.8,76.4,78,79.6,81.4,83.2,84.9,86.5,88,89.3,90.4,91.4,92.4,93.3,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BIRTLEY GROVE 66/20KV,38.8,38.9,39,39.2,39.4,39.7,40.1,40.6,41.6,42.5,43.4,44.3,44.8,45.2,45.7,46.1,46.7,47.3,48.1,48.8,49.5,50.2,50.8,51.4,51.9,52.4,52.9,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BLAYDON BURN,59.6,60.3,60.8,61.4,62.2,63.2,64.4,66.1,69,71.8,74.6,77.6,79.3,80.7,82.2,83.7,85.5,87.6,89.9,92.3,94.5,96.6,98.5,100.2,101.9,103.4,104.9,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
BLUCHER 33/11KV,54.5,56.2,58.3,59.4,61.1,63,65.2,68,72,75.9,79.7,83.4,85.7,87.7,89.9,92.1,94.4,97.1,100,102.9,105.5,108,110.2,112.3,114.2,116,117.7,NPgN,Primary,NG FES - Falling Behind,Peak utilisation with ToUT (percent - whole number)
