Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,79.1,80.5,82.2,84.7,87.5,90.3,93.3,98,103.1,108.6,113.2,116,119.5,122.7,125.2,127.5,129.6,131.7,133.7,135.5,137,138.3,139.3,140,140.7,141.2,141.3,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
AMBERTON ROAD,63,62.9,68.3,68.9,69.8,71,72.3,73.8,75.3,76.9,78.6,80.4,82,83.5,84.8,86,87.2,88.4,89.4,90.3,91.1,91.7,92.3,92.5,92.9,93.3,93.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
ANNFIELD 66/20KV,74.2,74.7,75.7,77.2,78.9,80.8,83,86.7,91.3,96,100.7,104.7,108.6,112,114.8,117.3,119.5,121.6,123.6,125.4,127,128.4,129.6,130.6,131.5,132.3,132.6,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
ASHINGTON,78.9,79.9,81.7,84.6,87.7,91.1,94.9,100.7,107.2,113.9,120.2,125.5,130.7,135.4,139.3,142.8,145.9,148.9,151.7,154.2,156.5,158.3,159.9,160.9,161.9,162.7,163,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
AYCLIFFE FORREST,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
AYCLIFFE INDUSTRIAL,94.8,95,95.6,96.5,97.6,98.9,100.3,102.7,105.4,108.3,111,113.1,115.4,117.6,119.5,121.3,122.8,124.4,125.9,127.2,128.5,129.6,130.6,131.1,131.7,132.3,132.6,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BARDEN FRIAR,15.3,15.3,15.6,15.9,16.3,16.8,17.3,18,19,19.9,21,22.4,23.4,24.4,25.2,25.9,26.6,27.2,27.8,28.3,28.8,29.3,29.7,30.1,30.4,30.8,31,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BEDALE,72.6,73.6,81.8,83.8,85.9,88.2,90.8,94.4,98.2,102.1,106.6,111.7,115.7,119.1,122.2,125.1,127.7,130.1,132.3,134.4,136.3,137.9,139.5,140.9,142.3,143.6,144.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BELMONT,70.4,70.9,77.6,78.7,80.1,81.5,83,85.3,87.9,90.5,93.2,95.5,97.7,99.5,101.1,102.6,103.9,105.2,106.4,107.7,108.8,109.7,110.7,111.4,112.2,112.9,113.3,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BENSHAM,59.3,59.1,74.3,74.7,75,75.5,76.1,76.4,76.9,77.5,78.2,79,79.8,80.5,81.1,81.7,82.3,82.7,83.2,83.7,84.1,84.5,84.8,85,85.2,85.4,85.6,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BENTON SQUARE,75.5,77.3,84.1,86.9,89.9,93.1,96.4,101,105.4,110,113.8,116.8,120,122.7,125.5,128,130.4,132.8,135.1,137.2,139.2,140.9,142.3,143.2,144.3,145.2,145.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BENWELL,70.8,70.5,70.8,71.4,72.2,73.3,74.4,75.3,76.3,77.5,78.8,80.4,81.8,83.1,84.3,85.4,86.5,87.5,88.4,89.1,89.8,90.4,90.9,91.1,91.5,91.7,91.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BILLINGHAM MARSH HOUSE,75.2,76.5,80.8,83.4,86.3,89.5,93.2,98.2,104.4,110.6,116.4,121.1,126.1,130.9,135.1,138.9,142.2,145.4,148.3,150.9,153.2,155.2,156.9,158,159.2,160.3,161,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BILLY MILL,72.9,73.2,73.9,75.2,76.6,78.3,80.3,83.2,87.2,91.2,94.9,97.4,100.5,103.6,106.2,108.5,110.7,112.7,114.6,116.2,117.6,118.9,120,120.8,121.6,122.3,122.6,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BIRTLEY GROVE 66/11KV,43.4,43.8,56.7,57.7,58.9,60.3,62,64.3,67.2,70.1,73,75.2,77.6,79.9,81.8,83.4,84.9,86.2,87.4,88.5,89.4,90.2,90.8,91.2,91.6,91.9,92,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BIRTLEY GROVE 66/20KV,38.7,38.8,38.9,39.2,39.6,40.1,40.6,41.4,42.4,43.5,44.5,45.1,45.8,46.5,47.1,47.6,48.1,48.5,48.9,49.3,49.7,50,50.2,50.4,50.6,50.8,50.8,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BLAYDON BURN,59.5,60.1,60.9,62.1,63.5,65.1,66.8,69.5,72.8,76.3,79.4,81.4,83.7,85.8,87.5,89,90.3,91.6,92.8,94,95,95.9,96.7,97.3,97.9,98.3,98.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BLUCHER 33/11KV,54.4,55.8,58.7,61,63.7,66.5,69.5,73.6,78.1,82.9,87,89.6,92.7,95.6,98.2,100.4,102.4,104.3,106,107.5,108.8,109.8,110.7,111.4,112.1,112.7,112.8,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BOLDON DOWNHILL,35.1,35.4,38,38.9,39.8,40.9,42.1,44.1,46.8,49.6,52.2,53.9,56,58,59.7,61.1,62.4,63.6,64.7,65.7,66.6,67.3,67.9,68.3,68.8,69.2,69.2,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,26.9,27.8,36.3,37.9,39.8,42,44.7,47.8,50.9,53.9,56.8,59.9,62.4,64.7,66.7,68.4,69.9,71.1,72.1,73,73.6,74.1,74.5,74.7,75.2,75.5,75.8,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BOWESFIELD 33/11KV,38.5,39.3,44.3,45.8,47.4,49.2,51.2,53.5,56.1,58.8,61.3,63.1,65.2,67.1,68.8,70.4,71.9,73.4,74.7,75.9,77,78,78.8,79.5,80.2,80.9,81.3,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BOWESFIELD 66/11KV,44.6,45.6,46.6,48.1,49.6,51.2,52.7,54.7,56.5,58.4,60,61.5,63.2,64.7,66.2,67.7,69.1,70.6,72.1,73.4,74.8,76,76.9,77.4,77.9,78.5,79.1,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BRANCEPETH,54.2,55.3,56.9,59.1,61.6,64.7,68,72.7,78.4,84.5,91.9,100,106.3,111.8,116.2,120.2,123.7,127.1,130.2,132.9,135.4,137.6,139.8,141.5,143.1,144.4,145,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BREAMISH STREET,59.6,59.5,67.9,68.7,69.5,70.5,71.3,71.4,72,72.8,73.6,74.1,75,76,77,77.9,78.9,79.7,80.5,81.3,82,82.7,83.2,83.7,84.2,84.6,84.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
BRENDA TRADING,66.2,66.6,74.2,75.7,77.6,79.7,82.2,85.8,90.2,94.8,99.1,102.1,105.5,108.8,111.5,113.8,115.9,117.8,119.6,121.1,122.4,123.5,124.4,124.9,125.6,126.1,126.3,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CAMPLESHON ROAD,73.4,74,75.2,76.9,78.8,80.8,83.1,86.4,90.3,94.4,98.9,103.3,107.2,110.5,113.3,115.8,118.1,120.3,122.3,124,125.6,127,128.2,129.2,130.1,130.9,131.2,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CARLEY HILL,68,68.3,69.1,70.4,71.8,73.5,75.4,78.4,82.5,86.8,90.7,93.1,96.2,99.2,101.8,104,106,107.9,109.7,111.2,112.5,113.6,114.6,115.3,116,116.6,116.7,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CARLIN HOW T3 T4,63.4,63.9,64.9,66.6,68.5,70.6,73.1,77.3,82.4,87.4,93.7,100.6,105.7,110.1,113.6,116.6,119.3,121.9,124.2,126.2,128,129.6,131.1,132.3,133.5,134.5,134.7,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CARR HILL,78.9,79.3,80.4,82.3,84.3,86.6,89.2,93.1,98.6,104.5,109.7,112.9,117.3,121.7,125.2,128.3,131,133.5,135.8,137.8,139.6,141.1,142.5,143.3,144.3,145,145.1,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CATTERICK CAMP,67.6,68.7,71.9,74.2,76.7,79.3,82.2,85.9,90,94.5,99.4,104.7,109.2,113.1,116.6,119.7,122.7,125.5,128.2,130.7,133,135.1,137,138.5,140.1,141.5,142.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CLOSE,71,70.4,74.6,74.5,74.5,74.7,74.8,74.5,74.3,74.1,74.2,74.6,74.8,75.1,75.4,75.8,76.2,76.5,76.9,77.2,77.5,77.8,78,78.2,78.4,78.6,78.8,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CONEYTHORPE,62.9,63.5,66.2,67.4,68.8,70.4,72.2,74.6,77.3,80.1,82.8,85.4,87.8,89.9,91.6,93.1,94.6,95.9,97.2,98.3,99.4,100.2,101,101.6,102.2,102.9,103.2,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CONSETT,54.6,55.2,56.2,57.7,59.4,61.2,63.3,66.6,70.5,74.4,78.4,82,85.3,88.2,90.6,92.8,94.6,96.5,98.1,99.7,101,102.2,103.2,103.9,104.6,105.2,105.5,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
CORPORATION STREET,49.9,49.5,49.5,49.5,49.7,50,50.2,50.2,50.5,50.9,51.3,51.5,51.9,52.4,52.8,53.2,53.5,53.9,54.2,54.6,54.8,55.1,55.3,55.5,55.7,55.9,55.9,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Peak utilisation with ToUT (percent - whole number)
