Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78.8,80,81.3,83.3,85.3,87.6,90.4,94.9,99.7,105,110,114.8,120.1,126.6,133.1,139.6,146.3,150.7,156,160.9,165.2,169,172.3,175,177.5,179.7,179.7,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
AMBERTON ROAD,62.8,62.4,67.6,68.1,68.6,69.2,70.3,71.6,73,74.5,76,77.8,79.5,81.2,83,84.6,86.2,87.1,87.9,88.5,89,89.4,89.8,89.9,90.1,90.2,90.4,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
ANNFIELD 66/20KV,74,74.2,75.1,76.6,78,79.5,81.4,84.5,88.9,93.3,98.1,103.4,108.5,114.6,120.7,126.9,133.2,136.3,139.6,142.7,145.4,147.8,149.8,151.2,152.5,153.6,153.6,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
ASHINGTON,78.6,79.4,81.2,84.1,87,90,93.5,98.9,105.2,111.8,118.3,125.1,132,140,148.2,156.3,164.5,168.6,173.2,177.4,181.1,184.4,187.1,189.1,190.8,192.3,192.3,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
AYCLIFFE FORREST,0,0,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
AYCLIFFE INDUSTRIAL,94.4,94.2,94.4,94.9,95.4,96.1,97.2,99,101.3,103.8,106.2,108.6,111.1,114.1,117.1,120.1,123.2,125.1,127.4,129.6,131.5,133.2,134.6,135.7,136.7,137.4,137.4,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
BARDEN FRIAR,15.2,15.2,15.4,15.8,16.1,16.4,16.8,17.3,18.2,19,20.1,21.5,22.8,24.2,25.6,27,28.4,28.9,29.2,29.4,29.7,29.9,30.1,30.2,30.3,30.4,30.5,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
BEDALE,72.3,73,81.1,83,84.8,86.7,88.9,92,95.6,99.1,103.3,108.5,113.3,118.6,124,129.5,135,136.9,138.3,139.4,140.3,141.2,142,142.4,142.7,143.2,143.6,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
BELMONT,70.1,70.3,76.7,77.6,78.6,79.6,80.9,83,85.3,87.7,90.3,93.1,96,99.5,103.1,106.8,110.4,112.1,114,115.7,117.2,118.5,119.7,120.6,121.5,122.3,122.5,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
BENSHAM,59.1,58.7,73.5,73.5,73.6,73.9,74.4,74.7,75,75.4,75.9,76.6,77.3,78.1,78.8,79.6,80.3,80.6,80.8,81.1,81.4,81.5,81.6,81.6,81.6,81.5,81.4,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
BENTON SQUARE,75.2,76.6,82.9,85.2,87.4,90,93.1,97.6,101.7,105.9,110,113.9,118.1,123.3,128.8,134.2,139.7,143.1,147,150.4,153.4,156.1,158.5,160.4,162.2,163.9,164.4,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
BENWELL,70.6,70,69.7,69.9,70.4,71.1,72.2,73.2,74.1,75.1,76.3,77.9,79.5,81.2,82.9,84.6,86.2,87.1,87.8,88.4,88.8,89.1,89.3,89.3,89.2,89.1,89.1,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
BILLINGHAM MARSH HOUSE,74.8,75.9,79.9,82.3,84.6,87.3,90.7,95,101,107,112.9,118.8,124.7,131.3,138,144.6,151.2,155.4,160.3,164.6,168.5,172,174.9,177.2,179.3,181.2,181.6,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
BILLY MILL,72.6,72.5,73,74,75,76.2,78,80.2,84,87.9,91.6,95.2,99,103.3,107.7,112.1,116.5,119.4,122.8,125.9,128.8,131.3,133.4,135.1,136.6,137.9,138,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
BIRTLEY GROVE 66/11KV,43.2,43.4,56.2,57.1,58,59.2,60.7,62.7,65.5,68.3,71.1,74,76.8,79.9,83,86.1,89,90.9,93,94.9,96.6,98,99.2,100.2,100.9,101.6,101.6,NPgN,Primary,NG FES - Holistic Transition,Peak utilisation with ToUT (percent - whole number)
