Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.3,2.335,2.376,2.421,2.473,2.546,2.626,2.721,2.845,2.924,3.047,3.162,3.246,3.361,3.479,3.614,3.755,3.923,4.114,4.332,4.539,4.776,5.027,5.234,5.497,5.749,6.031,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
AMBERTON ROAD,2.1,2.183,2.27,2.375,2.492,2.636,2.794,2.935,3.108,3.242,3.416,3.591,3.766,3.95,4.155,4.375,4.614,4.877,5.173,5.481,5.801,6.124,6.461,6.808,7.149,7.505,7.863,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,15.752,15.854,15.938,16.025,16.123,16.248,16.384,16.517,16.684,16.805,16.972,17.136,17.284,17.454,17.638,17.839,18.055,18.298,18.573,18.868,19.167,19.48,19.809,20.123,20.46,20.802,21.158,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
ASHINGTON,7.657,7.783,7.888,7.998,8.123,8.285,8.463,8.646,8.876,9.038,9.27,9.493,9.686,9.915,10.159,10.431,10.72,11.051,11.425,11.833,12.239,12.676,13.136,13.557,14.031,14.503,15.007,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.357,1.395,1.426,1.46,1.497,1.546,1.599,1.652,1.719,1.767,1.834,1.9,1.958,2.025,2.097,2.177,2.263,2.359,2.469,2.588,2.707,2.833,2.966,3.09,3.227,3.364,3.509,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.072,0.078,0.086,0.096,0.107,0.12,0.134,0.145,0.158,0.169,0.183,0.196,0.212,0.227,0.245,0.263,0.283,0.304,0.327,0.351,0.376,0.4,0.425,0.454,0.478,0.505,0.531,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BEDALE,3.212,3.347,3.456,3.555,3.666,3.801,3.948,4.075,4.228,4.351,4.505,4.663,4.827,4.994,5.182,5.382,5.601,5.838,6.106,6.379,6.668,6.952,7.248,7.566,7.863,8.179,8.49,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BELMONT,7.624,7.696,7.772,7.864,7.967,8.093,8.231,8.354,8.503,8.62,8.77,8.922,9.075,9.235,9.414,9.605,9.813,10.041,10.298,10.564,10.842,11.12,11.41,11.713,12.006,12.314,12.62,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BENSHAM,0.647,0.686,0.723,0.766,0.815,0.878,0.947,1.017,1.103,1.165,1.252,1.337,1.412,1.499,1.593,1.697,1.808,1.933,2.075,2.229,2.383,2.547,2.719,2.88,3.057,3.235,3.423,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BENTON SQUARE,2.207,2.265,2.308,2.349,2.398,2.462,2.532,2.611,2.712,2.779,2.88,2.975,3.05,3.147,3.248,3.362,3.481,3.621,3.78,3.958,4.131,4.323,4.526,4.701,4.912,5.118,5.343,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BENWELL,1.328,1.376,1.421,1.473,1.533,1.611,1.695,1.782,1.891,1.968,2.078,2.184,2.276,2.385,2.501,2.63,2.767,2.924,3.102,3.295,3.488,3.694,3.912,4.112,4.336,4.559,4.797,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,13.469,13.504,13.528,13.554,13.586,13.634,13.686,13.758,13.852,13.908,14.003,14.088,14.141,14.225,14.307,14.405,14.505,14.628,14.768,14.935,15.088,15.27,15.466,15.612,15.819,16.011,16.234,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BILLY MILL,1.778,1.813,1.841,1.871,1.907,1.956,2.01,2.074,2.157,2.21,2.293,2.37,2.426,2.504,2.583,2.674,2.769,2.881,3.009,3.156,3.295,3.454,3.622,3.761,3.937,4.106,4.295,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.366,1.403,1.432,1.462,1.496,1.542,1.592,1.647,1.717,1.764,1.834,1.901,1.955,2.022,2.093,2.173,2.258,2.356,2.467,2.591,2.712,2.845,2.986,3.109,3.256,3.399,3.556,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/20KV,0.655,0.684,0.71,0.736,0.766,0.804,0.845,0.885,0.935,0.971,1.021,1.071,1.116,1.167,1.222,1.283,1.348,1.421,1.504,1.592,1.682,1.776,1.874,1.969,2.069,2.171,2.278,NPgN,Primary,NG FES - Falling Behind,Total installed renewable generation capacity (MW)
