Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.8,2.956,3.197,3.82,4.25,4.965,5.375,6.296,7.264,8.211,9.197,9.889,10.202,10.339,10.493,10.625,10.763,10.88,11.03,10.611,10.775,10.927,11.06,11.223,11.36,11.515,11.515,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
AMBERTON ROAD,2.541,2.696,2.93,4.127,4.827,6.243,6.892,8.679,10.54,12.403,14.299,15.999,16.701,16.97,17.262,17.502,17.742,17.927,18.179,17.021,17.303,17.551,17.783,18.052,18.271,18.516,18.515,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,25.997,26.179,26.498,27.541,28.179,29.402,30,31.626,33.294,34.937,36.611,38.051,38.611,38.827,39.07,39.271,39.476,39.639,39.861,38.925,39.173,39.395,39.605,39.852,40.062,40.284,40.278,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
ASHINGTON,8.329,8.604,9.037,10.403,11.266,12.859,13.671,16.066,18.423,20.677,22.948,24.936,25.552,25.772,26.047,26.268,26.508,26.7,26.974,25.795,26.105,26.385,26.675,27.015,27.331,27.616,27.586,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.83,1.906,2.029,2.436,2.69,3.167,3.406,4.044,4.697,5.339,5.994,6.548,6.763,6.847,6.941,7.02,7.101,7.165,7.253,6.898,6.995,7.083,7.166,7.264,7.348,7.436,7.433,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.086,0.093,0.106,0.211,0.269,0.395,0.447,0.617,0.788,0.958,1.129,1.299,1.36,1.382,1.405,1.424,1.443,1.457,1.477,1.362,1.384,1.404,1.424,1.447,1.466,1.485,1.484,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BEDALE,4.256,4.378,4.697,5.811,6.448,7.772,8.359,10.122,11.918,13.698,15.493,17.185,17.814,18.043,18.299,18.505,18.713,18.87,19.091,17.948,18.199,18.418,18.634,18.882,19.092,19.309,19.3,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BELMONT,15.637,15.767,15.963,17.011,17.619,18.86,19.423,21.035,22.694,24.345,26.019,27.55,28.15,28.374,28.622,28.824,29.027,29.183,29.398,28.369,28.61,28.823,29.027,29.262,29.458,29.668,29.663,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BENSHAM,0.812,0.911,1.05,1.579,1.908,2.527,2.836,3.624,4.446,5.262,6.1,6.792,7.086,7.203,7.333,7.441,7.551,7.639,7.756,7.301,7.431,7.547,7.654,7.779,7.883,8,7.999,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BENTON SQUARE,2.737,2.872,3.086,3.633,3.994,4.627,4.97,5.782,6.632,7.469,8.335,8.987,9.273,9.394,9.528,9.642,9.76,9.858,9.985,9.572,9.712,9.84,9.954,10.091,10.207,10.336,10.335,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BENWELL,1.648,1.776,1.954,2.605,3.015,3.776,4.161,5.127,6.137,7.139,8.169,9.006,9.365,9.511,9.671,9.805,9.942,10.052,10.198,9.651,9.812,9.958,10.089,10.246,10.375,10.521,10.52,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BILLINGHAM MARSH HOUSE,28.048,28.203,28.4,28.815,29.125,29.593,29.892,30.516,31.17,31.798,32.458,32.857,33.041,33.128,33.228,33.316,33.412,33.496,33.601,33.389,33.504,33.612,33.706,33.823,33.925,34.036,34.035,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BILLY MILL,2.171,2.291,2.451,2.872,3.16,3.643,3.918,4.539,5.192,5.831,6.495,6.964,7.176,7.268,7.371,7.46,7.554,7.632,7.733,7.448,7.559,7.661,7.75,7.86,7.952,8.056,8.056,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
BIRTLEY GROVE 66/11KV,1.657,1.749,1.888,2.276,2.53,2.978,3.219,3.817,4.434,5.037,5.657,6.141,6.337,6.417,6.509,6.586,6.666,6.732,6.819,6.519,6.615,6.704,6.785,6.882,6.966,7.055,7.053,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed renewable generation capacity (MW)
