Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.8,2.956,3.197,3.82,4.25,4.965,5.375,6.294,7.261,8.207,9.193,10.273,10.885,11.418,11.945,12.494,13.048,13.607,14.187,14.229,14.818,15.423,16.03,16.591,17.202,17.803,17.803,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
AMBERTON ROAD,2.541,2.696,2.93,4.127,4.827,6.243,6.892,8.672,10.529,12.39,14.286,16.316,17.28,17.896,18.514,19.119,19.721,20.292,20.919,20.163,20.815,21.458,22.103,22.719,23.348,23.985,23.985,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
ANNFIELD 66/20KV,25.997,26.179,26.498,27.538,28.177,29.4,29.998,31.586,33.238,34.867,36.537,38.327,39.202,39.829,40.456,41.09,41.725,42.343,43.003,42.538,43.221,43.905,44.599,45.252,45.931,46.621,46.62,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
ASHINGTON,8.329,8.604,9.037,10.403,11.266,12.859,13.671,15.893,18.179,20.372,22.626,25.012,26.144,27.015,27.887,28.801,29.718,30.625,31.571,31.119,32.1,33.091,34.129,35.09,36.086,37.129,37.125,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.83,1.906,2.029,2.436,2.69,3.167,3.406,4.027,4.674,5.31,5.964,6.665,7.013,7.27,7.526,7.787,8.049,8.306,8.578,8.422,8.703,8.985,9.273,9.542,9.823,10.109,10.109,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
BARDEN FRIAR,0.086,0.093,0.106,0.211,0.269,0.395,0.447,0.611,0.78,0.948,1.118,1.297,1.373,1.411,1.451,1.489,1.526,1.559,1.597,1.501,1.541,1.58,1.62,1.659,1.696,1.736,1.735,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
BEDALE,4.256,4.378,4.697,5.811,6.448,7.771,8.359,10.071,11.845,13.607,15.397,17.295,18.146,18.658,19.176,19.683,20.186,20.655,21.174,20.352,20.899,21.432,21.978,22.501,23.02,23.564,23.562,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
BELMONT,15.637,15.767,15.963,17.011,17.619,18.86,19.423,21.007,22.654,24.296,25.967,27.749,28.575,29.095,29.619,30.133,30.645,31.128,31.658,30.967,31.521,32.066,32.618,33.145,33.678,34.225,34.224,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
BENSHAM,0.812,0.911,1.05,1.579,1.908,2.527,2.836,3.62,4.441,5.257,6.094,6.998,7.458,7.795,8.132,8.471,8.811,9.144,9.499,9.299,9.664,10.031,10.399,10.746,11.111,11.475,11.475,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
BENTON SQUARE,2.737,2.872,3.086,3.633,3.994,4.627,4.97,5.779,6.628,7.464,8.329,9.271,9.782,10.201,10.616,11.044,11.475,11.905,12.355,12.289,12.748,13.217,13.687,14.124,14.595,15.061,15.06,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
BENWELL,1.648,1.776,1.954,2.605,3.015,3.776,4.161,5.125,6.134,7.135,8.166,9.28,9.854,10.285,10.714,11.149,11.584,12.012,12.467,12.252,12.719,13.19,13.662,14.105,14.574,15.042,15.042,NPgN,Primary,NG FES - Holistic Transition,Total installed renewable generation capacity (MW)
