Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0.1,0.128,0.185,0.29,0.453,0.733,0.918,1.259,1.432,1.54,1.663,1.771,1.882,2.011,2.146,2.296,2.456,2.631,2.817,3.014,3.221,3.439,3.669,3.909,4.161,4.427,4.427,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
AMBERTON ROAD,0.097,0.161,0.237,0.405,0.689,1.216,1.519,2.158,2.402,2.497,2.603,2.697,2.794,2.906,3.024,3.154,3.294,3.446,3.607,3.779,3.96,4.15,4.35,4.558,4.778,5.009,5.009,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.103,0.168,0.246,0.411,0.685,1.187,1.483,2.092,2.338,2.448,2.573,2.682,2.795,2.925,3.062,3.214,3.376,3.553,3.741,3.941,4.151,4.372,4.605,4.847,5.103,5.372,5.372,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
ASHINGTON,0.135,0.214,0.312,0.501,0.802,1.334,1.669,2.317,2.616,2.783,2.971,3.136,3.308,3.505,3.713,3.943,4.189,4.457,4.743,5.046,5.364,5.699,6.052,6.42,6.808,7.216,7.216,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.041,0.067,0.098,0.162,0.268,0.458,0.573,0.805,0.902,0.949,1.001,1.047,1.095,1.149,1.207,1.271,1.34,1.414,1.494,1.578,1.667,1.76,1.858,1.96,2.068,2.182,2.182,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
BARDEN FRIAR,0.007,0.013,0.019,0.035,0.063,0.117,0.146,0.211,0.233,0.237,0.242,0.246,0.251,0.256,0.262,0.268,0.274,0.281,0.289,0.297,0.305,0.314,0.324,0.333,0.344,0.354,0.354,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
BEDALE,0.086,0.146,0.215,0.377,0.656,1.181,1.474,2.109,2.337,2.412,2.495,2.569,2.645,2.733,2.826,2.928,3.037,3.157,3.284,3.419,3.56,3.71,3.867,4.03,4.203,4.384,4.384,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
BELMONT,0.08,0.133,0.195,0.332,0.564,0.994,1.242,1.762,1.963,2.042,2.131,2.209,2.291,2.384,2.483,2.592,2.708,2.836,2.971,3.115,3.266,3.425,3.592,3.766,3.95,4.144,4.144,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
BENSHAM,0.053,0.085,0.124,0.204,0.336,0.572,0.716,1.003,1.126,1.186,1.254,1.313,1.375,1.446,1.521,1.604,1.692,1.789,1.892,2.001,2.115,2.236,2.363,2.495,2.635,2.782,2.782,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
BENTON SQUARE,0.072,0.117,0.171,0.282,0.464,0.792,0.991,1.39,1.559,1.64,1.732,1.814,1.897,1.994,2.096,2.208,2.328,2.46,2.599,2.748,2.903,3.067,3.24,3.42,3.61,3.809,3.809,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
BENWELL,0.076,0.126,0.185,0.313,0.527,0.922,1.152,1.631,1.819,1.897,1.985,2.063,2.143,2.235,2.333,2.44,2.555,2.681,2.815,2.957,3.105,3.262,3.428,3.6,3.782,3.972,3.972,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.065,0.098,0.142,0.213,0.319,0.489,0.613,0.823,0.948,1.043,1.149,1.242,1.339,1.45,1.568,1.697,1.836,1.987,2.148,2.319,2.499,2.688,2.887,3.095,3.313,3.543,3.543,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total installed storage capacity (MW)
