Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0.06,0.078,0.087,0.097,0.189,0.307,0.317,0.458,0.504,0.516,0.529,0.542,0.556,0.571,0.588,0.607,0.628,0.651,0.675,0.702,0.729,0.759,0.79,0.822,0.856,0.892,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
AMBERTON ROAD,0.053,0.078,0.106,0.115,0.123,0.315,0.564,0.572,0.87,0.958,0.969,0.98,0.991,1.004,1.017,1.032,1.048,1.066,1.086,1.108,1.131,1.155,1.18,1.207,1.235,1.265,1.296,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.057,0.081,0.108,0.118,0.128,0.307,0.539,0.549,0.826,0.91,0.922,0.935,0.948,0.963,0.978,0.995,1.015,1.035,1.058,1.083,1.11,1.138,1.168,1.199,1.232,1.266,1.302,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
ASHINGTON,0.076,0.101,0.133,0.148,0.163,0.344,0.578,0.593,0.873,0.961,0.98,1,1.019,1.041,1.065,1.091,1.12,1.151,1.187,1.225,1.265,1.308,1.353,1.4,1.45,1.502,1.557,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.023,0.032,0.043,0.047,0.051,0.119,0.206,0.21,0.314,0.346,0.351,0.357,0.362,0.368,0.375,0.382,0.39,0.399,0.409,0.419,0.431,0.442,0.455,0.468,0.482,0.496,0.511,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BARDEN FRIAR,0.004,0.006,0.009,0.009,0.01,0.03,0.057,0.058,0.09,0.099,0.099,0.1,0.1,0.101,0.102,0.102,0.103,0.104,0.105,0.106,0.107,0.108,0.109,0.11,0.112,0.113,0.115,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BEDALE,0.047,0.071,0.098,0.105,0.112,0.306,0.558,0.565,0.867,0.955,0.964,0.972,0.981,0.991,1.002,1.013,1.026,1.04,1.056,1.073,1.091,1.11,1.13,1.151,1.173,1.196,1.22,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BELMONT,0.044,0.064,0.087,0.094,0.101,0.258,0.459,0.467,0.709,0.781,0.789,0.799,0.808,0.818,0.83,0.842,0.856,0.871,0.887,0.905,0.925,0.945,0.966,0.989,1.012,1.037,1.063,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BENSHAM,0.029,0.041,0.054,0.059,0.065,0.148,0.255,0.261,0.389,0.429,0.436,0.443,0.45,0.458,0.466,0.476,0.486,0.497,0.51,0.524,0.538,0.554,0.57,0.587,0.605,0.623,0.643,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BENTON SQUARE,0.04,0.056,0.074,0.082,0.089,0.205,0.354,0.362,0.541,0.596,0.605,0.614,0.624,0.635,0.646,0.659,0.674,0.689,0.706,0.725,0.745,0.765,0.787,0.811,0.835,0.86,0.887,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BENWELL,0.042,0.061,0.082,0.089,0.096,0.239,0.423,0.43,0.651,0.717,0.726,0.735,0.745,0.755,0.766,0.778,0.792,0.806,0.823,0.841,0.86,0.88,0.901,0.923,0.946,0.97,0.996,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BILLINGHAM MARSH HOUSE,0.037,0.046,0.058,0.066,0.074,0.125,0.191,0.199,0.277,0.305,0.316,0.327,0.338,0.35,0.364,0.379,0.395,0.413,0.432,0.454,0.477,0.501,0.526,0.553,0.581,0.61,0.641,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BILLY MILL,0.033,0.045,0.059,0.065,0.072,0.153,0.258,0.265,0.391,0.43,0.439,0.447,0.456,0.465,0.476,0.487,0.5,0.513,0.528,0.545,0.563,0.581,0.601,0.621,0.643,0.665,0.689,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BIRTLEY GROVE 66/11KV,0.026,0.034,0.045,0.05,0.055,0.118,0.199,0.204,0.301,0.332,0.338,0.345,0.351,0.359,0.366,0.375,0.385,0.395,0.407,0.42,0.433,0.447,0.463,0.478,0.495,0.512,0.531,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BIRTLEY GROVE 66/20KV,0.017,0.024,0.033,0.036,0.039,0.095,0.167,0.17,0.256,0.282,0.286,0.29,0.294,0.298,0.302,0.308,0.313,0.319,0.326,0.333,0.341,0.349,0.358,0.367,0.377,0.387,0.397,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BLAYDON BURN,0.043,0.065,0.089,0.095,0.101,0.275,0.499,0.506,0.775,0.853,0.861,0.869,0.877,0.887,0.896,0.907,0.919,0.932,0.947,0.963,0.98,0.997,1.016,1.036,1.056,1.078,1.101,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BLUCHER 33/11KV,0.036,0.049,0.065,0.071,0.078,0.176,0.301,0.308,0.459,0.505,0.513,0.522,0.531,0.541,0.551,0.563,0.576,0.589,0.605,0.622,0.64,0.659,0.679,0.7,0.722,0.745,0.769,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BOLDON DOWNHILL,0.026,0.033,0.043,0.049,0.054,0.104,0.169,0.174,0.252,0.277,0.284,0.291,0.298,0.306,0.315,0.325,0.335,0.347,0.36,0.374,0.389,0.404,0.421,0.438,0.456,0.475,0.495,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0.016,0.025,0.035,0.037,0.039,0.109,0.199,0.201,0.309,0.34,0.343,0.346,0.349,0.353,0.356,0.361,0.365,0.37,0.375,0.381,0.387,0.394,0.401,0.408,0.416,0.424,0.432,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BOWESFIELD 33/11KV,0.04,0.062,0.087,0.092,0.097,0.276,0.507,0.512,0.789,0.869,0.876,0.883,0.89,0.898,0.906,0.916,0.926,0.938,0.95,0.964,0.979,0.994,1.01,1.027,1.045,1.064,1.084,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BOWESFIELD 66/11KV,0.026,0.038,0.053,0.057,0.06,0.16,0.288,0.292,0.446,0.491,0.496,0.501,0.506,0.512,0.518,0.525,0.533,0.541,0.55,0.56,0.571,0.582,0.594,0.606,0.619,0.633,0.647,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BRANCEPETH,0.062,0.088,0.119,0.13,0.14,0.338,0.593,0.604,0.91,1.003,1.016,1.03,1.045,1.06,1.077,1.096,1.117,1.139,1.165,1.192,1.221,1.252,1.284,1.318,1.354,1.391,1.43,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BREAMISH STREET,0.021,0.033,0.045,0.048,0.051,0.145,0.268,0.27,0.417,0.459,0.463,0.466,0.47,0.474,0.478,0.483,0.488,0.494,0.501,0.508,0.515,0.523,0.531,0.54,0.549,0.558,0.568,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
BRENDA TRADING,0.057,0.082,0.11,0.12,0.129,0.319,0.564,0.574,0.868,0.956,0.968,0.98,0.993,1.007,1.022,1.039,1.057,1.077,1.1,1.124,1.15,1.177,1.206,1.236,1.267,1.301,1.336,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
CAMPLESHON ROAD,0.045,0.066,0.09,0.097,0.104,0.267,0.478,0.485,0.737,0.812,0.821,0.831,0.84,0.85,0.862,0.874,0.888,0.903,0.919,0.938,0.957,0.977,0.999,1.021,1.045,1.069,1.095,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
CARLEY HILL,0.048,0.068,0.092,0.1,0.108,0.266,0.469,0.477,0.72,0.793,0.803,0.814,0.825,0.836,0.849,0.863,0.879,0.896,0.915,0.935,0.957,0.98,1.005,1.03,1.057,1.085,1.115,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
CARLIN HOW T3 T4,0.054,0.078,0.106,0.115,0.124,0.313,0.557,0.566,0.858,0.945,0.956,0.967,0.979,0.992,1.006,1.021,1.038,1.056,1.077,1.099,1.123,1.148,1.175,1.202,1.231,1.262,1.294,NPgN,Primary,NG FES - Falling Behind,Total installed storage capacity (MW)
