Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0.1,0.123,0.179,0.507,0.564,0.726,0.88,1.192,1.357,1.516,1.638,1.769,1.904,2.059,2.224,2.405,2.599,2.811,3.036,3.275,3.527,3.792,4.072,4.363,4.67,4.992,4.992,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
AMBERTON ROAD,0.092,0.152,0.222,0.885,0.935,1.201,1.436,2.01,2.235,2.442,2.548,2.662,2.78,2.915,3.058,3.216,3.385,3.569,3.765,3.974,4.193,4.423,4.667,4.92,5.187,5.468,5.468,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
ANNFIELD 66/20KV,0.098,0.159,0.232,0.854,0.913,1.173,1.406,1.954,2.185,2.398,2.522,2.655,2.791,2.948,3.115,3.299,3.495,3.71,3.938,4.18,4.435,4.703,4.987,5.282,5.592,5.919,5.919,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
ASHINGTON,0.131,0.206,0.299,0.938,1.027,1.32,1.593,2.182,2.464,2.733,2.921,3.122,3.329,3.567,3.82,4.098,4.396,4.722,5.068,5.435,5.822,6.229,6.659,7.106,7.577,8.072,8.072,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
AYCLIFFE INDUSTRIAL,0.04,0.064,0.093,0.328,0.353,0.453,0.544,0.754,0.845,0.93,0.982,1.038,1.096,1.162,1.232,1.31,1.392,1.483,1.579,1.681,1.789,1.902,2.022,2.146,2.277,2.415,2.415,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
BARDEN FRIAR,0.007,0.012,0.017,0.088,0.09,0.115,0.137,0.195,0.214,0.231,0.236,0.241,0.247,0.253,0.26,0.267,0.275,0.284,0.293,0.302,0.313,0.323,0.335,0.347,0.359,0.372,0.372,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
BEDALE,0.081,0.136,0.2,0.868,0.907,1.165,1.389,1.957,2.167,2.356,2.439,2.529,2.621,2.727,2.839,2.963,3.096,3.241,3.395,3.558,3.73,3.911,4.103,4.302,4.511,4.732,4.732,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
BELMONT,0.076,0.125,0.183,0.722,0.764,0.982,1.174,1.642,1.827,1.997,2.086,2.182,2.28,2.393,2.513,2.645,2.786,2.94,3.104,3.279,3.462,3.655,3.859,4.071,4.294,4.529,4.529,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
BENSHAM,0.051,0.081,0.118,0.409,0.44,0.566,0.68,0.94,1.055,1.163,1.23,1.303,1.378,1.463,1.554,1.654,1.761,1.879,2.003,2.136,2.275,2.421,2.576,2.737,2.907,3.085,3.085,NPgN,Primary,NG FES - Holistic Transition,Total installed storage capacity (MW)
