Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,3.4,3.548,3.761,4.374,4.794,5.498,5.875,6.754,7.668,8.545,9.429,10.481,11.064,11.572,12.076,12.604,13.141,13.682,14.25,14.277,14.852,15.444,16.032,16.592,17.202,17.803,17.803,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
AMBERTON ROAD,6.204,6.559,6.696,8.066,8.871,10.277,10.833,12.459,13.979,15.179,15.703,17.819,18.585,19.035,19.514,19.989,20.454,20.884,21.377,20.561,21.181,21.796,22.398,23.011,23.638,24.272,24.272,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
ANNFIELD 66/20KV,27.387,27.586,27.853,28.906,29.548,30.756,31.294,32.796,34.31,35.741,37.053,38.819,39.628,40.196,40.778,41.364,41.961,42.53,43.156,42.663,43.325,43.994,44.649,45.297,45.979,46.662,46.665,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
ASHINGTON,12.371,12.768,13.122,14.594,15.519,17.1,17.831,19.896,21.867,23.586,24.867,27.298,28.298,29.027,29.792,30.582,31.414,32.175,32.995,32.453,33.378,34.33,35.211,36.038,36.897,37.82,37.833,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
AYCLIFFE INDUSTRIAL,2.237,2.306,2.41,2.811,3.059,3.528,3.744,4.335,4.941,5.53,6.112,6.795,7.125,7.365,7.609,7.857,8.11,8.353,8.618,8.453,8.726,9.003,9.274,9.541,9.824,10.107,10.108,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BARDEN FRIAR,0.195,0.201,0.208,0.312,0.368,0.492,0.539,0.694,0.851,1.006,1.157,1.331,1.402,1.436,1.473,1.507,1.542,1.571,1.607,1.509,1.548,1.585,1.621,1.659,1.696,1.735,1.735,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BEDALE,6.633,6.739,7.014,8.113,8.734,10.041,10.575,12.214,13.885,15.537,17.159,19.014,19.824,20.268,20.71,21.156,21.62,22.026,22.476,21.583,22.057,22.533,22.945,23.336,23.695,24.128,24.132,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BELMONT,16.864,16.988,17.132,18.172,18.77,19.992,20.492,21.995,23.524,25.011,26.43,28.169,28.938,29.407,29.888,30.36,30.839,31.283,31.787,31.069,31.6,32.125,32.638,33.161,33.696,34.237,34.24,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BENSHAM,1.386,1.475,1.587,2.107,2.427,3.036,3.312,4.058,4.829,5.578,6.318,7.196,7.629,7.942,8.255,8.575,8.899,9.215,9.558,9.345,9.696,10.051,10.401,10.747,11.111,11.475,11.475,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BENTON SQUARE,3.435,3.558,3.739,4.275,4.625,5.245,5.549,6.312,7.099,7.855,8.602,9.512,9.991,10.38,10.767,11.171,11.582,11.992,12.428,12.345,12.787,13.241,13.689,14.125,14.595,15.06,15.06,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BENWELL,2.644,2.755,2.887,3.522,3.916,4.659,4.988,5.886,6.808,7.696,8.558,9.626,10.153,10.542,10.93,11.331,11.738,12.137,12.571,12.332,12.774,13.224,13.665,14.107,14.575,15.042,15.042,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BILLINGHAM MARSH HOUSE,28.392,28.546,28.729,29.143,29.45,29.913,30.196,30.79,31.407,31.989,32.574,33.292,33.721,34.138,34.551,34.99,35.437,35.894,36.365,36.545,37.022,37.519,38.013,38.474,38.985,39.485,39.486,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BILLY MILL,4.953,5.276,5.379,5.977,6.378,6.865,7.092,7.613,8.007,8.095,7.566,8.41,8.666,8.894,9.142,9.41,9.668,9.927,10.202,10.185,10.566,10.958,11.347,11.72,12.127,12.527,12.527,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BIRTLEY GROVE 66/11KV,2.026,2.111,2.233,2.615,2.863,3.305,3.525,4.084,4.659,5.215,5.77,6.423,6.76,7.031,7.303,7.585,7.872,8.156,8.458,8.386,8.695,9.01,9.322,9.622,9.946,10.267,10.268,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BIRTLEY GROVE 66/20KV,5.199,5.624,5.636,6.279,6.681,7.07,7.195,7.529,7.609,7.181,5.648,6.422,6.438,6.42,6.443,6.473,6.479,6.473,6.48,6.273,6.465,6.659,6.849,7.038,7.237,7.436,7.436,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BLAYDON BURN,13.277,13.652,13.802,14.855,15.485,16.461,16.834,17.911,18.828,19.356,19.053,20.594,21.05,21.148,21.187,21.333,21.506,21.592,21.615,20.804,20.952,21.161,21.109,20.895,20.506,20.434,20.435,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
BLUCHER 33/11KV,2.332,2.444,2.599,3.015,3.299,3.776,4.024,4.614,5.225,5.807,6.385,7.095,7.485,7.825,8.162,8.517,8.878,9.242,9.626,9.639,10.027,10.427,10.823,11.204,11.619,12.029,12.029,NPgN,Primary,NG FES - Electric Engagement,Total installed generation capacity (MW)
