Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,2.3,2.405,2.482,2.526,2.579,2.65,2.728,2.822,2.943,3.02,3.141,3.253,3.335,3.447,3.562,3.695,3.833,3.997,4.183,4.396,4.596,4.828,5.07,5.267,5.516,5.749,6.031,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
AMBERTON ROAD,4.726,4.885,5.047,5.152,5.269,5.41,5.564,5.7,5.87,5.999,6.168,6.336,6.507,6.685,6.883,7.097,7.33,7.586,7.872,8.169,8.473,8.785,9.101,9.43,9.74,10.055,10.413,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
ANNFIELD 66/20KV,16.212,16.373,16.517,16.604,16.702,16.824,16.958,17.087,17.251,17.368,17.531,17.689,17.835,17.999,18.178,18.375,18.585,18.823,19.09,19.377,19.662,19.967,20.28,20.58,20.892,21.202,21.558,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
ASHINGTON,10.687,10.884,11.059,11.168,11.294,11.453,11.627,11.805,12.033,12.19,12.417,12.634,12.823,13.046,13.284,13.551,13.834,14.158,14.522,14.921,15.312,15.738,16.146,16.498,16.897,17.276,17.707,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
AYCLIFFE INDUSTRIAL,1.381,1.442,1.498,1.531,1.569,1.617,1.669,1.72,1.786,1.832,1.898,1.961,2.018,2.083,2.153,2.232,2.315,2.409,2.516,2.631,2.745,2.868,2.994,3.113,3.239,3.364,3.509,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
BARDEN FRIAR,0.078,0.091,0.106,0.116,0.126,0.139,0.153,0.163,0.176,0.187,0.2,0.213,0.229,0.243,0.26,0.277,0.297,0.317,0.34,0.362,0.387,0.41,0.433,0.46,0.482,0.505,0.531,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
BEDALE,8.693,8.884,9.048,9.148,9.259,9.391,9.536,9.659,9.809,9.928,10.079,10.232,10.393,10.555,10.738,10.934,11.148,11.38,11.64,11.906,12.182,12.459,12.704,12.95,13.175,13.399,13.264,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
BELMONT,7.828,7.964,8.105,8.197,8.3,8.423,8.559,8.677,8.823,8.935,9.081,9.228,9.378,9.532,9.705,9.892,10.094,10.316,10.565,10.821,11.085,11.354,11.627,11.913,12.18,12.454,12.76,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
BENSHAM,0.68,0.753,0.824,0.867,0.916,0.978,1.045,1.112,1.197,1.257,1.342,1.424,1.497,1.581,1.672,1.773,1.881,2.004,2.141,2.29,2.437,2.596,2.759,2.912,3.075,3.235,3.423,NPgN,Primary,NG FES - Falling Behind,Total installed generation capacity (MW)
