Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,3.4,3.548,3.761,4.374,4.794,5.499,5.875,6.757,7.673,8.551,9.435,10.103,10.393,10.506,10.639,10.747,10.858,10.946,11.067,10.614,10.778,10.929,11.062,11.224,11.361,11.515,11.515,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
AMBERTON ROAD,6.204,6.559,6.696,8.066,8.871,10.277,10.833,12.468,13.994,15.197,15.722,17.516,18.031,18.138,18.296,18.4,18.481,18.499,18.583,17.322,17.601,17.848,18.077,18.344,18.56,18.803,18.802,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
ANNFIELD 66/20KV,27.387,27.586,27.853,28.909,29.551,30.758,31.295,32.844,34.389,35.835,37.157,38.578,39.078,39.237,39.43,39.577,39.721,39.818,39.975,38.976,39.223,39.444,39.653,39.899,40.108,40.329,40.323,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
ASHINGTON,12.371,12.768,13.122,14.594,15.519,17.1,17.832,20.103,22.213,23.999,25.321,27.356,27.837,27.935,28.081,28.171,28.259,28.293,28.404,27.102,27.366,27.587,27.82,28.05,28.259,28.444,28.415,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
AYCLIFFE INDUSTRIAL,2.237,2.306,2.41,2.811,3.059,3.528,3.744,4.355,4.974,5.569,6.156,6.693,6.892,6.96,7.04,7.102,7.165,7.21,7.278,6.9,6.997,7.084,7.167,7.265,7.348,7.436,7.433,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BARDEN FRIAR,0.195,0.201,0.208,0.312,0.368,0.492,0.539,0.701,0.862,1.02,1.172,1.338,1.395,1.412,1.432,1.447,1.461,1.469,1.484,1.362,1.385,1.404,1.424,1.447,1.466,1.485,1.484,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BEDALE,6.633,6.739,7.014,8.113,8.735,10.041,10.575,12.276,13.989,15.66,17.295,18.948,19.542,19.73,19.919,20.057,20.186,20.261,20.397,19.161,19.363,19.518,19.675,19.804,19.898,20.007,19.998,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BELMONT,16.864,16.988,17.132,18.172,18.77,19.992,20.492,22.029,23.58,25.078,26.504,27.997,28.548,28.724,28.928,29.083,29.231,29.327,29.484,28.39,28.631,28.843,29.045,29.28,29.475,29.684,29.679,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BENSHAM,1.386,1.475,1.587,2.107,2.427,3.036,3.312,4.062,4.835,5.586,6.327,6.996,7.267,7.363,7.472,7.558,7.642,7.702,7.791,7.304,7.433,7.549,7.655,7.78,7.884,8,7.999,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BENTON SQUARE,3.435,3.558,3.739,4.275,4.625,5.245,5.549,6.315,7.105,7.863,8.611,9.235,9.494,9.588,9.697,9.784,9.87,9.934,10.028,9.575,9.715,9.842,9.955,10.092,10.207,10.336,10.335,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BENWELL,2.644,2.755,2.887,3.522,3.916,4.659,4.988,5.888,6.812,7.701,8.564,9.36,9.681,9.788,9.912,10.008,10.1,10.161,10.259,9.656,9.816,9.961,10.092,10.247,10.376,10.521,10.52,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BILLINGHAM MARSH HOUSE,28.392,28.546,28.729,29.143,29.45,29.913,30.196,30.799,31.422,32.006,32.593,32.983,33.153,33.226,33.314,33.389,33.469,33.537,33.626,33.396,33.511,33.619,33.712,33.829,33.93,34.042,34.041,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BILLY MILL,4.953,5.276,5.379,5.977,6.378,6.865,7.092,7.615,8.01,8.099,7.57,8.159,8.22,8.185,8.186,8.173,8.146,8.1,8.075,7.734,7.843,7.943,8.031,8.139,8.23,8.332,8.332,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BIRTLEY GROVE 66/11KV,2.026,2.111,2.233,2.615,2.863,3.305,3.525,4.098,4.684,5.245,5.802,6.272,6.454,6.52,6.598,6.661,6.724,6.772,6.842,6.521,6.617,6.705,6.786,6.883,6.966,7.055,7.053,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BIRTLEY GROVE 66/20KV,5.199,5.624,5.636,6.279,6.681,7.07,7.195,7.534,7.618,7.192,5.66,6.327,6.255,6.119,6.033,5.935,5.811,5.666,5.536,5.181,5.254,5.32,5.381,5.452,5.511,5.577,5.576,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BLAYDON BURN,13.277,13.652,13.802,14.855,15.485,16.461,16.834,17.916,18.835,19.365,19.063,20.365,20.638,20.627,20.522,20.381,20.195,19.965,19.758,18.671,18.621,18.468,18.322,17.899,17.462,17.083,17.083,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BLUCHER 33/11KV,2.332,2.444,2.599,3.015,3.299,3.776,4.024,4.617,5.229,5.811,6.39,6.84,7.032,7.103,7.188,7.256,7.325,7.378,7.454,7.135,7.246,7.349,7.44,7.55,7.643,7.748,7.748,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BOLDON DOWNHILL,3.221,3.317,3.431,3.751,3.975,4.34,4.542,5.003,5.482,5.94,6.403,6.737,6.884,6.943,7.012,7.069,7.129,7.176,7.241,7.021,7.107,7.188,7.258,7.344,7.417,7.499,7.499,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,1.327,1.363,1.503,1.811,1.99,2.355,2.505,2.977,3.45,3.908,4.35,4.796,4.956,5.005,5.064,5.108,5.151,5.179,5.225,4.891,4.963,5.026,5.088,5.159,5.22,5.283,5.281,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
BOWESFIELD 33/11KV,2.265,2.343,2.465,3.469,4.025,5.223,5.684,7.131,8.615,10.076,11.493,12.961,13.535,13.72,13.927,14.084,14.23,14.323,14.474,13.35,13.584,13.788,13.981,14.202,14.379,14.579,14.578,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed generation capacity (MW)
