Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,3.4,3.548,3.761,4.374,4.794,5.499,5.875,6.754,7.669,8.547,9.431,10.273,10.885,11.418,11.945,12.494,13.048,13.607,14.187,14.229,14.818,15.423,16.03,16.591,17.202,17.803,17.803,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
AMBERTON ROAD,6.204,6.559,6.696,8.066,8.871,10.277,10.833,12.461,13.983,15.184,15.708,16.604,17.567,18.183,18.801,19.406,20.009,20.58,21.206,20.45,21.102,21.746,22.39,23.007,23.636,24.272,24.272,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
ANNFIELD 66/20KV,27.387,27.586,27.853,28.907,29.549,30.756,31.294,32.804,34.333,35.765,37.083,38.372,39.247,39.874,40.501,41.135,41.77,42.388,43.048,42.583,43.266,43.95,44.644,45.297,45.976,46.666,46.665,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
ASHINGTON,12.371,12.768,13.122,14.594,15.519,17.1,17.831,19.93,21.969,23.694,25,26.508,27.64,28.482,29.308,30.197,31.094,31.972,32.869,32.372,33.3,34.249,35.2,36.045,36.889,37.838,37.834,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
AYCLIFFE INDUSTRIAL,2.237,2.306,2.41,2.811,3.059,3.528,3.744,4.339,4.95,5.54,6.125,6.665,7.013,7.27,7.526,7.787,8.049,8.306,8.578,8.422,8.703,8.985,9.273,9.542,9.823,10.109,10.109,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BARDEN FRIAR,0.195,0.201,0.208,0.312,0.368,0.492,0.539,0.695,0.854,1.01,1.162,1.297,1.373,1.411,1.451,1.489,1.526,1.559,1.597,1.501,1.541,1.58,1.62,1.659,1.696,1.736,1.735,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BEDALE,6.633,6.739,7.014,8.113,8.734,10.041,10.575,12.224,13.916,15.569,17.199,18.72,19.571,20.052,20.52,20.998,21.481,21.918,22.383,21.512,22.001,22.489,22.941,23.337,23.693,24.133,24.132,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BELMONT,16.864,16.988,17.132,18.172,18.77,19.992,20.492,22,23.54,25.028,26.451,27.765,28.591,29.111,29.635,30.149,30.66,31.143,31.673,30.983,31.537,32.082,32.634,33.161,33.694,34.241,34.24,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BENSHAM,1.386,1.475,1.587,2.107,2.427,3.036,3.312,4.059,4.831,5.58,6.321,6.998,7.458,7.795,8.132,8.471,8.811,9.144,9.499,9.299,9.664,10.031,10.399,10.746,11.111,11.475,11.475,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BENTON SQUARE,3.435,3.558,3.739,4.275,4.625,5.245,5.549,6.312,7.101,7.857,8.605,9.271,9.782,10.201,10.616,11.044,11.475,11.905,12.355,12.289,12.748,13.217,13.687,14.124,14.595,15.061,15.06,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BENWELL,2.644,2.755,2.887,3.522,3.916,4.659,4.988,5.886,6.809,7.697,8.56,9.28,9.854,10.285,10.714,11.149,11.584,12.012,12.467,12.252,12.719,13.19,13.662,14.105,14.574,15.042,15.042,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BILLINGHAM MARSH HOUSE,28.392,28.546,28.729,29.143,29.45,29.913,30.196,30.791,31.412,31.993,32.58,33.179,33.624,34.055,34.48,34.931,35.388,35.855,36.334,36.522,37.005,37.507,38.011,38.474,38.984,39.486,39.486,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BILLY MILL,4.953,5.276,5.379,5.977,6.378,6.865,7.092,7.614,8.008,8.096,7.567,7.496,7.907,8.264,8.617,8.984,9.354,9.727,10.115,10.138,10.532,10.936,11.342,11.717,12.125,12.527,12.527,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BIRTLEY GROVE 66/11KV,2.026,2.111,2.233,2.615,2.863,3.305,3.525,4.086,4.666,5.223,5.779,6.303,6.657,6.943,7.227,7.522,7.817,8.112,8.421,8.358,8.674,8.995,9.32,9.622,9.945,10.269,10.268,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BIRTLEY GROVE 66/20KV,5.199,5.624,5.636,6.279,6.681,7.07,7.195,7.53,7.612,7.184,5.651,4.985,5.251,5.439,5.627,5.815,6.003,6.185,6.381,6.233,6.435,6.638,6.841,7.034,7.234,7.436,7.436,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BLAYDON BURN,13.277,13.652,13.802,14.855,15.485,16.461,16.834,17.912,18.83,19.358,19.056,19.293,19.967,20.245,20.434,20.72,21.048,21.292,21.468,20.717,20.89,21.122,21.101,20.891,20.503,20.435,20.435,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BLUCHER 33/11KV,2.332,2.444,2.599,3.015,3.299,3.776,4.024,4.615,5.226,5.808,6.386,6.903,7.32,7.683,8.042,8.416,8.793,9.173,9.568,9.595,9.996,10.408,10.821,11.203,11.619,12.029,12.029,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
BOLDON DOWNHILL,3.221,3.317,3.431,3.751,3.975,4.34,4.542,5.001,5.48,5.937,6.399,6.844,7.171,7.465,7.755,8.059,8.366,8.677,8.999,9.055,9.381,9.717,10.053,10.364,10.704,11.038,11.038,NPgN,Primary,NG FES - Holistic Transition,Total installed generation capacity (MW)
