Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,204.2,392.3,557.3,792.5,1056,1303.1,1540.2,2199.1,2821.6,3565.2,4303.2,4868.7,5493,6152.5,6824.8,7504.5,8163.4,8745.5,9540,10336.7,11119.4,11826.4,12469.1,13072.8,13626.2,14161,14161,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
AMBERTON ROAD,189.2,363.2,513.2,728.5,969.9,1194.8,1408.9,2007.2,2572.1,3244.3,3876.3,4279.9,4759.3,5279.7,5815.1,6356.5,6880.9,7342.2,7968.7,8592,9211.7,9783.5,10314.9,10826,11309.3,11791.7,11791.7,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
ANNFIELD 66/20KV,118.1,228.4,339.5,504.3,681.5,834.7,974.3,1386.1,1896,2501.3,3199.9,3959.7,4708.4,5460.6,6224.6,6999.4,7767.7,8449.5,9076.2,9635.2,10145.7,10582.5,10951.7,11277.9,11540,11779.8,11779.8,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
ASHINGTON,172.6,331.6,487.3,724.7,984.5,1209.2,1413.6,2003.8,2623.6,3355.9,4124.4,4822.9,5554.9,6311.5,7085.4,7871.5,8642.3,9306,9989.4,10638,11258.3,11802,12278.3,12715.1,13093.6,13457.1,13457.1,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
AYCLIFFE FORREST,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.2,0.2,0.3,0.3,0.3,0.4,0.4,0.5,0.5,0.5,0.6,0.6,0.7,0.7,0.7,0.7,0.7,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
AYCLIFFE INDUSTRIAL,57.7,112.9,161.7,229.7,303.6,372,436.6,622.6,837.5,1094.3,1363.6,1593.2,1836.2,2085.9,2339.7,2596.8,2851.7,3079.2,3376.1,3670.3,3955.4,4209.9,4437.2,4645.7,4829.9,4999.6,4999.6,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
BARDEN FRIAR,0.4,0.7,1.2,1.9,2.5,2.9,3.3,5.1,14.2,25.2,45.6,81.4,112,140.8,169.7,198.9,228.3,256,266.4,266.9,266.6,264.5,260.7,255.2,247,239.1,239.1,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
BEDALE,63.3,120.5,185,284.2,388.8,474.9,550.9,775.4,1003.9,1270.6,1636.6,2157.4,2628.1,3091.9,3561.1,4037.6,4497.6,4893.7,5071.7,5135.9,5148.7,5135,5095.4,5039.2,4949.1,4875.1,4875.1,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
BELMONT,137.8,261.9,382,562.7,761.8,936.8,1098.3,1557,1985.5,2490.1,3013,3488.5,3986.2,4506.8,5040,5580.6,6101.7,6546.7,6958.6,7327.7,7664.3,7958.1,8215.1,8455.9,8667.2,8885.6,8885.6,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
BENSHAM,69.1,125,170.3,237,310.2,375.6,435.9,627.2,981.8,1403.6,1741.4,1842.7,2047.4,2282.9,2533.8,2787,3065.9,3332.4,3747.1,4186.5,4640.6,5073.7,5490.9,5900.7,6306.4,6708.3,6708.3,NPgN,Primary,NG FES - Electric Engagement (without DH HPs),Total number of domestic heat pumps
