Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,211.4,284.4,338.5,396.2,529,694.1,872.5,1040.7,1245.7,1490.2,1722.9,1926.5,2101.5,2295.5,2501.8,2717.8,2937.5,3208,3532,3833.8,4118.7,4398.1,4655.4,4853.1,5032.8,5207.4,5336.3,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
AMBERTON ROAD,196.1,263.9,316.4,373.3,496.7,648.7,811.8,964.9,1150.6,1370.7,1566.6,1713.7,1854.3,2016.5,2191,2373.5,2557.1,2780.2,3044.4,3285.7,3516.4,3746.3,3962.2,4130.3,4284.9,4437.4,4542.1,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
ANNFIELD 66/20KV,122.3,166.3,209.6,257.2,347.2,451.7,560.5,664.6,846,1055.3,1291.7,1575.6,1807.2,2038.9,2277.7,2524.1,2771.5,3035,3279.3,3485.4,3673.5,3856.1,4015.5,4120.2,4202.6,4278.4,4384.8,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
ASHINGTON,179.2,242.5,302.9,372.7,505.4,658.5,817.5,966.4,1177.3,1422.6,1672.5,1932.2,2155.1,2389.9,2636.5,2893.1,3151.6,3428.7,3709.1,3953.9,4180.7,4403.1,4603.3,4744.2,4862.2,4974.2,5093.8,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
AYCLIFFE INDUSTRIAL,60.2,84,105.9,128,168.3,216.9,268.3,316.9,392.4,480,569.3,658.5,742,828.5,917.8,1009.8,1099.8,1208.6,1333.9,1444.4,1546.6,1645.1,1734.6,1799.3,1851.8,1896.5,1938.9,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BARDEN FRIAR,0.4,0.6,1,1.3,1.7,2.2,2.6,3.2,7.2,11.6,19.5,33.3,43.7,53.1,62.3,71.7,81,89.6,91.2,91.8,91.9,92.1,91.6,89.5,86.8,84.3,86.4,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BEDALE,65.5,87.1,110.8,138,189.6,247.4,306.9,362.3,440,530,655,848,990.4,1128.6,1270.1,1416.4,1565.7,1691.4,1741.6,1757.3,1767.4,1780,1784.3,1764.4,1738.6,1720.6,1765,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BELMONT,142.3,188.3,226.8,271.7,369.4,485,607.1,721.2,861.1,1026,1191.3,1360.6,1494.8,1640.9,1796.8,1960.3,2129.1,2301.5,2463.1,2599,2726.4,2854.7,2970.9,3053.2,3128.4,3209.5,3291.9,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BENSHAM,71.6,90.8,105.1,121.9,159.6,205.1,252.8,301.4,437.1,589.9,702.7,740.1,798.7,870.7,950.4,1032.9,1113.3,1240.9,1411.4,1582.1,1751.9,1923.5,2090.2,2233.6,2378.4,2524.8,2588.2,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BENTON SQUARE,225.3,302.3,359.6,423,566.6,743.8,934.5,1111,1273.6,1471.6,1651.9,1798.5,1925.5,2076.6,2240.9,2414.7,2593.6,2794,3024.3,3226.2,3418.2,3610.9,3791.5,3929.5,4057,4187.7,4287,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BENWELL,103.1,133.3,153.7,177.5,237.6,311.7,391,470.2,642.9,840.7,1003.9,1099.4,1196,1307.5,1429,1555.3,1682.9,1868.6,2105.7,2341,2570,2797.7,3012.7,3191,3366.6,3543,3636.6,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BILLINGHAM MARSH HOUSE,86.9,121.3,155.9,188.9,246.9,316.2,388.6,459.7,619.1,800.4,982.2,1159.4,1325,1493.6,1667.4,1845.5,2019.2,2239.8,2497.8,2725.1,2936.6,3140.5,3325.2,3462,3577.5,3678.7,3765.5,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BILLY MILL,53.1,73.8,94.6,114.9,150.1,191.8,234.9,279.8,422.2,582.3,733,859.7,985.2,1113.7,1246.7,1382.5,1514.4,1696.1,1916.7,2124.3,2320.5,2510.6,2685.3,2821.3,2943.2,3054,3128.6,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BIRTLEY GROVE 66/11KV,59.4,82.5,104.6,127.1,168,216.7,267.8,317.3,414,525.1,639.3,755.7,861.1,968.3,1078.8,1192.5,1304.2,1440.1,1592.1,1727.9,1854.2,1976.2,2086.4,2166.9,2234.3,2293.8,2348.2,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BIRTLEY GROVE 66/20KV,52.1,70.6,85.1,100.5,134.1,175.5,220,262.4,321,390.2,457.8,520.2,574.6,633,694.5,758.4,822.7,902.5,997.3,1084.8,1167.1,1247.2,1320.4,1375.8,1424.6,1470.7,1506.8,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BLAYDON BURN,121.2,163.3,194.7,228.6,305.2,400.3,502.9,600.7,735.8,895.5,1053.7,1203.4,1330.9,1467.2,1610.6,1759.7,1910.6,2094.8,2305.7,2500.7,2683.9,2862.6,3025.5,3148.5,3258,3362.7,3446.3,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BLUCHER 33/11KV,144,191.4,224.3,260.7,349.5,460.4,580.5,695.1,850.9,1035,1202.7,1335.2,1449.5,1579.2,1718.8,1864.9,2014.8,2206.5,2439,2660.2,2870.8,3078.2,3270,3420.7,3562.2,3702.7,3797.7,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BOLDON DOWNHILL,49.7,68.9,87.1,105.2,138.6,178.6,220.7,263.4,377.3,506.8,638.9,769.8,887.9,1006.3,1127.9,1252.5,1374.8,1536.1,1726.7,1903.7,2068.6,2226.5,2368.7,2475.3,2566.6,2646.9,2712.6,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,84.6,111.4,131.2,153.8,209,276.4,349.2,415.2,451.7,499.2,550.5,612.6,651.8,698.7,750.4,806.1,866.9,914.1,944.2,955.2,965.4,979,991.1,994.8,999.8,1013.9,1040.5,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BOWESFIELD 33/11KV,104.4,138.6,162.4,188.7,252.3,331.7,417.7,499.1,602.2,724.6,833.1,913.3,984.8,1068.1,1158.3,1253.1,1350.1,1473.6,1624.8,1768.2,1905.6,2041.8,2169.3,2270.6,2366.6,2463.1,2525.1,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BOWESFIELD 66/11KV,137.9,189.8,233.4,279.1,366.8,474.1,588.3,691.9,775.6,877.4,964.6,1024.7,1097.6,1185.7,1280.1,1378.9,1474.9,1577.9,1697,1792.4,1882.7,1974.7,2064.6,2131.8,2188.1,2240.2,2280.1,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BRANCEPETH,130.6,174.7,256.1,356.8,508.5,656.1,794.4,919.9,1156.2,1418.6,1740,2203.5,2560,2911.4,3276.5,3656.8,4043.3,4352.1,4518.5,4590.4,4642.6,4696.6,4724.2,4692.1,4636.3,4589.9,4709.6,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BREAMISH STREET,59.2,69.4,73.2,79.9,103.4,132.2,162.5,193.7,286,388.5,442.7,411.2,409,423.1,444.8,467.9,490.9,544.9,628.5,719.9,816,917.6,1021.6,1119.4,1227.2,1343.3,1378.7,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
BRENDA TRADING,123.8,168.8,207.1,246.3,326.5,424.4,528.6,630.5,827.3,1054.3,1276.7,1482.4,1667.9,1860.9,2062,2269.3,2475.1,2741.1,3057.5,3351.9,3627.9,3894.7,4137.1,4320.8,4481.9,4629.2,4743.7,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CAMPLESHON ROAD,104.4,139.9,170.6,203,271.7,354.6,442.8,527.7,669,832.7,1020.9,1251.6,1434.7,1618,1807.1,2002,2198.6,2398.2,2552.9,2668.4,2775.4,2883.9,2979.5,3038.9,3089.4,3145,3224.4,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CARLEY HILL,76.9,104,126.5,149.9,198.8,258.4,321.8,386.4,550,736.7,916.6,1075.1,1220.6,1370.4,1525.9,1685.8,1844,2059.5,2320.6,2568.1,2801.7,3028.1,3235,3396,3541.7,3677.2,3770.7,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CARLIN HOW T3 T4,110.4,147.2,203.3,272.1,383.4,497.4,608,709.7,884.5,1081.4,1335.3,1712.6,1997.1,2275.3,2562.6,2860.9,3164.7,3406.8,3517.5,3569.3,3606.9,3646.8,3667.1,3643.3,3602.3,3570.2,3663.2,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CARR HILL,71.2,97.9,125.4,153,199.8,254.5,310.7,370.9,589.2,833.9,1063.1,1253.9,1443.2,1636.2,1835.9,2039.8,2237.7,2514.1,2850.6,3169.2,3471.1,3763.6,4032.3,4242.3,4431.2,4603.4,4717.5,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CATTERICK CAMP,112.6,151.4,192.7,240.6,328.3,426.7,527.3,620,741.8,882.8,1046.7,1259.5,1428.6,1600.6,1779.5,1965.5,2153.8,2319.8,2427.1,2493.2,2551.3,2612.1,2662.8,2680.8,2688.9,2703.1,2767.9,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CLOSE,84.3,96.6,98.7,105,135,172.2,211.6,250.3,338,435.5,472.4,405.1,374.7,366.4,367.6,370.4,374.5,405,464.6,535.9,615.9,704.8,800.7,897.2,1009.6,1136.3,1167,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CONEYTHORPE,76.3,102.4,123.3,145.9,195.5,256.3,321.5,382.8,456.6,544.6,643.8,762.2,855.3,951.1,1050.7,1154.2,1259.5,1369.3,1462.6,1538.8,1608.9,1678.8,1740.7,1778.2,1809.5,1842.9,1888.5,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CONSETT,164.6,224.1,285.7,354.4,480.1,623.5,771.3,909.8,1119.3,1361.4,1628.9,1946.1,2207.8,2474.2,2750.6,3037.2,3325,3617.9,3883.9,4096.3,4289.5,4478.8,4644.4,4749.2,4829.3,4904.5,5023.2,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CORPORATION STREET,29.2,34.9,37.9,42.7,56.4,72.8,89.9,107.6,163.6,226.1,265.8,263.8,274.2,291.9,313.5,336.2,358.7,401.3,462.1,526.6,592.7,661,728.8,789.9,854.8,922.9,947.5,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CRAMLINGTON T1 T3,62.6,83.1,97.9,114.6,154.5,203.5,256.3,305.6,358.4,421.8,480.6,530.5,571.3,618.6,669.8,724,780.2,845.2,919.6,988.2,1053.2,1118,1178,1224.3,1267.9,1312.7,1345.9,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
CRAMLINGTON T2 T4,60.9,80.8,95.2,111.5,150.1,197.6,248.7,296.4,346.4,406.6,461.3,505.7,542.7,586.4,633.9,684.1,736.4,796.4,865.3,928.7,989.1,1049.5,1105.8,1149.6,1191.1,1234,1264.9,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DARLEY,22,29.8,39.1,48.9,66.3,86,106.2,125.3,157,193.3,242,314.3,369.3,422.5,476.8,532.8,589.2,640.2,668.5,685.2,699,712.7,722.5,722.1,717.9,714.7,732.7,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DARLINGTON 132/6KV,50.9,69.3,84.9,101.3,134.3,174.4,217.1,258,326,404.8,480.6,548.7,611.6,678.4,748.2,820.5,892.1,980.9,1083.2,1175.3,1262.3,1347.6,1426.3,1486.2,1539.7,1590.2,1628.3,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DARLINGTON 33/11KV,62.9,85.5,104.8,124.9,165.4,214.7,266.9,318.8,432.7,563.2,686.9,792.5,892.5,997,1106,1218.1,1328.8,1475.1,1648.7,1810.8,1964.4,2114.2,2252.3,2359.5,2456.5,2547.5,2610.2,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DARLINGTON CENTRAL 33/11KV,43.4,58.5,70.2,82.7,110.2,144.1,180.5,215.2,265.9,325.4,379.2,420.9,459.9,503.5,550,598.4,647,709.3,785.2,856.4,924.3,991.2,1053.5,1102.3,1147.2,1190.9,1220,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DARLINGTON EAST,147.7,196.3,232.4,272.4,367.1,483.8,609.9,725.9,816.9,929.9,1047.5,1175.4,1268.9,1374.9,1489.1,1610.2,1737.5,1857.6,1960.7,2035.1,2105.3,2179.2,2246.8,2291.5,2333.7,2386,2445.9,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DARLINGTON WEST,97,132,162,192.8,255.1,330.8,411.3,490.7,655.2,844,1023.2,1178,1323.2,1475.6,1634.6,1798.4,1960.3,2171.9,2422.5,2656.2,2877.3,3092.9,3291.4,3444.7,3583.3,3713.2,3804.4,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DENWICK,138.1,180.8,233.9,300.9,420.4,547.5,674.1,790.9,969.9,1174,1434.6,1814.8,2100.3,2381.9,2673.4,2976.1,3285.7,3539.3,3642.3,3686.5,3718.8,3756.7,3777.5,3748.2,3707.5,3683.7,3779.5,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DUNSTON 66/11KV,26.7,37.5,50,62.2,81.6,103.9,126.5,150.3,235.2,330.2,426.3,520.8,607.8,694.3,782.9,873.4,961.7,1077.4,1211.7,1336.2,1452.3,1563.7,1664,1739.2,1803.9,1860.7,1906.9,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DUNSTON 66/20KV,93.4,126.3,166.6,213,292.7,379.4,466.3,549.2,717,907.4,1119,1374,1581.9,1789.4,2004.2,2226.4,2449.9,2678.4,2882.8,3051,3203.8,3352.4,3480.4,3561.7,3624.6,3683.4,3777.2,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
DURHAM EAST,61,81.1,94.9,110.1,146.9,193,242.9,289.5,338.2,396.7,446.6,479.5,509.9,547.8,589.5,633.6,679.1,734.8,802.8,866.3,927.4,988.6,1046.7,1093.2,1137.7,1183.4,1212.1,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
EASTFIELD,174.5,231.9,279.7,334.3,453.5,595.8,747,886.9,1032.7,1207.1,1396.6,1618.3,1786.1,1965.1,2154.7,2353.5,2559.3,2752.4,2907.7,3025.8,3134.5,3246,3344.6,3406.6,3460.1,3523,3612.4,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
EASTGATE CEMENT,6.8,9.6,16.1,23.5,32.8,41.6,49.6,58,92.1,129.8,186,276.7,346.3,410.6,475.2,541.1,606.9,666.1,687.8,701.2,711,720.3,724.6,717.9,706.1,694.1,712.1,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
EDUCATIONAL PRECINCT,41.8,51,56.4,63.4,82.3,105.3,129.4,155.7,252.1,359.5,432.1,439.3,466.9,505.2,549.1,594.2,638.2,717.9,829.5,944.7,1060.8,1179.1,1295.7,1399.2,1507.1,1618.3,1660.2,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
ELVINGTON,8.5,12.2,18.7,24.5,32.6,41,49.3,57.4,82,109.3,150.3,217.1,268.2,315.8,363.6,412.3,460.8,504.4,526.7,530.2,531.6,533.2,531.9,522.1,509.5,498.1,510.7,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
FARADAY STREET,153.9,202.9,235.9,273.5,366.1,481.6,606.7,727.2,910.1,1124.5,1306.7,1423.5,1534.8,1666.1,1808.9,1958.5,2110.9,2317,2575.6,2825.8,3067.9,3309,3536.4,3721.7,3901.3,4082.7,4187.2,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
FAWDON T1 & SEATON BURN T1,234.5,312.4,376.6,452.3,614.8,807.5,1011.2,1200,1403.3,1645.6,1907.1,2207.7,2441.2,2689.7,2952.2,3227,3510.2,3774.7,3978.8,4145.4,4299.8,4458.4,4600.7,4692.9,4773.5,4865.9,4986.6,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
FISHBURN,162.2,215.5,288.9,382.9,542,706.5,867.3,1013,1214.1,1443.3,1744.7,2204.6,2545.5,2881.6,3229.9,3593.2,3965.8,4241.3,4338.5,4356.6,4360.5,4371.8,4364.1,4309.4,4238.6,4186.1,4294.2,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
FLATWORTH CENTRAL,42.4,56.8,69,82.4,109.8,142.7,177.2,211.8,295.1,389.8,469.7,520.1,573.8,633.3,697,762.8,827.8,919.9,1035.8,1148.2,1257.1,1364.7,1465.8,1547.7,1625.7,1701.5,1744.4,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
FOSS ISLANDS,157.4,197.7,223.4,253.9,333.1,430.8,534.9,636,823.3,1036.9,1182.9,1207.4,1263.2,1347.6,1446.3,1550,1654.3,1809.9,2014.8,2219.4,2426.1,2639.9,2852,3038.7,3233.7,3440.1,3525.9,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
FOSSWAY 33/11KV,54.8,71.6,85.9,102.1,135.1,174.1,214.4,259.7,446.1,654.7,827.1,924.5,1035.9,1156.5,1284.8,1416.2,1544.3,1744.8,2004.8,2263.3,2515.6,2765.5,3002.2,3200,3393.7,3583.4,3676.3,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
FOURSTONES 20KV,36.2,50.1,68.3,88,118.2,151.2,184.1,218.3,326.8,448.4,622.1,887.2,1095.7,1290.1,1485.1,1683.5,1880.8,2072.1,2160.8,2221.9,2272.6,2322,2357.1,2352.2,2333.1,2314.6,2371.7,NPgN,Primary,NG FES - Falling Behind (without DH HPs),Total number of domestic heat pumps
