Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,203,390.9,575,850.8,1152.6,1419.5,1665.2,2315.1,2988.5,3775,4537.1,4824.5,5017.6,5107.4,5179.2,5214.1,5206.8,5391.7,5580.7,5763.1,5926.7,6043.6,6163.5,6266.7,6356.8,6437.1,6437.1,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
AMBERTON ROAD,189.6,363.8,531.2,781.2,1054,1294.6,1516.3,2105.6,2716.1,3428.6,4084.2,4279.5,4442.8,4535.6,4619.7,4670.5,4680.1,4844.6,5018.8,5201.3,5369.8,5497.3,5610.2,5686.2,5754.3,5817,5817,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
ANNFIELD 66/20KV,117.6,226.8,333,489.9,660.6,810.9,949.2,1356.4,1858.6,2456.3,3158.5,3688.7,4096.2,4379.7,4591.7,4740.6,4820.6,5054.8,5275,5473.5,5648.4,5789.5,5931.5,6055.3,6158.5,6240,6240,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
ASHINGTON,173,333.6,489.2,719.6,970.5,1191.5,1395.2,1957.2,2581.4,3316.4,4108.8,4595.2,4958.3,5195.3,5380.2,5506.6,5567.4,5824.1,6076.2,6307.4,6514.8,6679,6830.3,6943,7039,7118.5,7118.5,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
AYCLIFFE FORREST,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,0.3,0.3,0.3,0.4,0.4,0.4,0.4,0.4,0.4,0.4,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
AYCLIFFE INDUSTRIAL,58.1,113,163.7,238.9,320.9,393,459.9,650.5,874.5,1141,1417.5,1575.3,1729.9,1847.4,1943.4,2015.3,2058.9,2173.9,2289.9,2396.8,2494.3,2577.2,2641.6,2674.3,2703.1,2726.5,2726.5,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
BARDEN FRIAR,0.4,0.8,1.1,1.6,2,2.3,2.6,6,14.3,24.7,44.6,73.2,94.5,110.4,122,130.8,136.4,145.7,154,160.7,166.3,171.4,176.7,181.6,185.6,188.4,188.4,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
BEDALE,62.7,119.5,176.2,259.6,349.9,429.2,501.7,701.3,919,1173.9,1557.4,1996.8,2244.8,2393.1,2499,2570.8,2605.4,2723.1,2827.6,2918.6,2997.6,3058.1,3127.8,3198.8,3255.9,3300,3300,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
BELMONT,136.9,260.9,384.1,567.7,767.8,944.1,1105.6,1534.3,1974.9,2486.5,3028.7,3331.3,3492.2,3563.3,3613.9,3635.5,3625.5,3742,3854.1,3962.4,4057.9,4121.5,4200.3,4283.9,4354.4,4415,4415,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
BENSHAM,70.3,127.2,178.9,254.8,334.6,402.2,463.1,691.4,1041.8,1462.4,1761.2,1639.7,1716.4,1820.2,1902.1,1959.4,1989.8,2081.7,2171.2,2255.7,2330.9,2392.3,2465.1,2543.8,2614.4,2675,2675,NPgN,Primary,NG FES - Hydrogen Evolution (without DH HPs),Total number of domestic heat pumps
