Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,203.8,391.3,554.8,789,1051.7,1298,1534.1,2194.2,2810.2,3547.5,4276.9,4924.3,5647.7,6407.9,7176,7942.2,8700.7,9425.6,10366.1,11279.2,12145.3,12942.6,13641.1,14276.7,14833.5,15358.8,15358.8,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
AMBERTON ROAD,189.1,361.7,510.2,725,965.3,1188.9,1402.2,2001.6,2560.4,3226.1,3848.6,4337.5,4915.7,5536,6166.7,6795,7417.3,8001.6,8756.1,9491.2,10197.7,10856.9,11444,11988.4,12472.1,12939.7,12939.7,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
ANNFIELD 66/20KV,118,228,339.1,503.8,680.7,833.8,973.4,1384.7,1894.6,2500.1,3197.9,4026.6,4863,5706.8,6558.7,7413.5,8255.8,8967.9,9670.3,10290.9,10861.4,11370.2,11784.6,12136.4,12401.4,12633.7,12633.7,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
ASHINGTON,172.8,332.1,487.7,725.3,985.5,1210.4,1414.8,2007.4,2625.5,3356.1,4121.5,4911.9,5754.1,6623.8,7506.2,8391.8,9268.9,10002.8,10802.3,11543.7,12235.1,12861.6,13389.4,13855.7,14229.5,14571.7,14571.7,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
AYCLIFFE FORREST,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0.2,0.2,0.3,0.3,0.4,0.4,0.5,0.5,0.6,0.6,0.6,0.7,0.7,0.8,0.8,0.8,0.8,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
AYCLIFFE INDUSTRIAL,58.2,113.7,162.9,231.9,306.8,375.6,440.7,628.4,844.2,1101.7,1371.3,1642.3,1932.6,2230.7,2531.4,2832.2,3127.7,3415.1,3771.6,4110.1,4424.7,4708.3,4949.8,5161.6,5326.8,5465.1,5465.1,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BARDEN FRIAR,0.4,0.8,1.3,2.1,2.8,3.3,3.7,5.6,15.1,26.5,47.4,84.8,117.6,149,180.4,211.9,243,266.6,270.3,271.7,272.1,271.5,268.8,263.7,256.6,249.9,249.9,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BEDALE,63.1,120.4,185.3,284,388.3,474.4,550.4,776.1,1004.8,1272.7,1638.8,2187.4,2698,3204.7,3715.9,4230.9,4743.1,5078.4,5211.5,5252.4,5279.8,5296,5280.3,5238.7,5173.4,5127.1,5127.1,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BELMONT,137.1,260.3,379.4,558.5,756,930,1090.5,1549.1,1972.2,2471.8,2987.8,3510.4,4068.7,4651.3,5243.7,5836.9,6426.8,6886.2,7351.5,7756.9,8140.6,8494.4,8795,9068.4,9306,9550.5,9550.5,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BENSHAM,69,124.5,169.5,236.2,309.1,374.3,434.4,622.5,978.6,1401,1742.3,1886.7,2138,2419,2711.7,3001.3,3278.3,3628.7,4129.8,4648,5164.8,5664.3,6133.7,6585,7030.2,7472.7,7472.7,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BENTON SQUARE,217.1,415.6,587.6,838.5,1122.1,1386.3,1638.4,2335.8,2861.6,3487.4,4081,4574.5,5136.3,5742,6356.1,6968.5,7583,8099.7,8753.6,9366.7,9953.2,10499.4,10981.7,11432,11830.3,12228.1,12228.1,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BENWELL,99.3,184.5,258.2,366.7,488.2,599.8,704.6,1013.5,1480.3,2036.7,2531.4,2848.1,3273,3730.1,4199.9,4665.9,5118.2,5634.9,6339.1,7047.6,7739.7,8395.1,8993.5,9554.8,10093.2,10619.9,10619.9,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BILLINGHAM MARSH HOUSE,84,164.3,240,343,450.6,547.5,637.9,911.2,1341.2,1853.1,2387.4,2916,3492.3,4080.8,4676,5270.7,5849.3,6446.7,7192.8,7885,8531.8,9117.7,9620.2,10062.5,10422.3,10729.6,10729.6,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BILLY MILL,51.3,99.7,144.5,206.4,271.3,329,382.2,550.8,918.5,1357.2,1793.1,2173.3,2614.3,3067.1,3527.4,3986,4428.9,4928.8,5573.8,6204.6,6802.6,7352,7834.8,8268.1,8644.3,8978.2,8978.2,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BIRTLEY GROVE 66/11KV,57.4,112,162.9,234.9,312.1,381.3,446,637,902.9,1220.2,1557.9,1904.6,2275.3,2653.1,3034.6,3416.4,3789.6,4155.7,4593.7,5007.2,5393.3,5742.7,6041.1,6303.1,6514.7,6697,6697,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BIRTLEY GROVE 66/20KV,50.2,96.9,138.1,197.2,263,324.3,382.9,548,719,923.8,1131.7,1325.3,1538.1,1759.2,1982.5,2205.5,2425.3,2640.3,2915.1,3180.6,3431.1,3660.2,3859.2,4037.9,4190.6,4330.4,4330.4,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BLAYDON BURN,116.9,224.5,318.2,452.9,604,745.5,881,1262.1,1656.6,2129.2,2614.1,3075.8,3577.8,4098.7,4624.9,5150,5668.4,6165.6,6778.4,7368.4,7924.8,8434,8875.6,9272.6,9613.6,9929.6,9929.6,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BLUCHER 33/11KV,138.7,264.3,373.4,531.3,709.6,876.9,1037.2,1486.6,1943.4,2489.4,3012.5,3439.5,3936.4,4463.5,4998.9,5531.5,6057.7,6578.8,7260.6,7927.3,8564.7,9156,9679.8,10160.8,10597.1,11016.9,11016.9,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BOLDON DOWNHILL,48,93.7,136.3,195.7,258.7,315.7,369,531.3,830.8,1189.6,1571.8,1956.5,2373,2794.8,3221.1,3646.9,4060.5,4505.4,5063.7,5600.2,6101.7,6555.5,6945.3,7286.9,7570.1,7812,7812,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,81.4,154.6,223.6,325,438.2,541.4,638.9,906.6,1048,1214.4,1391.9,1591.1,1789.5,2000.4,2213.8,2427.9,2646.4,2764.6,2846.8,2875.9,2904.4,2933,2952.6,2972.3,2992,3035.4,3035.4,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BOWESFIELD 33/11KV,100.6,191.1,268.6,380.8,507.5,626.6,740.8,1060.5,1367.4,1734.1,2077.4,2342.6,2658.5,2997,3341.1,3683.3,4022,4353.8,4794.5,5227.8,5644.7,6034.3,6382.8,6706.7,7003.9,7294.4,7294.4,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BOWESFIELD 66/11KV,133.3,257,357.3,501.3,663.5,815.9,961.7,1365.9,1647.7,1981.1,2279.4,2500.2,2763.4,3054.6,3350,3644.4,3942.3,4182.3,4495.3,4797.2,5084.6,5352.3,5590.7,5816.4,5995.5,6163.5,6163.5,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BRANCEPETH,125.8,241.3,429.2,739,1048.8,1265.6,1432.3,1980.2,2653.9,3423.4,4372.3,5700.7,6999.2,8301.7,9629.5,10975.1,12306.5,13127.2,13587.1,13786.6,13935.3,14038.2,14042.1,13988.5,13844.4,13712.8,13712.8,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BREAMISH STREET,57,96.2,123.6,165.9,213.2,255.1,293.3,417.9,659.8,943.1,1117.5,1064.8,1117.1,1203,1301.6,1395.9,1483.5,1632.9,1882.1,2158.4,2449.9,2747,3044.4,3348,3676.4,4025.1,4025.1,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
BRENDA TRADING,119.4,230.9,331.8,474.2,629.4,772.1,907,1300.6,1842,2489.1,3151.3,3774.4,4463.9,5173.6,5891.9,6608.7,7308.9,8035,8958.6,9851.1,10690.6,11455.8,12118.8,12708.5,13208.5,13652.9,13652.9,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
CAMPLESHON ROAD,100.6,192.5,280.2,405.6,541.6,664.1,778.9,1112.1,1511,1985.4,2540.5,3211.8,3881.2,4556.7,5238.9,5921.6,6595.5,7133.6,7574.2,7918.9,8241.6,8536.2,8775.8,8982.2,9148.6,9320.6,9320.6,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
CARLEY HILL,74.2,142.4,203.5,290.1,384.8,471.8,553.9,799.5,1232,1750.3,2275.7,2751.5,3289.6,3841.7,4401.3,4959.2,5501,6098.5,6867.4,7616.1,8325.1,8976,9547,10059.5,10509.5,10916.1,10916.1,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
CARLIN HOW T3 T4,106.3,203.4,340.7,562.9,789.7,958.4,1095.5,1527.1,2029.3,2608.6,3354.7,4430.5,5460.5,6488.4,7532.1,8587,9633.3,10277.1,10577.5,10720.1,10826.6,10900.1,10899.7,10861.3,10756,10665,10665,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
CARR HILL,68.8,132.3,191.8,275.2,361.6,437,505.6,730,1286.3,1950.3,2608.7,3178.5,3843.6,4526,5220.5,5912.7,6579.4,7344.6,8331.8,9299.1,10218,11063.6,11808.4,12476.8,13061.2,13581.3,13581.3,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
CATTERICK CAMP,108.6,207.7,312.8,474.6,648.1,792.4,920.1,1296.6,1661.4,2087.9,2585,3211,3831.1,4461,5099.6,5742.5,6381.9,6814.3,7105.9,7302.8,7479.3,7634.7,7743.9,7824,7862.4,7912.9,7912.9,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
CLOSE,81.1,134.2,169.2,223.6,284.9,339.2,389.2,549.2,788.4,1065.7,1200.8,1056.4,1034.1,1055,1091,1122.4,1149.7,1232.2,1410.3,1625.8,1867.9,2128.8,2405.5,2702.8,3044.5,3424.5,3424.5,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
CONEYTHORPE,73.5,141,202.5,291.3,389.7,480.1,565.8,807.2,1029.7,1295.1,1597.4,1949.9,2303,2662.9,3025.4,3388.4,3749.3,4042,4306.9,4535.5,4748.3,4941,5099.1,5228.7,5331.7,5435.6,5435.6,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
CONSETT,158.8,306.7,460.1,690.5,937,1146.4,1334.7,1889.2,2496.1,3212,4016.2,4954,5909.1,6880.1,7862.7,8850.2,9826.4,10604.9,11360,12000.9,12588.9,13113.1,13535.8,13894.8,14156.3,14390.1,14390.1,NPgN,Primary,NG FES - Holistic Transition (without DH HPs),Total number of domestic heat pumps
