Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78550.7,80244.52,82496.505,85218.666,88248.078,91497.799,95309.14,100351.365,105597.989,111022.626,116284.606,121149.956,126207.049,131972.13,137690.317,143273.229,149150.282,152871.266,156853.194,160517.559,163950.873,166939.32,169496.613,171475.134,174467.025,177383,177415.069,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
AMBERTON ROAD,123921.399,124418.348,130220.25,132512.028,135103.77,137985.649,141559.108,146131.482,150693.793,155611.063,160489.344,165212.258,170057.034,175451.105,180777.925,185915.075,191192.22,194542.822,197872.374,200810.277,203522.514,205885.69,207927.668,209412.937,211916.83,214351.068,214633.047,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
ANNFIELD 66/20KV,97376.487,98289.192,100512.371,103415.701,106481.796,109719.91,113564.95,118756.625,125122.74,131432.848,137933.35,144767.34,151229.862,158220.445,165192.058,172060.035,179129.58,183411.523,187045.51,190424.543,193385.106,195885.527,197961.975,199469.677,201959.84,204353.74,204472.597,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
ASHINGTON,81463.69,82865.72,85837.782,89909.311,94208.969,98641.247,103770.893,110439.249,117791.535,125156.048,132426.869,139666.771,146756.518,154445.312,162109.217,169578.718,177228.36,181799.435,185919.427,189771.75,193239.262,196184.777,198637.659,200382.649,203233.911,205975.566,206145.144,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
AYCLIFFE FORREST,3.559,3.618,2312.966,2313.124,2313.308,2313.508,2313.744,2314.011,2314.318,2314.641,2314.969,2315.303,2315.637,2316.003,2316.368,2316.728,2317.103,2317.335,2317.564,2317.773,2317.965,2318.129,2318.266,2318.365,2318.522,2318.671,2318.682,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
AYCLIFFE INDUSTRIAL,98338.627,98455.913,99031.741,99849.594,100807.521,101925.024,103359.559,105343.019,107684.4,110059.204,112394.298,114618.286,116824.546,119222.609,121589.064,123871.926,126211.917,127657.74,129183.879,130632.847,131961.692,133101.837,134060.066,134764.71,135840.676,136861.74,136840.329,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BARDEN FRIAR,3733.45,3749.132,3833.346,3935.624,4037.424,4143.167,4267.951,4418.46,4623.3,4821.278,5055.665,5361.722,5626.018,5895.788,6165.597,6438.05,6715.89,6908.236,7005.071,7086.514,7156.655,7218.391,7272.9,7311.236,7373.003,7435.171,7473.435,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BEDALE,83760.258,84844.894,90120.568,92653.405,95294.92,98086.97,101294.884,105324.782,109688.641,113996.133,118711.926,124135.229,129006.245,134075.061,139228.38,144240.034,149196.581,152412.196,154341.702,155928.628,157127.73,158123.773,158947.126,159487.663,160471.346,161462.904,162018.242,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BELMONT,115149.929,115829.969,121412.126,123393.067,125559.625,127848.389,130560.494,134226.059,137952.79,141837.323,145846.053,150063.437,154202.109,158839.554,163484.282,168048.521,172759.633,175547.618,177779.995,179923.223,181789.66,183388.229,184740.769,185736.847,187436.726,189126.617,189355.772,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BENSHAM,66024.474,66733.753,77931.254,79799.211,81933.661,84409.759,87357.375,90162.981,93240.678,96556.068,99877.604,103063.441,106338.336,109785.96,113131.474,116295.193,119420.964,121434.326,123461.269,125495.32,127310.548,128859.892,130147.773,131065.168,132355.341,133536.903,133706.294,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BENTON SQUARE,82030.331,83942.44,88917.575,91977.926,95422.731,99155.803,103471.868,109067.95,114131.12,119227.776,124209.515,128833.6,133546.159,138813.004,144414.553,149734.901,155135.711,158733.463,162165.008,165302.122,168164.539,170680.192,172868.635,174599.117,177109.995,179595.864,180178.281,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BENWELL,98161.075,98281.272,98997.146,100524.342,102664.829,105186.778,108279.975,111442.023,114927.317,118734.666,122605.12,126467.993,130469.229,134830.71,139273.101,143572.272,147964.175,150793.457,153689.877,156281.981,158629.171,160636.565,162311.277,163518.622,165329.388,167022.489,167141.101,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BILLINGHAM MARSH HOUSE,78456.779,80304.129,84337.465,87935.856,92040.262,96663.15,102151.563,108593.943,116201.385,123785.69,131279.384,138511.366,145500.843,152689.193,159752.74,166438.118,173014.621,177383.766,181830.769,185830.714,189377.509,192419.967,194988.597,196918.451,199616.76,202140.521,202565.596,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BILLY MILL,84400.221,84802.71,86022.265,87813.751,89875.16,92203.55,95066.15,98459.798,102944.689,107417.897,111783.65,115983.955,120159.503,124562.706,128990.874,133292.837,137682.623,140506.748,143550.268,146351.647,148926.821,151153.861,153048.048,154473.388,156498.921,158393.326,158541.785,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BIRTLEY GROVE 66/11KV,68028.196,69289.235,79481.131,82297.224,85697.59,89702.925,94517.91,100257.142,106843.842,113486.45,120137.834,126507.472,132463.988,138444.587,144142.833,149335.444,154204.121,157515.828,160586.001,163261.174,165499.931,167333.543,168805.625,169827.321,171266.717,172565.04,172591.571,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BIRTLEY GROVE 66/20KV,54222.32,54391.75,54895.782,55632.752,56468.259,57450.247,58686.325,60347.216,62212.133,64108.422,65979.373,67749.123,69501.178,71407.136,73268.861,75038.352,76836.168,77956.215,79116.109,80247.292,81271.961,82146.523,82877.719,83417.083,84239.893,85022.789,85000.225,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BLAYDON BURN,65509.553,66684.603,68602.547,70956.223,73483.57,76341.244,79774.222,84201.789,89153.901,94134.822,99085.202,103842.713,108479.433,113456.038,118304.745,122912.636,127559.637,130576.016,133556.795,136493.939,139157.401,141456.177,143415.248,144932.535,147100.563,149176.521,149394.367,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BLUCHER 33/11KV,59092.923,61906.725,66036.628,70327.142,75238.18,80639.25,86788.123,93927.041,101442.045,109045.714,116489.998,123317.368,129963.867,136931.796,143756.711,150078.415,156185.843,160427.734,164633.031,168384.553,171684.435,174474.727,176786.904,178507.979,180883.49,183107.618,183195.545,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BOLDON DOWNHILL,44818.126,45355.112,47596.206,49044.617,50679.623,52499.821,54712.625,57401.334,60967.898,64559.455,68108.253,71547.929,74945.844,78581.172,82234.938,85806.151,89477.657,91818.05,94364.44,96709.663,98863.663,100719.528,102287.919,103475.781,105201.216,106818.877,106851.676,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,23545.752,24687.258,28661.36,30649.79,33076.413,35859.521,39100.294,43125.55,46855.538,50640.155,54534.833,58412.515,61967.216,65574.285,68925.28,71905.678,74611.55,76428.681,77649.321,78542.364,79103.765,79500.775,79765.969,79867.013,80298.228,80731.486,80900.764,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BOWESFIELD 33/11KV,52989.556,54357.141,59224.057,62071.887,65449.118,69280.028,73771.35,78880.502,84108.228,89438.713,94752.39,99894.805,104908.819,110085.597,115221.081,119986.698,124589.924,127822.066,130927.019,133682.2,136137.957,138264.263,140085.577,141478.841,143330.704,145084.379,145554.067,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BOWESFIELD 66/11KV,69913.081,71145.353,72649.513,74527.334,76642.862,78932.021,81537.05,84734.455,87351.923,90036.247,92631.041,94956.285,97407.859,100127.171,102967.381,105645.345,108341.089,110241.076,112055.386,113787.374,115439.488,116936.584,118286.486,119404.086,120880.051,122353.845,122953.684,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
BRANCEPETH,61358.173,63138.381,66624.928,71349.913,76080.175,80398.661,85134.255,91645.524,99252.59,107000.191,115358.101,125038.069,134180.486,144333.81,154657.78,165113.116,175792.577,181522.336,185079.151,188083.527,190264.023,192012.196,193423.758,194274.467,196330.774,198406.352,198846.914,NPgN,Primary,NG FES - Electric Engagement,Total demand (MWh)
