Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78480.4,79873.956,81232.646,82836.094,84904.914,87350.439,90113.519,93965.037,99387.173,104249.212,108909.976,113461.077,115942.83,117921.403,119857.382,121952.968,124403.426,127110.549,130129.86,133138.156,135974.275,138603.06,140932.386,143097.36,145168.488,147079.857,148881.015,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
AMBERTON ROAD,123962.103,124850.748,130518.473,132023.039,133853.101,136080.882,138563.053,142148.94,146977.675,151288.232,155710.014,160322.404,162813.021,164889.429,167026.224,169325.606,171931.849,174636.162,177498.351,180274.068,182877.708,185278.872,187407.8,189397.15,191567.218,193616.529,195629.283,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
ANNFIELD 66/20KV,97358.956,98249.996,99677.024,101491.836,103722.778,106286.807,109122.128,112971.94,118686.189,124008.827,129517.662,135559.704,139618.305,143075.596,146450.879,149885.063,153567.496,157242.076,160667.749,164071.166,167245.769,170190.037,172787.057,175159.445,177408.524,179494.83,181717.872,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
ASHINGTON,81437.274,82733.976,84527.991,86869.654,89802.706,93118.968,96724.497,101395.885,107890.693,113935.691,119959.935,126228.09,130396.732,133952.96,137474.733,141046.395,144886.507,148679.227,152349.727,155996.983,159397.702,162540.229,165297.363,167824.437,170209.645,172401.819,174654.829,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
AYCLIFFE FORREST,3.552,3.62,2312.957,2313.058,2313.18,2313.323,2313.486,2313.726,2314.077,2314.387,2314.688,2314.996,2315.154,2315.272,2315.389,2315.517,2315.667,2315.825,2315.99,2316.158,2316.316,2316.46,2316.587,2316.704,2316.815,2316.913,2317.018,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
AYCLIFFE INDUSTRIAL,98329.985,98796.576,99385.96,100150.086,101127.429,102305.113,103648.695,105446.275,107935.92,110278.257,112606.999,114967.557,116683.044,118224.847,119764.026,121329.212,122978.108,124688.846,126464.804,128234.422,129891.02,131428.198,132811.244,134085.686,135277.79,136367.422,137455.234,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
BARDEN FRIAR,3737.282,3760.996,3835.092,3922.996,4021.586,4127.832,4237.149,4369.742,4551.014,4726.157,4933.872,5202.13,5402.529,5577.343,5744.662,5911.49,6084.207,6247.686,6362.532,6474.601,6583.538,6690.131,6789.761,6883.799,6976.496,7069.36,7176.284,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
BEDALE,83774.381,85270.028,90201.399,92229.573,94535.588,97087.204,99835.398,103049.578,106994.646,110810.478,115029.274,120024.717,123898.595,127451.694,131126.579,134775.198,138482.834,141886.136,144636.538,147145.659,149493.459,151703.605,153702.565,155534.931,157293.047,158999.071,160979.42,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
BELMONT,115119.007,116044.287,121371.352,122876.475,124699.373,126785.271,129096.381,132136.655,136202.218,139959.407,143802.115,147990.89,150597.376,152832.767,155072.858,157424.658,160022.111,162542.699,164897.947,167364.027,169718.1,171951.29,173982.561,175915.675,177806.136,179630.74,181528.886,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
BENSHAM,65931.71,67442.241,78806.99,80330.167,81840.526,83635.186,85745.378,88703.699,92714.188,96203.006,99581.391,102903.44,104719.929,106216.596,107751.702,109362.537,111117.129,112885.852,114758.892,116955.87,118992.853,120842.342,122475.989,124002.777,125449.178,126746.411,127965.971,NPgN,Primary,NG FES - Falling Behind,Total demand (MWh)
