Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78552,80301.657,82690.068,85707.222,89083.581,92622.92,96503.423,101661.784,107095.175,112687.217,117594.598,121417.103,125540.271,129254.246,132363.583,135172.198,137763.863,140229.074,142463.33,144410.792,146143.303,147539.779,148690.714,149282.85,150038.876,150641.924,150733.637,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
AMBERTON ROAD,123974.371,124656.032,130826.772,133463.715,136591.181,140337.51,144311.805,149036.284,154012.554,159338.415,164218.822,168634.958,173128.069,177231.618,180863.283,184189.1,187272.163,190187.377,192855.197,195189.912,197293.92,199061.31,200480.498,201165.156,202203.686,203103.015,203617.365,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
ANNFIELD 66/20KV,97394.406,98420.684,100476.989,103300.229,106515.842,110071.835,114293.376,120127.661,126672.934,133226.536,139785.449,145833.282,151489.61,156610.963,160944.226,164791.093,168233.137,171402.013,174218.305,176805.621,179104.523,181057.541,182762.546,183902.277,185169.872,186223.379,186661.482,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
ASHINGTON,81487.901,82925.343,85666.621,89550.996,93862.73,98483.745,103810.976,110789.129,118229.698,125710.536,132854.581,139335.251,145575.854,151196.083,156054.632,160392.366,164303.583,167916.719,171146.256,174072.964,176672.671,178843.503,180618.213,181583.862,182767.746,183721.774,184047.415,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
AYCLIFFE FORREST,3.559,3.62,2312.981,2313.152,2313.343,2313.545,2313.769,2314.034,2314.34,2314.662,2314.975,2315.258,2315.549,2315.816,2316.04,2316.239,2316.421,2316.592,2316.748,2316.884,2317.005,2317.106,2317.184,2317.217,2317.264,2317.3,2317.31,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
AYCLIFFE INDUSTRIAL,98349.244,98741.61,99551.809,100685.831,102044.397,103594.135,105455.986,107962.357,110722.851,113551.314,116220.355,118577.601,121039.994,123349.533,125396.579,127260.509,128958.806,130557.014,132022.423,133386.538,134624.77,135712.946,136611.256,137171.877,137808.98,138376.869,138777.092,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BARDEN FRIAR,3735.741,3760.826,3843.037,3945.658,4059.883,4189.718,4342.802,4534.492,4753.155,4969.938,5225.434,5521.756,5766.257,5989.057,6184.642,6365.471,6532.97,6691.904,6839.501,6974.253,7100.836,7218.555,7330.359,7424.895,7521.664,7610.799,7672.162,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BEDALE,83772.234,85102.406,90417.277,93008.96,95875.525,99060.705,102726.833,107227.967,111968.732,116680.762,121854.52,127473.368,132132.704,136326.173,140201.533,143728.192,146929.854,149881.235,152560.848,154986.827,157195.024,159177.185,161023.205,162565.469,164153.722,165603.523,166676.238,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BELMONT,115155.426,116120.292,121947.818,124197.038,126721.822,129477.687,132565.543,136546.844,140717.387,145035.056,149311.531,153425.543,157175.575,160536.648,163462.662,166149.334,168639.213,170969.614,173085.048,175167.526,177075.102,178731.607,180250.314,181408.936,182667.485,183795.233,184477.159,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BENSHAM,66017.986,66904.486,78604.789,80876.775,83232.267,85859.509,88693.516,91411.991,94632.14,98066.906,101384.142,104293.862,107403.998,110365.948,112924.452,115199.22,117227.745,119008.436,120569.153,122188.772,123603.943,124794.844,125786.067,126407.876,127114.111,127706.565,128033.444,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BENTON SQUARE,82037.914,84096.265,89321.916,92767.022,96632.803,100743.936,105209.789,110768.381,116196.141,121607.316,126467.51,130777.313,134994.117,138735.021,142472.008,145891.588,149058.338,152068.559,154836.301,157364.237,159661.773,161626.376,163280.371,164344.181,165565.734,166672.405,167467.88,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BENWELL,98150.06,98496.07,99824.298,101865.432,104336.772,107123.548,110137.49,113244.692,116942.197,120926.798,124737.034,128013.312,131483.562,134732.208,137636.609,140257.933,142669.696,144846.755,146778.006,148488.919,149990.859,151232.567,152328.722,153064.297,153916.615,154631.307,154925.881,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BILLINGHAM MARSH HOUSE,78464.357,80453.561,84555.243,88313.17,92669.839,97562.051,103292.421,110257.394,118056.922,125892.501,133447.448,140111.638,146825.662,153104.165,158700.804,163649.688,168027.694,171980.05,175486.095,178526.795,181176.653,183442.307,185322.415,186514.415,187864.648,189013.267,189731.646,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BILLY MILL,84411.4,84977.416,86335.806,88299.281,90604.251,93234.294,96357.432,100288.779,104957.606,109675.737,114127.946,117794.156,121778.566,125568.215,128934.028,131946.224,134670.361,137177.195,139423.565,141387.758,143133.184,144639.953,145923.246,146750.552,147694.02,148493.072,148918.512,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BIRTLEY GROVE 66/11KV,68041.534,69418.628,79674.681,82597.483,86200.022,90486.283,95544.394,101660.313,108422.174,115277.803,122007.164,128074.396,133871.106,139257.848,144021.989,148115.32,151592.539,154588.68,157144.475,159303.951,161048.401,162451.687,163542.969,164146.245,164772.39,165231.977,165454.682,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BIRTLEY GROVE 66/20KV,54225.518,54512.46,55138.86,56046.769,57090.581,58287.89,59702.489,61586.665,63640.811,65734.894,67672.356,69304.004,70978.019,72513.254,73840.019,75015.706,76063.648,77001.629,77828.149,78645.951,79361.16,79956.606,80454.269,80759.079,81110.281,81404.51,81549.652,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BLAYDON BURN,65518.074,66755.581,68728.263,71238.202,74012.29,77140.386,80743.614,85445.675,90547.765,95693.141,100489.406,104544.87,108599.506,112293.77,115456.044,118224.901,120667.097,122862.037,124780.151,126688.27,128345.508,129721.611,130890.705,131640.906,132478.057,133177.784,133513.633,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BLUCHER 33/11KV,59090.898,62003.689,66342.06,70926.553,76136.509,81792.977,88018.528,95293.984,102988.63,110756.775,117985.435,123993.582,129960.64,135513.234,140529.393,144929.349,148754.834,152123.665,155062.266,157566.319,159622.392,161244.312,162568.437,163382.08,164236.036,164873.83,165073.28,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BOLDON DOWNHILL,44822.278,45400.897,47656.405,49161.871,50899.133,52833.999,55132.587,58142.429,61735.582,65393.103,68842.349,71613.662,74605.156,77408.978,79823.321,81951.908,83839.709,85549.771,87061.399,88376.126,89519.589,90470.217,91262.668,91718.361,92265.776,92694.729,92795.77,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,23545.035,24722.793,28704.908,30749.906,33285.443,36200.217,39514.531,43446.395,47314.203,51201.099,55103.051,59004.347,62267.276,65146.874,67682.859,69855.605,71688.447,73237.506,74528.336,75570.983,76382.175,76989.968,77480.389,77788.96,78232.406,78599.225,78845.455,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BOWESFIELD 33/11KV,52995.518,54469.894,59599.534,62726.792,66363.749,70454.453,75003.06,80123.304,85536.466,91032.655,96271.263,101054.155,105703.222,109992.371,113992.234,117563.188,120759.783,123615.661,126156.219,128392.38,130342.703,132000.643,133431.687,134440.051,135528.352,136487.393,137122.524,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BOWESFIELD 66/11KV,69932.611,71412.728,73289.669,75622.891,78193.88,80892.834,83742.684,87018.087,90098.482,93230.207,96073.412,98913.699,101818.935,104496.239,107163.26,109680.522,112056.68,114458.864,116767.148,118918.367,120956.861,122815.575,124300.84,125203.721,126231.45,127236.047,128223.088,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BRANCEPETH,61421.367,63168.831,65814.203,69168.905,73055.394,77563.766,82543.659,89004.944,96428.634,104018.995,112801.928,122417.367,130149.015,136982.63,142696.313,147820.971,152386.275,156667.231,160502.683,163910.808,166990.028,169668.684,172179.263,174067.246,175946.111,177519.463,178148.382,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BREAMISH STREET,48640.818,48599.19,52283.085,53094.334,54060.696,55135.968,56110.245,56389.611,56877.637,57585.039,58386.196,59312.97,60335.03,61336.746,62327.467,63275.924,64205.317,65065.669,65863.089,66616.641,67319.397,67935.771,68480.759,68867.307,69313.577,69726.149,70012.821,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
BRENDA TRADING,93538.301,94529.082,101299.828,104709.015,108770.292,113490.525,119015.826,125954.166,133799.382,141820.864,149437.518,155924.503,162497.8,168593.304,173855.792,178438.289,182441.73,185986.292,189063.66,191647.279,193809.62,195547.141,196936.925,197656.407,198646.687,199413.698,199644.184,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CAMPLESHON ROAD,72118.03,73064.746,74831.669,77117.481,79704.748,82503.434,85672.736,89608.733,93957.55,98418.665,103171.404,108106.08,112397.378,116207.256,119487.754,122449.574,125157.256,127682.005,129938.005,131957.994,133787.362,135350.919,136739.496,137689.289,138757.602,139660.846,140060.675,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CARLEY HILL,74426.916,75088.24,76661.341,78742.379,81138.842,83845.988,87002.481,90998.445,95829.531,100795.854,105457.786,109190.356,113249.915,117054.049,120395.043,123359.492,126034.75,128478.454,130639.281,132514.95,134155.485,135521.046,136694.465,137421.273,138271.666,138951.551,139135.405,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CARLIN HOW T3 T4,65984.739,66732.082,68425.105,70759.198,73440.65,76367.55,79883.924,85050.177,90777.54,96362.802,102851.116,110009.124,115551.711,120327.175,124362.132,127927.652,131095.144,134034.614,136628.696,138927.193,140977.479,142720.665,144336.047,145535.263,146802.322,147838.888,148178.668,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CARR HILL,74819.587,75695.871,77627.366,80420.433,83558.593,87068.768,91159.179,96160.836,102371.983,108801.936,114819.065,119464.015,124778.378,129874.087,134183.237,137983.544,141307.552,144259.323,146853.72,149179.014,151198.945,152884.593,154290.034,155104.031,156073.321,156833.78,156974.202,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CATTERICK CAMP,77981.045,79474.638,82650.209,85811.539,89172.996,92786.841,96826.796,101640.381,106653.203,112040.761,117768.412,123969.259,129342.363,134186.036,138500.992,142488.41,146186.455,149678.808,152905.515,155878.447,158648.61,161146.19,163401.187,165134.714,166997.462,168711.079,169969.834,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CLOSE,116404.23,115706.841,118909.463,119424.416,120192.594,121166.084,121995.113,121886.122,121893.489,122149.352,122644.602,123606.9,124532.489,125438.741,126469.075,127499.354,128537.538,129514.155,130438.834,131328.947,132173.398,132935.865,133628.725,134172.999,134757.351,135323.405,135774.417,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CONEYTHORPE,60308.959,61088.159,63239.021,64840.575,66724.255,68794.881,71162.843,74141.282,77247.209,80359.796,83470.508,86550.176,89330.481,91819.925,93955.297,95884.075,97635.648,99252.218,100700.289,101970.292,103102.849,104061.46,104888.745,105430.005,106156.025,106791.624,107153.756,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CONSETT,108455.557,110118.885,112990.754,116770.658,121110.181,125941.867,131606.464,139195.557,147474.963,155787.166,164116.656,171972.283,179181.97,185688.458,191256.644,196169.673,200516.61,204500.811,208027.096,211246.054,214070.559,216451.401,218467.099,219745.734,221160.116,222327.035,222842.983,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CORPORATION STREET,57694.657,57392.249,57500.861,57817.222,58252.561,58787.359,59298.483,59477.076,59829.768,60343.343,60908.437,61531.579,62232.859,62918.696,63568.948,64192.746,64801.245,65353.697,65859.947,66331.596,66766.16,67140.799,67472.396,67697.157,67959.108,68192.033,68313.751,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
COWTON,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CRAMLINGTON T1 T3,58020.965,58292.522,60117.762,61111.938,62299.055,63641.312,65180.8,67068.847,69017.518,71064.784,72981.71,74719.802,76397.26,77908.666,79265.389,80484.845,81586.689,82579.796,83453.832,84251.353,84945.076,85511.01,85986.209,86274.002,86616.735,86903.637,87036.913,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
CRAMLINGTON T2 T4,43967.17,44428.273,45301.485,46565.217,48077.611,49804.888,51780.83,54123.556,56544.892,59067.245,61463.129,63661.279,65741.156,67625.141,69317.871,70809.067,72121.303,73278.957,74281.301,75170.063,75919.453,76522.366,77013.736,77301.688,77635.33,77907.848,78043.24,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
DARLEY,14968.849,15415.374,15990.789,16646.06,17650.618,19186.111,20708.027,22339.123,24190.364,26171.792,28334.841,30770.433,32842.935,34752.762,36482.342,38103.403,39635.643,41150.713,42562.913,43773.712,44909.52,45957.734,46940.027,47668.155,48324.553,48915.368,49349.911,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
DARLINGTON 132/6KV,11612.394,12232.791,13225.183,14540.704,16008.159,17590.068,19314.08,21334.137,23588.512,25941.757,28114.662,29921.808,31860.796,33667.865,35225.887,36623.667,37864.311,38998.65,40015.903,40905.784,41692.956,42348.812,42883.57,43169.373,43514.272,43791.262,43850.76,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
DARLINGTON 33/11KV,65601.801,65699.829,68762.611,70279.207,72077.076,74114.112,76401.86,79048.447,82193.271,85521.903,88704.563,91503.023,94461.19,97223.331,99577.851,101694.269,103623.622,105395.156,106977.76,108353.899,109573.061,110592.306,111433.609,111891.368,112454.595,112905.353,113002.541,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
DARLINGTON CENTRAL 33/11KV,46481.083,46474.945,48981.314,49588.014,50313.719,51112.851,52008.361,53087.659,54283.565,55567.69,56741.983,57745.861,58832.106,59833.528,60696.284,61487.546,62223.497,62901.433,63515.011,64060.862,64549.956,64952.409,65277.547,65438.39,65656.827,65834.567,65883.657,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
DARLINGTON EAST,86952.816,87996.084,91973.26,94347.854,97271.27,100593.812,104354.113,108977.152,113551.315,118270.791,122959.67,127632.206,131637.693,135147.281,138245.414,140964.461,143341.226,145442.991,147253.328,148774.46,150039.333,151025.193,151830.681,152299.855,152839.27,153270.484,153450.372,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
DARLINGTON WEST,91865.825,93471.337,98621.001,101946.478,105988.286,110659.34,116139.62,122719.089,130203.063,137920.064,145300.423,151619.481,158044.275,164038.726,169236.781,173751.013,177641.511,181031.069,183937.721,186351.54,188341.914,189927.161,191175.746,191812.778,192583.183,193146.145,193237.78,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
DENWICK,94050.555,94817.874,97062.575,100207.63,103769.637,107760.99,112409.309,118509.565,125038.091,131541.899,138996.012,147408.014,153973.547,159666.638,164523.542,168831.671,172660.451,176166.225,179256.602,182068.788,184557.487,186668.367,188578.857,189961.806,191418.121,192625.014,193094.145,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
DUNSTON 66/11KV,61673.179,61757.874,67789.734,68632.425,69668.544,70924.927,72510.541,74726.991,77469.897,80239.763,82900.052,85065.33,87377.528,89563.753,91404.499,93013.186,94431,95712.79,96830.819,97823.318,98676.004,99386.663,99984.194,100339.588,100745.557,101057.899,101111.434,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
DUNSTON 66/20KV,68548.949,69536.472,72888.268,74832.932,76927.332,79238.31,82022.218,86139.414,90946.79,95700.674,100613.19,105170.245,109306.702,113009.033,116018.266,118654.303,120997.432,123171.737,125081.02,126928.037,128563.926,129940.512,131173.74,132019.172,132949.863,133700.401,133918.173,NPgN,Primary,NG FES - Hydrogen Evolution,Total demand (MWh)
