Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,78559.5,80232.622,82463.096,85166.394,88178.347,91409.731,95218.588,100279.556,105508.365,110922.049,116170.171,121425.414,126918.017,133182.237,139327.753,145365.691,151496.617,155198.373,159519.088,163365.44,166742.401,169733.373,172239.538,174132.366,175937.241,177540.94,177584.343,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
AMBERTON ROAD,123915.903,124388.391,130171.31,132449.039,135024.271,137884.935,141636.945,146291.518,150894.635,155849.792,160753.733,165842.418,171054.74,176846.636,182536.609,188024.26,193512.61,196663.79,200135.339,203068.543,205589.338,207790.237,209646.084,210893.062,212277.294,213472.365,213668.967,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
ANNFIELD 66/20KV,97415.659,98322.088,100539.32,103427.435,106479.434,109704.783,113566.552,118720.133,125063.943,131348.626,137816.346,144948.649,151784.63,159213.637,166593.144,173877.046,181113.177,184494.192,188040.682,191233.385,194023.573,196451.673,198449.012,199715.318,200917.183,201941.221,201967.547,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
ASHINGTON,81503.082,82899.518,85863.43,89918.623,94203.759,98622.291,103767.857,110425.736,117750.288,125086.477,132321.28,139932.969,147449.983,155628.571,163723.805,171636.808,179410.452,183159.248,187186.718,190810.731,193959.782,196693.047,198931.84,200348.625,201731.654,202897.692,202956.06,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
AYCLIFFE FORREST,3.558,3.616,2312.962,2313.12,2313.303,2313.502,2313.737,2314.006,2314.313,2314.636,2314.966,2315.323,2315.686,2316.084,2316.479,2316.871,2317.268,2317.48,2317.714,2317.922,2318.104,2318.263,2318.392,2318.481,2318.563,2318.627,2318.638,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
AYCLIFFE INDUSTRIAL,98354.629,98472.315,99047.869,99867.205,100826.964,101943.331,103387.419,105373.589,107717.248,110096.39,112437.41,114825.916,117214.139,119823.676,122388.214,124878.779,127353.434,128782.682,130400.347,131880.526,133166.381,134281.371,135192.748,135833.712,136407.394,136856.375,136842.199,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
BARDEN FRIAR,3735.207,3751.394,3835.904,3938.006,4039.744,4145.445,4273.72,4422.75,4628.923,4828.334,5064.071,5373.598,5645.347,5925.419,6207.625,6492.747,6782.975,6884.595,6956.083,7020.459,7082.417,7140.738,7194.711,7219.286,7247.779,7277.877,7313.947,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
BEDALE,83782.689,84869.005,90145.114,92667.622,95300.423,98087.368,101315.714,105336.446,109699.704,114010.572,118722.05,124268.557,129321.665,134616.668,139993.932,145244.524,150360.83,152428.389,154016.205,155296.682,156408.667,157410.164,158288.055,158682.153,159145.211,159637.354,160172.986,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
BELMONT,115156.557,115821.821,121389.604,123350.219,125497.063,127769.681,130494.117,134171.108,137887.715,141766.393,145759.981,150192.825,154593.986,159539.211,164454.255,169305.917,174141.751,176264.089,178450.537,180476.41,182252.298,183842.249,185199.766,186085.577,187002.831,187878.223,188091.199,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
BENSHAM,65983.487,66665.977,77840.343,79696.23,81816.202,84275.895,87219.101,90065.826,93150.707,96471.849,99794.417,103112.641,106530.713,110139.128,113634.176,116945.354,120146.286,122004.9,123968.364,125903.816,127567.2,128982.578,130122.262,130883.798,131609.73,132178.1,132301.688,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
BENTON SQUARE,82038.179,83936.135,88897.373,91945.971,95379.964,99100.71,103421.939,109070.787,114118.475,119210.677,124177.621,129139.634,134217.627,139899.585,145834.626,151518.228,157145.015,160540.064,164141.589,167304.424,170034.218,172473.476,174563.567,176150.954,177696.269,179119.985,179683.935,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
BENWELL,98111.165,98191.438,98869.749,100369.056,102480.491,104974.02,108064.019,111263.071,114750.791,118559.97,122425.987,126456.796,130653.623,135240.147,139885.47,144390.436,148886.47,151535.248,154426.124,156948.904,159134.066,161016.165,162543.603,163590.108,164612.331,165464.411,165552.781,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
BILLINGHAM MARSH HOUSE,78474.359,80317.129,84343.672,87937.856,92040.545,96657.754,102148.062,108580.251,116190.855,123779.704,131286.204,138825.005,146162.837,153756.639,161212.575,168304.514,175131.286,179392.238,183864.722,187793.63,191219.911,194198.096,196675.836,198483.223,200196.896,201624.025,202062.443,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
BILLY MILL,84409.306,84803.481,86013.743,87797.641,89852.738,92172.124,95051.702,98429.017,102917.629,107391.336,111765.287,116172.849,120580.985,125252.512,129944.985,134510.017,139019.342,141751.762,144819.475,147572.82,150022.168,152159.835,153938.932,155231.475,156460.458,157474.098,157589.635,NPgN,Primary,NG FES - Holistic Transition,Total demand (MWh)
