Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0.002,0.004,0.005,0.006,0.007,0.006,0.005,0.006,0.005,0.006,0.005,0.005,0.005,0.005,0.006,0.006,0.006,0.006,0.006,0.006,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
AMBERTON ROAD,0,0,0,0,0,0,0,0.007,0.012,0.016,0.019,0.022,0.019,0.017,0.017,0.017,0.018,0.017,0.017,0.016,0.017,0.018,0.018,0.018,0.019,0.02,0.02,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
ANNFIELD 66/20KV,5.506,5.506,5.513,5.509,5.508,5.508,5.507,5.546,5.57,5.59,5.606,5.619,5.604,5.596,5.597,5.595,5.601,5.596,5.595,5.592,5.595,5.599,5.6,5.601,5.604,5.61,5.613,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
ASHINGTON,3.243,3.243,3.244,3.244,3.244,3.243,3.243,3.416,3.523,3.613,3.685,3.741,3.674,3.639,3.645,3.635,3.66,3.641,3.637,3.621,3.638,3.655,3.658,3.662,3.675,3.701,3.714,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
AYCLIFFE INDUSTRIAL,0,0,0,0,0,0,0,0.016,0.027,0.035,0.042,0.047,0.041,0.038,0.038,0.037,0.04,0.038,0.038,0.036,0.038,0.039,0.04,0.04,0.041,0.044,0.045,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BARDEN FRIAR,0,0,0,0,0,0,0,0.006,0.009,0.012,0.015,0.017,0.014,0.013,0.014,0.013,0.014,0.013,0.013,0.013,0.013,0.014,0.014,0.014,0.015,0.015,0.016,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BEDALE,0,0,0,0,0,0,0,0.052,0.084,0.111,0.132,0.149,0.129,0.118,0.12,0.117,0.125,0.119,0.118,0.113,0.118,0.123,0.124,0.125,0.129,0.137,0.141,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BELMONT,0,0,0,0,0,0,0,0.028,0.045,0.06,0.072,0.081,0.07,0.064,0.065,0.064,0.068,0.065,0.064,0.061,0.064,0.067,0.067,0.068,0.07,0.075,0.077,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BENSHAM,0,0,0,0,0,0,0,0.003,0.005,0.007,0.008,0.009,0.008,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.008,0.008,0.009,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BENTON SQUARE,0,0,0,0,0,0,0,0.003,0.005,0.007,0.008,0.009,0.008,0.007,0.007,0.007,0.008,0.007,0.007,0.007,0.007,0.007,0.007,0.008,0.008,0.008,0.009,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BENWELL,0,0,0,0,0,0,0,0.002,0.003,0.005,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BILLINGHAM MARSH HOUSE,0,0,0,0,0,0,0,0.007,0.012,0.016,0.019,0.021,0.018,0.017,0.017,0.017,0.018,0.017,0.017,0.016,0.017,0.018,0.018,0.018,0.018,0.019,0.02,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BILLY MILL,0,0,0,0,0,0,0,0.002,0.003,0.003,0.004,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BIRTLEY GROVE 66/11KV,0,0,0,0,0,0,0,0.012,0.02,0.027,0.032,0.036,0.031,0.029,0.029,0.028,0.03,0.029,0.028,0.027,0.028,0.03,0.03,0.03,0.031,0.033,0.034,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BIRTLEY GROVE 66/20KV,0,0,0,0,0,0,0,0.005,0.008,0.01,0.012,0.014,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.011,0.011,0.011,0.011,0.012,0.013,0.013,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BLAYDON BURN,0,0,0,0,0,0,0,0.004,0.006,0.008,0.009,0.011,0.009,0.008,0.009,0.008,0.009,0.008,0.008,0.008,0.008,0.009,0.009,0.009,0.009,0.01,0.01,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BLUCHER 33/11KV,0,0,0,0,0,0,0,0.002,0.003,0.004,0.005,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.005,0.005,0.005,0.005,0.005,0.006,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BOLDON DOWNHILL,0,0,0,0,0,0,0,0.002,0.003,0.004,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.005,0.005,0.005,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0,0,0,0,0,0,0,0.014,0.023,0.031,0.037,0.041,0.036,0.033,0.033,0.032,0.034,0.033,0.033,0.031,0.033,0.034,0.034,0.035,0.036,0.038,0.039,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BOWESFIELD 33/11KV,0,0,0,0,0,0,0,0.005,0.008,0.01,0.012,0.014,0.012,0.011,0.011,0.011,0.011,0.011,0.011,0.01,0.011,0.011,0.011,0.011,0.012,0.012,0.013,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BOWESFIELD 66/11KV,0,0,0,0,0,0,0,0.003,0.006,0.007,0.009,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.008,0.007,0.008,0.008,0.008,0.008,0.009,0.009,0.009,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BRANCEPETH,12.838,12.838,12.85,12.843,12.842,12.841,12.84,12.883,12.909,12.932,12.949,12.963,12.946,12.938,12.939,12.936,12.943,12.938,12.937,12.933,12.937,12.941,12.942,12.943,12.946,12.953,12.956,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BREAMISH STREET,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
BRENDA TRADING,0,0,0,0,0,0,0,0.008,0.014,0.018,0.021,0.024,0.021,0.019,0.02,0.019,0.02,0.019,0.019,0.018,0.019,0.02,0.02,0.02,0.021,0.022,0.023,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
CAMPLESHON ROAD,0,0,0,0,0,0,0,0.01,0.016,0.021,0.025,0.028,0.025,0.023,0.023,0.022,0.024,0.023,0.023,0.022,0.023,0.024,0.024,0.024,0.025,0.026,0.027,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
CARLEY HILL,0,0,0,0,0,0,0,0.003,0.004,0.006,0.007,0.008,0.007,0.006,0.006,0.006,0.007,0.006,0.006,0.006,0.006,0.007,0.007,0.007,0.007,0.007,0.007,NPgN,Primary,NG FES - Electric Engagement,Total installed wind capacity (MW)
