Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0.005,0.009,0.011,0.012,0.016,0.014,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.008,0.008,0.008,0.008,0.009,0.009,0.008,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
AMBERTON ROAD,0,0,0,0,0,0,0,0.017,0.027,0.034,0.039,0.05,0.044,0.04,0.037,0.034,0.032,0.031,0.029,0.028,0.026,0.025,0.026,0.026,0.028,0.027,0.026,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
ANNFIELD 66/20KV,5.506,5.506,5.513,5.512,5.511,5.51,5.509,5.594,5.649,5.685,5.71,5.767,5.735,5.716,5.701,5.687,5.676,5.667,5.659,5.65,5.643,5.637,5.64,5.643,5.653,5.648,5.641,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
ASHINGTON,3.243,3.243,3.244,3.244,3.244,3.244,3.244,3.623,3.868,4.026,4.139,4.391,4.252,4.165,4.103,4.04,3.991,3.95,3.916,3.879,3.848,3.822,3.835,3.847,3.891,3.869,3.84,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
AYCLIFFE INDUSTRIAL,0,0,0,0,0,0,0,0.036,0.06,0.075,0.086,0.11,0.096,0.088,0.082,0.076,0.071,0.067,0.064,0.061,0.058,0.055,0.056,0.058,0.062,0.06,0.057,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
BARDEN FRIAR,0,0,0,0,0,0,0,0.013,0.021,0.026,0.03,0.039,0.034,0.031,0.029,0.027,0.025,0.024,0.023,0.021,0.02,0.019,0.02,0.02,0.022,0.021,0.02,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
BEDALE,0,0,0,0,0,0,0,0.114,0.187,0.234,0.268,0.343,0.302,0.276,0.257,0.238,0.224,0.211,0.201,0.19,0.181,0.173,0.177,0.181,0.194,0.187,0.178,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
BELMONT,0,0,0,0,0,0,0,0.062,0.102,0.127,0.146,0.187,0.164,0.15,0.14,0.13,0.122,0.115,0.109,0.103,0.098,0.094,0.096,0.098,0.105,0.102,0.097,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
BENSHAM,0,0,0,0,0,0,0,0.007,0.011,0.014,0.016,0.021,0.019,0.017,0.016,0.015,0.014,0.013,0.012,0.012,0.011,0.011,0.011,0.011,0.012,0.011,0.011,NPgN,Primary,NG FES - Hydrogen Evolution,Total installed wind capacity (MW)
