Primary,2024/25,2025/26,2026/27,2027/28,2028/29,2029/30,2030/31,2031/32,2032/33,2033/34,2034/35,2035/36,2036/37,2037/38,2038/39,2039/40,2040/41,2041/42,2042/43,2043/44,2044/45,2045/46,2046/47,2047/48,2048/49,2049/50,2050/51,Licence area,Voltage level,Scenario name,Output parameter
ACKLAM,0,0,0,0,0,0,0,0.003,0.005,0.007,0.008,0.009,0.007,0.007,0.006,0.006,0.006,0.006,0.006,0.005,0.005,0.005,0.006,0.006,0.006,0.007,0.006,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
AMBERTON ROAD,0,0,0,0,0,0,0,0.009,0.017,0.021,0.025,0.027,0.023,0.022,0.02,0.02,0.019,0.019,0.018,0.017,0.017,0.016,0.018,0.019,0.018,0.021,0.02,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
ANNFIELD 66/20KV,5.506,5.506,5.513,5.51,5.508,5.508,5.507,5.554,5.593,5.615,5.637,5.647,5.629,5.619,5.61,5.608,5.606,5.605,5.6,5.596,5.594,5.591,5.599,5.603,5.603,5.614,5.613,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
ASHINGTON,3.243,3.243,3.244,3.244,3.244,3.244,3.243,3.45,3.625,3.721,3.818,3.867,3.786,3.742,3.702,3.694,3.685,3.681,3.659,3.642,3.63,3.618,3.653,3.673,3.67,3.72,3.716,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
AYCLIFFE FORREST,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
AYCLIFFE INDUSTRIAL,0,0,0,0,0,0,0,0.02,0.036,0.046,0.055,0.06,0.052,0.048,0.044,0.043,0.042,0.042,0.04,0.038,0.037,0.036,0.039,0.041,0.041,0.045,0.045,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BARDEN FRIAR,0,0,0,0,0,0,0,0.007,0.013,0.016,0.019,0.021,0.018,0.017,0.015,0.015,0.015,0.015,0.014,0.013,0.013,0.013,0.014,0.014,0.014,0.016,0.016,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BEDALE,0,0,0,0,0,0,0,0.062,0.114,0.143,0.172,0.187,0.162,0.149,0.137,0.135,0.132,0.131,0.124,0.119,0.116,0.112,0.123,0.129,0.128,0.143,0.141,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BELMONT,0,0,0,0,0,0,0,0.034,0.062,0.078,0.094,0.101,0.088,0.081,0.075,0.073,0.072,0.071,0.068,0.065,0.063,0.061,0.067,0.07,0.069,0.078,0.077,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BENSHAM,0,0,0,0,0,0,0,0.004,0.007,0.009,0.011,0.011,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.008,0.008,0.008,0.009,0.009,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BENTON SQUARE,0,0,0,0,0,0,0,0.004,0.007,0.009,0.01,0.011,0.01,0.009,0.008,0.008,0.008,0.008,0.008,0.007,0.007,0.007,0.007,0.008,0.008,0.009,0.009,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BENWELL,0,0,0,0,0,0,0,0.003,0.005,0.006,0.007,0.008,0.007,0.006,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.006,0.006,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BILLINGHAM MARSH HOUSE,0,0,0,0,0,0,0,0.009,0.016,0.02,0.024,0.027,0.023,0.021,0.02,0.019,0.019,0.019,0.018,0.017,0.016,0.016,0.017,0.018,0.018,0.02,0.02,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BILLY MILL,0,0,0,0,0,0,0,0.002,0.004,0.004,0.005,0.006,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,0.004,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BIRTLEY GROVE 66/11KV,0,0,0,0,0,0,0,0.015,0.028,0.034,0.041,0.045,0.039,0.036,0.033,0.033,0.032,0.032,0.03,0.029,0.028,0.027,0.03,0.031,0.031,0.034,0.034,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BIRTLEY GROVE 66/20KV,0,0,0,0,0,0,0,0.006,0.01,0.013,0.016,0.017,0.015,0.014,0.013,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.011,0.012,0.012,0.013,0.013,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BLAYDON BURN,0,0,0,0,0,0,0,0.004,0.008,0.01,0.012,0.013,0.012,0.011,0.01,0.01,0.009,0.009,0.009,0.008,0.008,0.008,0.009,0.009,0.009,0.01,0.01,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BLUCHER 33/11KV,0,0,0,0,0,0,0,0.002,0.004,0.006,0.007,0.007,0.006,0.006,0.005,0.005,0.005,0.005,0.005,0.005,0.005,0.004,0.005,0.005,0.005,0.006,0.006,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BOLDON DOWNHILL,0,0,0,0,0,0,0,0.002,0.004,0.005,0.006,0.007,0.006,0.005,0.005,0.005,0.005,0.005,0.004,0.004,0.004,0.004,0.004,0.005,0.004,0.005,0.005,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BOROUGHBRIDGE/ROECLIFFE INDUSTRIAL,0,0,0,0,0,0,0,0.017,0.032,0.04,0.048,0.052,0.045,0.041,0.038,0.037,0.037,0.036,0.034,0.033,0.032,0.031,0.034,0.036,0.035,0.039,0.039,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BOWESFIELD 33/11KV,0,0,0,0,0,0,0,0.006,0.01,0.013,0.016,0.017,0.015,0.014,0.012,0.012,0.012,0.012,0.011,0.011,0.011,0.01,0.011,0.012,0.012,0.013,0.013,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BOWESFIELD 66/11KV,0,0,0,0,0,0,0,0.004,0.008,0.009,0.011,0.012,0.011,0.01,0.009,0.009,0.009,0.009,0.008,0.008,0.008,0.007,0.008,0.008,0.008,0.009,0.009,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BRANCEPETH,12.838,12.838,12.85,12.844,12.842,12.841,12.84,12.891,12.935,12.958,12.982,12.994,12.974,12.963,12.953,12.951,12.949,12.948,12.942,12.938,12.935,12.932,12.941,12.946,12.945,12.957,12.956,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BREAMISH STREET,0,0,0,0,0,0,0,0.001,0.002,0.002,0.003,0.003,0.003,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
BRENDA TRADING,0,0,0,0,0,0,0,0.01,0.019,0.023,0.028,0.03,0.026,0.024,0.022,0.022,0.021,0.021,0.02,0.019,0.019,0.018,0.02,0.021,0.021,0.023,0.023,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
CAMPLESHON ROAD,0,0,0,0,0,0,0,0.012,0.022,0.027,0.033,0.036,0.031,0.029,0.026,0.026,0.025,0.025,0.024,0.023,0.022,0.021,0.023,0.025,0.024,0.027,0.027,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
CARLEY HILL,0,0,0,0,0,0,0,0.003,0.006,0.008,0.009,0.01,0.009,0.008,0.007,0.007,0.007,0.007,0.007,0.006,0.006,0.006,0.006,0.007,0.007,0.008,0.007,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
CARLIN HOW T3 T4,2.168,2.168,2.176,2.172,2.171,2.17,2.17,2.189,2.205,2.214,2.223,2.228,2.22,2.216,2.212,2.211,2.21,2.21,2.208,2.206,2.205,2.204,2.207,2.209,2.209,2.214,2.213,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
CARR HILL,0,0,0,0,0,0,0,0.007,0.013,0.016,0.019,0.02,0.018,0.016,0.015,0.015,0.014,0.014,0.014,0.013,0.013,0.012,0.013,0.014,0.014,0.016,0.016,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
CATTERICK CAMP,0,0,0.001,0.001,0,0,0,0.183,0.337,0.423,0.509,0.551,0.48,0.441,0.406,0.399,0.391,0.387,0.368,0.352,0.342,0.331,0.362,0.38,0.377,0.422,0.418,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
CLOSE,0,0,0,0,0,0,0,0.001,0.001,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.002,0.001,0.001,0.001,0.002,0.002,0.002,0.002,0.002,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
CONEYTHORPE,0,0,0,0,0,0,0,0.038,0.07,0.088,0.106,0.115,0.1,0.092,0.084,0.083,0.081,0.08,0.076,0.073,0.071,0.069,0.075,0.079,0.078,0.088,0.087,NPgN,Primary,NG FES - Holistic Transition,Total installed wind capacity (MW)
